count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
27796,2014,5,North West,85,Manchester,A6010,Major,A5103,B5093,385000,394100,53.44345478,-2.22729323,1.70,1.06,Estimated,Estimated using previous year's AADF on this link,87,41,11632,177,1785,114,33,21,3,5,12,188,13823
18202,2014,5,North West,85,Manchester,A5103,Major,A34,A6,384268,398000,53.47848799,-2.23851006,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,602,100,9289,3351,1345,154,32,2,4,4,2,197,14282
75240,2021,5,North West,85,Manchester,A635,Major,Ashton Old Road,Pin Mill Brow,385600,397720,53.47600800,-2.21842740,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,52,101,13336,124,3561,309,94,113,23,47,199,785,17906
27797,2014,5,North West,85,Manchester,A6010,Major,A662,A62,386880,399000,53.48754851,-2.19919618,1.90,1.18,Estimated,Estimated using previous year's AADF on this link,213,123,22067,274,4167,430,177,159,40,78,72,955,27586
27974,2014,5,North West,85,Manchester,A34,Major,A56,LA Boundary,383400,398330,53.48142730,-2.25160608,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,84,49,6682,742,956,150,32,37,1,1,2,223,8651
6046,2014,5,North West,85,Manchester,M56,Major,4,LA Boundary,383600,388821,53.39596279,-2.24809353,1.00,0.62,Counted,Manual count,0,175,66222,453,11918,1451,335,296,257,828,2047,5214,83983
16544,2014,5,North West,85,Manchester,A57,Major,A6,A665,385500,397010,53.46962514,-2.21990099,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,181,142,12546,911,1931,239,53,105,25,107,47,576,16107
18548,2014,5,North West,85,Manchester,A6042,Major,A34,A34,383820,398008,53.47854622,-2.24526065,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,327,87,4308,291,506,71,13,1,3,0,0,88,5279
6069,2014,5,North West,85,Manchester,A57M,Major,A34,A6,384670,397400,53.47310691,-2.23242347,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,0,793,41322,372,7962,2556,360,468,67,156,650,4256,54706
27980,2014,5,North West,85,Manchester,A665,Major,A6010,LA Boundary,384000,401400,53.50904018,-2.24272274,1.50,0.93,Estimated,Estimated using previous year's AADF on this link,165,60,13841,697,1939,260,37,20,12,23,25,376,16914
28246,2014,5,North West,85,Manchester,A6010,Major,B5117,A34,386000,395230,53.45363942,-2.21228894,0.80,0.50,Estimated,Estimated using previous year's AADF on this link,266,42,8926,128,1248,81,20,4,1,8,1,115,10459
8563,2014,5,North West,85,Manchester,A62,Major,A6,A665,384671,398413,53.48221216,-2.23245822,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,162,41,9032,236,1658,184,24,3,0,0,0,211,11177
27992,2014,5,North West,85,Manchester,A56,Major,A6,A6,383780,398600,53.48386608,-2.24589414,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,279,68,11077,1205,1548,271,28,27,4,6,2,338,14235
8464,2014,5,North West,85,Manchester,A56,Major,A6,A6041,383835,398772,53.48541378,-2.24507425,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,376,133,10999,1095,1708,245,39,17,5,6,5,318,14253
27782,2014,5,North West,85,Manchester,A5184,Major,A34,A6,386150,396000,53.46056449,-2.21006435,1.60,0.99,Estimated,Estimated using previous year's AADF on this link,508,50,9584,141,882,92,12,16,1,2,0,122,10779
27975,2014,5,North West,85,Manchester,A34,Major,A56 Deansgate,LA Boundary,383150,398200,53.48025081,-2.25536615,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,243,115,10779,107,1082,115,18,8,6,2,5,154,12237
6047,2014,5,North West,85,Manchester,M56,Major,5,4,381560,387149,53.38086632,-2.27867311,1.00,0.62,Counted,Manual count,0,268,114362,521,14985,2149,485,301,260,1233,3497,7926,138062
16536,2014,5,North West,85,Manchester,A56,Major,A34,A6,383704,398423,53.48227278,-2.24703015,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,381,82,7140,762,1309,239,22,4,1,3,4,273,9565
16589,2014,5,North West,85,Manchester,A62,Major,A6010,LA Boundary,386280,400000,53.49652144,-2.20828263,2.40,1.49,Counted,Manual count,331,217,21927,1024,3256,428,73,51,46,137,77,812,27234
6553,2014,5,North West,85,Manchester,A56,Major,A6042,LA Boundary,383330,400000,53.49643559,-2.25275018,1.40,0.87,Estimated,Estimated using previous year's AADF on this link,226,140,14551,265,2248,244,35,40,7,10,16,352,17555
28695,2014,5,North West,85,Manchester,A6,Major,A6010,A5184,386575,395867,53.45938013,-2.20365768,0.10,0.06,Counted,Manual count,538,170,20536,703,2084,185,42,51,22,19,12,331,23824
6069,2016,5,North West,85,Manchester,A57M,Major,A34,A6,384670,397400,53.47310691,-2.23242347,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,0,757,42079,319,9678,2672,397,545,87,140,649,4489,57322
26059,2014,5,North West,85,Manchester,M60,Major,M60 spur,LA Boundary,383733,389634,53.40327456,-2.24613566,1.90,1.18,Estimated,Estimated using previous year's AADF on this link,0,299,69138,97,11618,1075,293,416,116,573,524,2995,84148
37859,2014,5,North West,85,Manchester,A6104,Major,A576,A664,385000,404060,53.53297876,-2.22777289,2.50,1.55,Estimated,Estimated using previous year's AADF on this link,90,58,8892,420,1438,81,11,14,3,0,2,111,10920
38034,2014,5,North West,85,Manchester,A34,Major,A5103,A5103,383970,397800,53.47668126,-2.24298985,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,702,95,6836,325,940,138,25,18,1,1,0,183,8379
38036,2014,5,North West,85,Manchester,A56,Major,A34 Quay St,A34 Bridge St,383580,398100,53.47936566,-2.24888166,0.30,0.19,Counted,Manual count,896,73,7683,238,1258,126,16,26,6,3,3,180,9432
37837,2014,5,North West,85,Manchester,A6010,Major,A34,Hamilton Rd,386500,395400,53.45518061,-2.20476700,0.70,0.43,Estimated,Estimated using previous year's AADF on this link,278,27,12242,115,1993,125,39,14,1,2,4,186,14561
