ID,Traffico,no_existing_chg,centroid_x,centroid_y,Colore
0,301570,0,-2.27002,53.43895,lightskyblue
1,1698,0,-2.2648238475772935,53.44795,lightskyblue
2,240840.66666666666,0,-2.27002,53.45695,lightskyblue
3,715704,0,-2.2648238475772935,53.46595,lightskyblue
4,1605207.0,2,-2.27002,53.47495,deepskyblue
5,917375.6,1,-2.2648238475772935,53.48395,deepskyblue
6,0.0,0,-2.27002,53.49295,lightcyan
7,0.0,0,-2.2648238475772935,53.50195,lightcyan
8,0.0,0,-2.27002,53.51095,lightcyan
9,75926.25,0,-2.259627695154587,53.43895,lightskyblue
10,151517.33333333334,0,-2.25443154273188,53.44795,lightskyblue
11,5120,0,-2.259627695154587,53.45695,lightskyblue
12,2211524,0,-2.25443154273188,53.46595,royalblue
13,4099917,0,-2.259627695154587,53.47495,darkblue
14,486961,12,-2.25443154273188,53.48395,lightskyblue
15,243474.66666666666,0,-2.259627695154587,53.49295,lightskyblue
16,209299.83333333334,1,-2.25443154273188,53.50195,lightskyblue
17,901.25,4,-2.259627695154587,53.51095,lightskyblue
18,437,2,-2.2492353903091735,53.43895,lightskyblue
19,900615,0,-2.244039237886467,53.44795,deepskyblue
20,1234,0,-2.2492353903091735,53.45695,lightskyblue
21,2492972,22,-2.244039237886467,53.46595,royalblue
22,2047665,18,-2.2492353903091735,53.47495,deepskyblue
23,2021471,2,-2.244039237886467,53.48395,deepskyblue
24,973887,0,-2.2492353903091735,53.49295,deepskyblue
25,278307,0,-2.244039237886467,53.50195,lightskyblue
26,3605,3,-2.2492353903091735,53.51095,lightskyblue
27,28495,0,-2.23884308546376,53.43895,lightskyblue
28,1768,1,-2.2336469330410536,53.44795,lightskyblue
29,74433,0,-2.23884308546376,53.45695,lightskyblue
30,549675,15,-2.2336469330410536,53.46595,lightskyblue
31,3630961,8,-2.23884308546376,53.47495,darkblue
32,5198597,29,-2.2336469330410536,53.48395,darkblue
33,1834516,0,-2.23884308546376,53.49295,deepskyblue
34,3529,1,-2.2336469330410536,53.50195,lightskyblue
35,375339,1,-2.23884308546376,53.51095,lightskyblue
36,416522,0,-2.228450780618347,53.43895,lightskyblue
37,343223,0,-2.2232546281956402,53.44795,lightskyblue
38,114234,0,-2.228450780618347,53.45695,lightskyblue
39,597882,0,-2.2232546281956402,53.46595,lightskyblue
40,3372535,2,-2.228450780618347,53.47495,darkblue
41,1131150,4,-2.2232546281956402,53.48395,deepskyblue
42,7424,0,-2.228450780618347,53.49295,lightskyblue
43,397481,0,-2.2232546281956402,53.50195,lightskyblue
44,4803,0,-2.228450780618347,53.51095,lightskyblue
45,512,3,-2.2180584757729336,53.43895,lightskyblue
46,447867,0,-2.212862323350227,53.44795,lightskyblue
47,450653,3,-2.2180584757729336,53.45695,lightskyblue
48,1017966,3,-2.212862323350227,53.46595,deepskyblue
49,3021268,0,-2.2180584757729336,53.47495,royalblue
50,315162,0,-2.212862323350227,53.48395,lightskyblue
51,372686,0,-2.2180584757729336,53.49295,lightskyblue
52,402867,0,-2.212862323350227,53.50195,lightskyblue
53,24370,0,-2.2180584757729336,53.51095,lightskyblue
54,170717,0,-2.2076661709275203,53.43895,lightskyblue
55,20075,0,-2.2024700185048136,53.44795,lightskyblue
56,1512433,0,-2.2076661709275203,53.45695,deepskyblue
57,448958,2,-2.2024700185048136,53.46595,lightskyblue
58,585653,0,-2.2076661709275203,53.47495,lightskyblue
59,636638,5,-2.2024700185048136,53.48395,lightskyblue
60,585595,0,-2.2076661709275203,53.49295,lightskyblue
61,199894.5,1,-2.2024700185048136,53.50195,lightskyblue
62,58869,0,-2.2076661709275203,53.51095,lightskyblue
63,38126,0,-2.197273866082107,53.43895,lightskyblue
64,393215.1666666667,0,-2.1920777136594003,53.44795,lightskyblue
65,1709395,0,-2.197273866082107,53.45695,deepskyblue
66,561889,0,-2.1920777136594003,53.46595,lightskyblue
67,592884,0,-2.197273866082107,53.47495,lightskyblue
68,278412.6666666667,3,-2.1920777136594003,53.48395,lightskyblue
69,139445,0,-2.197273866082107,53.49295,lightskyblue
70,55309.5,0,-2.1920777136594003,53.50195,lightskyblue
71,12591,0,-2.197273866082107,53.51095,lightskyblue
72,554892,0,-2.1868815612366936,53.43895,lightskyblue
73,36803,0,-2.181685408813987,53.44795,lightskyblue
74,480454.3333333333,0,-2.1868815612366936,53.45695,lightskyblue
75,562011,2,-2.181685408813987,53.46595,lightskyblue
76,333905.3333333333,0,-2.1868815612366936,53.47495,lightskyblue
77,280810,0,-2.181685408813987,53.48395,lightskyblue
78,20699,0,-2.1868815612366936,53.49295,lightskyblue
79,9596,0,-2.181685408813987,53.50195,lightskyblue
80,149526,0,-2.1868815612366936,53.51095,lightskyblue
81,147923.75,0,-2.1764892563912803,53.43895,lightskyblue
82,8238.5,0,-2.1712931039685737,53.44795,lightskyblue
83,12628,0,-2.1764892563912803,53.45695,lightskyblue
84,7916,2,-2.1712931039685737,53.46595,lightskyblue
85,5838,0,-2.1764892563912803,53.47495,lightskyblue
86,54793.0,0,-2.1712931039685737,53.48395,lightskyblue
87,8378,0,-2.1764892563912803,53.49295,lightskyblue
88,65614.16666666667,0,-2.1712931039685737,53.50195,lightskyblue
89,128174.75,0,-2.1764892563912803,53.51095,lightskyblue
90,0.0,0,-2.166096951545867,53.43895,lightcyan
91,9.666666666666666,0,-2.1609007991231604,53.44795,lightskyblue
92,3478.5,0,-2.166096951545867,53.45695,lightskyblue
93,269,0,-2.1609007991231604,53.46595,lightskyblue
94,11598,2,-2.166096951545867,53.47495,lightskyblue
95,86185.66666666667,0,-2.1609007991231604,53.48395,lightskyblue
96,22134,0,-2.166096951545867,53.49295,lightskyblue
97,62618.5,0,-2.1609007991231604,53.50195,lightskyblue
98,353577,0,-2.166096951545867,53.51095,lightskyblue
99,0.0,0,-2.1557046467004537,53.43895,lightcyan
100,19.333333333333332,0,-2.150508494277747,53.44795,lightskyblue
101,58,0,-2.1557046467004537,53.45695,lightskyblue
102,161236.33333333334,0,-2.150508494277747,53.46595,lightskyblue
103,483382,0,-2.1557046467004537,53.47495,lightskyblue
104,161127.33333333334,0,-2.150508494277747,53.48395,lightskyblue
105,4426.8,0,-2.1557046467004537,53.49295,lightskyblue
106,0.0,0,-2.150508494277747,53.50195,lightcyan
107,117859.0,2,-2.1557046467004537,53.51095,lightskyblue
