,longitud,latitud
20438,-3.7377985,40.3001475
20443,-3.7339164,40.3002352
8577,-3.7381315,40.3010339
1060,-3.7367965,40.3022543
26666,-3.7312319,40.3003285
30375,-3.7287493,40.3007566
23059,-3.7275115,40.3016219
29736,-3.7307713,40.3016898
31592,-3.730869,40.3017595
31593,-3.7318731,40.3019534
41769,-3.7297511,40.3020369
1712,-3.7287511,40.3026222
30374,-3.7290685,40.3027881
10521,-3.7198109,40.3068737
39421,-3.7177026,40.3095261
25406,-3.7200402,40.3096481
26101,-3.7198381,40.309702
26102,-3.7199062,40.309897
26103,-3.7197647,40.3100406
26105,-3.7191706,40.3102736
26106,-3.719027,40.3102789
43350,-3.7250382,40.3037518
6676,-3.7235514,40.3046474
25433,-3.7257026,40.30611
25432,-3.7254158,40.3064567
39381,-3.7253194,40.3083198
34627,-3.7247358,40.3084336
34628,-3.7243308,40.3084543
8545,-3.7252553,40.3084866
34626,-3.7247423,40.3085185
31620,-3.7275986,40.30347
1870,-3.7272324,40.3035316
35030,-3.7300607,40.3035729
51086,-3.7280492,40.3037172
871,-3.7286658,40.303766
51084,-3.7303725,40.3040487
31591,-3.7315154,40.3043077
40618,-3.7283243,40.3044005
51085,-3.7304145,40.3044309
40625,-3.729529,40.3046159
23570,-3.7372871,40.3039069
48423,-3.7335893,40.3040932
23557,-3.7376678,40.3041055
23575,-3.7369894,40.3041094
23556,-3.7377098,40.3041447
23561,-3.7377799,40.3042907
23579,-3.7367265,40.3044019
23581,-3.73652,40.3044203
23565,-3.7377585,40.3044772
23584,-3.7367265,40.3045758
1711,-3.7313156,40.30465
35020,-3.7316564,40.3048679
31590,-3.7318354,40.3048718
40621,-3.7267914,40.3050284
40616,-3.7270084,40.305029
34679,-3.7277084,40.3054632
31647,-3.7272482,40.3057525
821,-3.732302,40.3058342
31424,-3.7290218,40.3058828
31639,-3.7312065,40.3060127
31640,-3.7311818,40.3060537
31638,-3.7312938,40.3061488
31641,-3.7310715,40.3061668
31314,-3.7291713,40.3063226
35031,-3.7306733,40.3063306
31645,-3.7266182,40.3063648
23025,-3.7312283,40.3063784
51093,-3.7311693,40.3064118
31644,-3.7273947,40.3064293
34633,-3.72999,40.306671
18536,-3.7301786,40.3068019
31648,-3.7302017,40.306863
32513,-3.7303873,40.3069165
18535,-3.7308979,40.3069998
18534,-3.7312435,40.3070901
34675,-3.727096,40.3071851
31643,-3.7276116,40.3076606
39354,-3.7271171,40.3077055
579,-3.7307126,40.307926
580,-3.7268783,40.3081033
11886,-3.7288888,40.308289
12099,-3.7312719,40.3083059
31642,-3.7293927,40.3083601
23527,-3.7317029,40.308383
2224,-3.7261056,40.3084775
34621,-3.7271394,40.3085262
34622,-3.727442,40.3085459
40622,-3.7262241,40.3086944
789,-3.7304814,40.3089374
4908,-3.7289025,40.3089448
34629,-3.7243075,40.3085372
34630,-3.7243476,40.3086182
34631,-3.7244447,40.3086754
35021,-3.7248922,40.3088861
39382,-3.7254123,40.3092954
5003,-3.7246187,40.3094156
39383,-3.7255168,40.3096116
25442,-3.7249343,40.3098574
25451,-3.7209613,40.3122404
25450,-3.7210802,40.3123078
25431,-3.7122322,40.3110998
14694,-3.7128269,40.3133223
14693,-3.7114653,40.3170197
9886,-3.7116192,40.3172913
17885,-3.7118486,40.3340239
20198,-3.7117187,40.342081
20201,-3.712977,40.342113
20200,-3.7114439,40.3421229
36539,-3.7122435,40.3424742
4955,-3.7171064,40.3122025
26113,-3.7170453,40.3122567
4902,-3.7161729,40.3122776
4945,-3.7166257,40.3123375
4946,-3.7154938,40.3124275
4956,-3.7152363,40.3125256
4959,-3.7159015,40.3126525
4950,-3.7168296,40.3136178
4949,-3.7163575,40.3138305
35027,-3.7159117,40.3183245
12185,-3.7135945,40.3121212
4953,-3.7145872,40.3124929
4903,-3.7146709,40.3125844
4958,-3.714775,40.3127588
4952,-3.7145819,40.3127711
14696,-3.7134229,40.3131733
33361,-3.7131872,40.3331181
50508,-3.7141811,40.3359909
20197,-3.7134383,40.3421762
19742,-3.7143629,40.3437214
1267,-3.7167938,40.3212445
21779,-3.7157375,40.3223335
21236,-3.7158269,40.3223707
31621,-3.7168214,40.3237069
32255,-3.7157976,40.3238661
44397,-3.7169762,40.3402405
25034,-3.7148129,40.3429162
17865,-3.7168549,40.3431459
20028,-3.7170963,40.343176
17853,-3.7166303,40.343199
2523,-3.7124908,40.3426512
17194,-3.7125324,40.3430924
25036,-3.7125486,40.3437808
1669,-3.7125901,40.3437863
10774,-3.7128193,40.3445363
20029,-3.7127766,40.3448362
20191,-3.7128183,40.3448547
20192,-3.7127653,40.3448798
10777,-3.7129951,40.344928
10775,-3.7126087,40.3450011
19740,-3.7165206,40.3433039
19741,-3.7165245,40.3434374
19988,-3.716331,40.3434815
19991,-3.7161297,40.3435548
17858,-3.7156323,40.3436512
17857,-3.7150583,40.3437929
17860,-3.7152054,40.3446509
19989,-3.7150309,40.3448377
19992,-3.71498,40.3453025
49955,-3.7156193,40.3456055
17230,-3.7142445,40.3437576
46564,-3.7134305,40.3443307
1891,-3.7132631,40.3453917
25039,-3.7136092,40.3454777
19990,-3.7147508,40.3462476
35675,-3.7136847,40.3463152
49957,-3.7143948,40.3463378
17223,-3.7146529,40.3469016
35667,-3.7134681,40.3469269
35674,-3.7136136,40.3469857
10772,-3.7129395,40.3450099
10778,-3.7125222,40.3450111
19744,-3.7116617,40.3450743
10776,-3.7118582,40.3451568
25038,-3.7124444,40.3454202
35657,-3.7126326,40.3463428
35656,-3.7126586,40.3463506
20193,-3.7119977,40.3469245
24862,-3.7121552,40.347402
24863,-3.7114884,40.3474486
49956,-3.7154879,40.3463084
25044,-3.7169187,40.3463813
49976,-3.7166255,40.3464826
35459,-3.7155086,40.3465605
35460,-3.715585,40.3465819
36391,-3.7167504,40.3465891
35461,-3.7156776,40.3466075
35462,-3.7157647,40.346631
35456,-3.7156561,40.3466474
35457,-3.7154228,40.3466576
35455,-3.715522,40.3467097
