,0
0,0.0
1,0.0
2,0.27
3,0.02
4,0.14
5,0.0
6,0.14
7,0.29
8,0.29
9,0.29
10,0.02
11,0.02
12,0.14
13,0.0
14,0.27
15,0.14
16,0.29
17,0.29
18,0.29
19,0.29
20,0.29
21,0.02
22,0.0
23,0.29
24,0.14
25,0.29
26,0.0
27,0.0
28,0.29
29,0.0
30,0.29
31,0.02
32,0.27
33,0.27
34,0.02
35,0.27
36,0.29
37,0.29
38,0.27
39,0.29
40,0.29
41,0.27
42,0.27
43,0.29
44,0.02
45,0.08
46,0.27
47,0.08
48,0.02
49,0.08
50,0.02
51,0.27
52,0.29
53,0.29
54,0.29
55,0.14
56,0.29
57,0.02
58,0.29
59,0.29
60,0.29
61,0.29
62,0.29
63,0.29
64,0.27
65,0.29
66,0.27
67,0.14
68,0.29
69,0.29
70,0.14
71,0.29
72,0.29
73,0.02
74,0.29
75,0.29
76,0.29
77,0.27
78,0.02
79,0.02
80,0.29
81,0.29
82,0.29
83,0.0
84,0.02
85,0.08
86,0.14
87,0.29
88,0.02
89,0.0
90,0.0
91,0.0
92,0.0
93,0.27
94,0.29
95,0.0
96,0.29
97,0.29
98,0.29
99,0.02
100,0.14
101,0.0
102,0.0
103,0.17
104,0.29
105,0.29
106,0.0
107,0.29
108,0.27
109,0.27
110,0.29
111,0.29
112,0.29
113,0.29
114,0.29
115,0.27
116,0.29
117,0.29
118,0.27
119,0.17
120,0.29
121,0.0
122,0.29
123,0.29
124,0.0
125,0.27
126,0.29
127,0.29
128,0.29
129,0.02
130,0.17
131,0.17
132,0.29
133,0.29
134,0.08
135,0.0
136,0.29
137,0.0
138,0.29
139,0.02
140,0.02
141,0.0
142,0.02
143,0.29
144,0.17
145,0.0
146,0.0
147,0.27
148,0.27
149,0.0
150,0.27
151,0.29
152,0.29
153,0.29
154,0.29
155,0.27
156,0.27
157,0.0
158,0.29
159,0.02
160,0.29
161,0.02
162,0.0
163,0.27
164,0.29
165,0.27
166,0.02
167,0.29
168,0.29
169,0.08
170,0.27
171,0.27
172,0.27
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.29
180,0.0
181,0.0
182,0.0
183,0.0
184,0.17
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.17
199,0.27
200,0.29
201,0.0
202,0.14
203,0.02
204,0.0
205,0.27
206,0.29
207,0.29
208,0.29
209,0.29
210,0.29
211,0.29
212,0.0
213,0.29
214,0.29
215,0.0
216,0.29
217,0.29
218,0.27
219,0.27
220,0.27
221,0.29
222,0.29
223,0.0
224,0.0
225,0.17
226,0.27
227,0.14
228,0.29
229,0.29
230,0.27
231,0.29
232,0.0
233,0.0
234,0.02
235,0.02
236,0.29
237,0.29
238,0.29
239,0.29
240,0.29
241,0.27
242,0.27
243,0.02
244,0.02
245,0.29
246,0.27
247,0.02
248,0.29
249,0.29
250,0.29
251,0.02
252,0.27
253,0.27
254,0.29
255,0.29
256,0.0
257,0.29
258,0.27
259,0.27
260,0.29
261,0.29
262,0.29
263,0.27
264,0.29
265,0.29
266,0.29
267,0.29
268,0.29
269,0.27
270,0.29
271,0.27
272,0.29
273,0.08
274,0.29
275,0.29
276,0.29
277,0.08
278,0.02
279,0.29
280,0.29
281,0.27
282,0.29
283,0.29
284,0.02
285,0.0
286,0.29
287,0.29
288,0.14
289,0.29
290,0.27
291,0.29
292,0.27
293,0.29
294,0.29
295,0.27
296,0.08
297,0.02
298,0.17
299,0.27
300,0.29
301,0.27
302,0.14
303,0.27
304,0.27
305,0.29
306,0.02
307,0.29
308,0.27
309,0.29
310,0.08
311,0.29
312,0.29
313,0.29
314,0.29
315,0.29
316,0.29
317,0.27
318,0.29
319,0.0
320,0.02
321,0.29
322,0.0
323,0.17
324,0.29
325,0.02
326,0.29
327,0.29
328,0.29
329,0.14
330,0.08
331,0.29
332,0.29
333,0.02
334,0.29
335,0.17
336,0.27
337,0.02
338,0.27
339,0.14
340,0.17
341,0.17
342,0.27
343,0.27
344,0.02
345,0.29
346,0.27
347,0.27
348,0.08
349,0.29
350,0.29
351,0.17
352,0.29
353,0.02
354,0.17
355,0.17
356,0.27
357,0.27
358,0.27
359,0.14
360,0.29
361,0.17
362,0.14
363,0.0
364,0.29
365,0.29
366,0.29
367,0.02
368,0.0
369,0.0
370,0.27
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.29
377,0.0
378,0.0
379,0.0
380,0.27
381,0.29
382,0.02
383,0.29
384,0.29
385,0.14
386,0.02
387,0.02
388,0.29
389,0.29
390,0.14
391,0.02
392,0.02
393,0.02
394,0.0
395,0.0
396,0.29
397,0.27
398,0.27
399,0.0
400,0.29
401,0.02
402,0.08
403,0.29
404,0.29
405,0.29
406,0.0
407,0.02
408,0.0
409,0.0
410,0.29
411,0.02
412,0.0
413,0.0
414,0.27
415,0.0
416,0.02
417,0.0
418,0.02
419,0.02
420,0.29
421,0.29
422,0.08
423,0.29
424,0.29
425,0.02
426,0.29
427,0.02
428,0.14
429,0.14
430,0.29
431,0.27
432,0.0
433,0.29
434,0.0
435,0.0
436,0.14
437,0.0
438,0.02
439,0.02
440,0.29
441,0.29
442,0.02
443,0.29
444,0.29
445,0.29
446,0.29
447,0.29
448,0.29
449,0.27
450,0.29
451,0.0
452,0.29
453,0.14
454,0.29
455,0.29
456,0.0
457,0.29
458,0.29
459,0.29
460,0.14
461,0.0
462,0.14
463,0.0
464,0.29
465,0.29
466,0.29
467,0.02
468,0.29
469,0.0
470,0.29
471,0.27
472,0.29
473,0.29
474,0.27
475,0.0
476,0.02
477,0.29
478,0.02
479,0.29
480,0.29
481,0.0
482,0.29
483,0.02
484,0.08
485,0.0
486,0.08
487,0.29
488,0.02
489,0.0
490,0.29
491,0.27
492,0.02
493,0.27
494,0.27
495,0.14
496,0.27
497,0.29
498,0.02
499,0.27
500,0.27
501,0.27
502,0.29
503,0.29
504,0.29
505,0.27
506,0.29
507,0.29
508,0.14
509,0.02
510,0.27
511,0.29
512,0.29
513,0.08
514,0.29
515,0.29
516,0.29
517,0.14
518,0.02
519,0.29
520,0.29
521,0.29
522,0.29
523,0.29
524,0.29
525,0.02
526,0.29
527,0.27
528,0.29
529,0.02
530,0.08
531,0.08
532,0.29
533,0.29
534,0.14
535,0.29
536,0.29
537,0.29
538,0.27
539,0.02
540,0.0
541,0.02
542,0.08
543,0.08
544,0.29
545,0.29
546,0.29
547,0.14
548,0.29
549,0.29
550,0.29
551,0.29
552,0.27
553,0.29
554,0.29
555,0.29
556,0.29
557,0.29
558,0.27
559,0.29
560,0.0
561,0.27
562,0.02
563,0.17
564,0.02
565,0.0
566,0.27
567,0.29
568,0.02
569,0.14
570,0.02
571,0.02
