,long,lat
211,4.4215568,51.8600606
24411,4.448809,51.861677
24412,4.4487626,51.8616775
51066,4.4486932,51.861716
51067,4.4486468,51.8617176
2754,4.4427511,51.8659126
31104,4.4427037,51.866645
31102,4.4476424,51.8684427
31101,4.4488661,51.8686698
31100,4.4489649,51.8686761
34168,4.4286576,51.8623665
50805,4.4216955,51.8625119
50829,4.4283019,51.8625876
24989,4.4297347,51.8649388
22107,4.4239968,51.8683119
24107,4.4272778,51.8697595
42772,4.4303062,51.8742371
30917,4.4284704,51.8833405
26084,4.4241052,51.8874382
30916,4.4242157,51.8887715
30932,4.4231811,51.88996
26085,4.4229995,51.890059
18056,4.4216845,51.8914534
2770,4.4225735,51.8924418
31103,4.4385037,51.8653618
2758,4.4379817,51.8786383
29966,4.4393797,51.8980721
30044,4.4393246,51.898073
29965,4.4393636,51.8980969
29964,4.4390806,51.8984941
29963,4.4390565,51.8985264
29962,4.4387977,51.8988938
29961,4.4387749,51.8989286
2755,4.4403834,51.8990893
31099,4.4489536,51.8686852
24090,4.4450928,51.8759215
8453,4.4453508,51.8789581
5111,4.448609,51.902136
29248,4.4456294,51.9023079
2750,4.4455887,51.9037783
29081,4.4462855,51.9039828
29129,4.4456932,51.9040232
29105,4.4448601,51.9043963
29107,4.4447217,51.9044032
21783,4.4205957,51.8930281
8039,4.4208299,51.8934034
2769,4.4228312,51.8943353
30915,4.4204529,51.8962618
21781,4.4221297,51.8968361
40239,4.4216401,51.8970026
40240,4.4217446,51.8970203
30935,4.4242594,51.8970275
40241,4.4219654,51.8970525
40242,4.4220685,51.8970719
40243,4.4224121,51.8971243
40244,4.4225114,51.8971404
35298,4.4210324,51.8974504
40237,4.4200034,51.8976643
2763,4.4295952,51.9041884
13165,4.4239229,51.9055539
19171,4.4317062,51.9067952
43003,4.4395999,51.8994769
30048,4.4395735,51.8994804
43004,4.4391858,51.8995476
30046,4.4391697,51.8995785
43005,4.4389057,51.8995895
30047,4.4388937,51.8995915
43007,4.4384388,51.8996168
30045,4.4384521,51.8996328
43006,4.4385223,51.8996567
44794,4.4411181,51.9053853
52372,4.4479505,51.9051313
28490,4.4433908,51.9051323
52371,4.4479463,51.9051568
52374,4.4479409,51.9051883
5143,4.4453685,51.9053467
5145,4.444307,51.905684
5144,4.444551,51.905759
29117,4.4444758,51.9057689
7851,4.4451131,51.9058514
44795,4.442313,51.9060652
5157,4.446203,51.906184
29306,4.4486116,51.9062766
5158,4.446082,51.906763
5239,4.4458656,51.9067858
19343,4.4487901,51.9071233
5162,4.447926,51.907193
6384,4.448824,51.907315
19339,4.4488204,51.9074928
5204,4.4422364,51.9077097
5205,4.4438378,51.9077139
23926,4.4406891,51.9066119
23930,4.4410059,51.9068683
6963,4.4402214,51.906977
23927,4.4407087,51.907056
6961,4.4396725,51.9072853
23929,4.4399201,51.9072936
23856,4.4405741,51.9075826
23928,4.4399834,51.9076484
9989,4.4393842,51.9076539
32345,4.4332242,51.9080873
5161,4.4469,51.907928
19333,4.4488438,51.9080066
19344,4.4488569,51.9081629
5160,4.446712,51.908296
36807,4.4490166,51.9082967
29297,4.4487283,51.908425
29298,4.4482239,51.90843
29847,4.4468432,51.9084372
4180,4.4480342,51.9085262
5159,4.4455686,51.9085692
32346,4.4335247,51.9081446
23855,4.4396136,51.9081901
44851,4.4337964,51.9082811
44755,4.4346794,51.9085202
44756,4.4345177,51.9085877
44769,4.4329055,51.9085907
19332,4.4376738,51.9086071
44757,4.4344193,51.9086848
44767,4.4327903,51.9087746
44768,4.4326621,51.9087797
44770,4.4317995,51.9081943
44771,4.4317767,51.908298
44772,4.4315205,51.9084424
44777,4.4284848,51.9084543
44788,4.4284494,51.9086508
44789,4.4286845,51.9087
44785,4.4292012,51.9087648
44773,4.4303585,51.9089327
44774,4.4308219,51.9091655
44775,4.4308635,51.9092232
44758,4.4343065,51.9087897
23854,4.4388916,51.9088021
44753,4.4353435,51.9088338
44754,4.4354199,51.9088435
6962,4.4373322,51.9088625
44750,4.4346794,51.9089035
44752,4.4351956,51.9089075
44765,4.4337454,51.9089605
19331,4.4406613,51.9089725
35886,4.4353448,51.9090308
5163,4.448096,51.908751
4178,4.4488911,51.9088466
4179,4.4480654,51.9089788
7850,4.4475689,51.9093877
6383,4.4451745,51.9094009
4065,4.4490374,51.9094579
27097,4.4490061,51.9094846
4064,4.4488538,51.9095219
5090,4.448134,51.90956
5203,4.4422857,51.9095885
20753,4.4647876,51.8609372
27043,4.4642833,51.8617071
27044,4.4639821,51.8617305
27045,4.4636809,51.8617711
51057,4.4611011,51.8601056
36248,4.4582225,51.8612917
27046,4.4633497,51.8618118
27047,4.4630744,51.8618475
27048,4.4627612,51.8618931
27049,4.4624679,51.8619362
51069,4.455125,51.8623284
51068,4.4551066,51.8623354
24414,4.4501136,51.8637836
51062,4.4500728,51.8637889
51061,4.4500832,51.8638011
18830,4.4546579,51.8655447
9092,4.4540397,51.8658272
18821,4.4530329,51.8661828
3500,4.4541475,51.8666779
18824,4.4557953,51.8676865
27050,4.4621647,51.8619904
27054,4.4628222,51.8621015
27055,4.462035,51.8621654
17678,4.4610914,51.8623448
2540,4.4624119,51.8630129
42321,4.4605151,51.8638342
18835,4.4577709,51.8650339
18822,4.4597564,51.8652517
18836,4.4574492,51.8653213
31094,4.4571426,51.8735702
27051,4.4643603,51.8619071
27053,4.4636304,51.8619917
27052,4.4642255,51.8621284
32787,4.4659663,51.8725267
38973,4.4666851,51.8729033
38974,4.4666396,51.8729084
38972,4.4665347,51.8729621
18825,4.4679437,51.8740137
18826,4.468004,51.8742238
30342,4.4670909,51.8746436
52847,4.4539905,51.8682356
31097,4.4493249,51.8688549
31098,4.4493385,51.8688605
9093,4.4532176,51.8689494
18838,4.4537629,51.8691376
18837,4.4547088,51.8694008
9849,4.4517092,51.8695396
31096,4.4543114,51.8700068
31095,4.4542909,51.8700075
24095,4.4497314,51.8757047
53306,4.4798617,51.8602825
53307,4.479247,51.8605592
53305,4.4811681,51.8609208
3285,4.4807904,51.8638973
36258,4.4810833,51.8645446
38969,4.4821409,51.8647618
38968,4.4823069,51.8649067
38970,4.4825048,51.8649099
34795,4.4832082,51.865315
26129,4.4832772,51.8731583
24140,4.4842213,51.8739524
18884,4.4859058,51.8736058
18883,4.4861398,51.8736059
18885,4.485672,51.8736093
18886,4.4851006,51.8736142
18887,4.4849895,51.8736157
18888,4.4848807,51.873616
18889,4.484659,51.8736178
26071,4.4852894,51.8736192
18890,4.4845444,51.8736204
18873,4.48455,51.8738898
24306,4.4753028,51.8601653
22485,4.4761238,51.860829
45717,4.4729948,51.8608152
32735,4.4735851,51.864625
46241,4.4742038,51.8657603
53299,4.469572,51.8600115
53297,4.4704313,51.8601217
38971,4.4694053,51.8682072
23288,4.4692709,51.8685861
30341,4.4698159,51.8722184
31462,4.4701172,51.8723954
18823,4.4708313,51.8726912
32788,4.4705437,51.8727962
32789,4.4705225,51.8727973
32790,4.4704854,51.8727996
32779,4.4768465,51.8742551
32780,4.4768225,51.8742586
32778,4.4768301,51.8742848
35519,4.4782955,51.8743408
24882,4.4768606,51.8744322
3514,4.4769668,51.874848
32775,4.4769001,51.8767102
32776,4.4768695,51.8767124
32791,4.4704533,51.8728007
2720,4.4694684,51.8729559
32793,4.4704574,51.8731071
32792,4.470432,51.8731101
102,4.470013,51.8734096
32794,4.4703935,51.8735846
18833,4.4690437,51.8738731
18832,4.4690815,51.8740118
41049,4.4690537,51.8740387
18829,4.4684437,51.8741565
32736,4.4748234,51.8637769
24473,4.4758873,51.8713661
32777,4.4765647,51.8756433
32771,4.4764848,51.8775624
32770,4.4764482,51.8775663
30331,4.475531,51.8805142
46227,4.4747324,51.8819001
46228,4.4746928,51.8819042
31850,4.4760248,51.8835772
46225,4.4752682,51.8838191
18831,4.4691287,51.8741585
18834,4.4693196,51.8745843
24135,4.4689168,51.8750335
43016,4.4706951,51.8780434
38975,4.4708133,51.8782434
38977,4.4706352,51.8800788
38976,4.4695192,51.8801683
38979,4.4706898,51.8803263
38978,4.4706985,51.8803549
30103,4.47058,51.8811512
30102,4.4703683,51.8816397
30008,4.470423,51.8816545
30011,4.4704733,51.8816647
30104,4.4696242,51.8819694
30105,4.4708692,51.8860115
37324,4.4697569,51.8861101
2716,4.4699012,51.8873414
2717,4.4697988,51.8873765
30095,4.4693028,51.8905433
18523,4.4695254,51.8912271
46226,4.4752682,51.883843
18540,4.4748448,51.8839189
32652,4.4755808,51.8840986
31851,4.4761441,51.8853164
46107,4.4756823,51.8864029
30329,4.4755123,51.8885102
30330,4.4758558,51.8897481
30328,4.475899,51.8902572
18539,4.4764167,51.8906406
18538,4.4753367,51.8908969
30005,4.4720676,51.8857738
26566,4.4720276,51.8860294
30007,4.4721026,51.886402
30009,4.472421,51.8881369
30010,4.4724726,51.8882425
31685,4.4738971,51.8884286
2537,4.4736096,51.8885658
30041,4.4717137,51.8886054
30006,4.4724434,51.8886651
30004,4.4727186,51.88947
30003,4.4728632,51.8896619
30002,4.472967,51.889773
30032,4.4721786,51.8899646
30031,4.4724067,51.8902681
25196,4.472644,51.8903242
35516,4.4731648,51.8903569
18524,4.4724972,51.8904049
30001,4.473512,51.890545
31080,4.4728592,51.8906468
30000,4.4735967,51.8906635
8621,4.4833841,51.8740488
42232,4.4837924,51.8740882
2694,4.4829336,51.8742199
18870,4.4844073,51.8742636
7553,4.4834238,51.8742902
18869,4.4843836,51.8743249
30339,4.4828939,51.8743383
6665,4.4843475,51.8744255
24134,4.4815924,51.8747664
46402,4.4827308,51.874881
43620,4.4810516,51.8652239
4027,4.4806894,51.8653681
30340,4.4815,51.8714117
31843,4.481362,51.8835392
31844,4.4812775,51.8835688
38980,4.4802319,51.8835805
31846,4.4802778,51.883897
31845,4.4802367,51.8839027
31848,4.4789699,51.8840168
31770,4.4810721,51.8849898
18872,4.484529,51.8739543
6664,4.4844744,51.8741063
18871,4.4844318,51.8742012
8936,4.4844445,51.8777741
47294,4.4864813,51.8780309
47295,4.4864681,51.878049
32816,4.4858943,51.8785088
38981,4.4857497,51.8797969
31840,4.4857502,51.8798215
31842,4.4856628,51.8802435
32773,4.4769534,51.8768009
32774,4.4769289,51.8768037
32772,4.4769009,51.8768069
43015,4.4785629,51.8772256
50857,4.4772924,51.8808969
31849,4.476839,51.8837637
31847,4.4789288,51.8840168
2705,4.4779257,51.885606
31852,4.4782798,51.8856697
27876,4.4784778,51.8897048
30332,4.4832175,51.879227
2691,4.4832156,51.8825906
2536,4.4825251,51.8873134
2693,4.4828002,51.8873605
2688,4.4841525,51.8887372
18557,4.4825832,51.8888908
31024,4.4843051,51.8913097
18803,4.4834734,51.8914735
31026,4.4821832,51.8914993
31025,4.4822354,51.8916024
18558,4.4789975,51.8884876
6648,4.4790034,51.8888473
18552,4.4804992,51.8900236
18550,4.4804156,51.8902422
18545,4.4800771,51.8903759
29975,4.4799927,51.8905695
18541,4.4802285,51.8907337
29985,4.4814348,51.8908154
25014,4.479874,51.8908384
1354,4.480259,51.8910634
18548,4.4781161,51.8904017
46105,4.4783101,51.8904443
18543,4.4779493,51.8906207
18542,4.4783219,51.8907514
18593,4.477682,51.8909766
46106,4.4775145,51.8912399
18546,4.4777826,51.891333
18549,4.4787342,51.891341
29992,4.4789037,51.8913522
18547,4.4778712,51.8913611
29919,4.4802567,51.8910848
1197,4.4797934,51.8910976
29986,4.4802074,51.8911102
