detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K105D2.1,43012.473942733915,93.19595862785033,0.02472205582844135,1.0,,0.374717187118288,0.17406649589590598,1.0,458.0,10.0163139,53.552703099999995
K105D2.2,43012.473942733915,50.589033984265804,0.012157561598977663,1.0,,0.37287437017029207,0.17242331961221896,1.0,459.0,10.016322,53.5526649
K1060D1.1,43005.471818617276,184.24077917930705,0.05590800776947876,1.0,,0.121982618667977,0.031935614705931,1.0,240.0,9.9787603,53.570724399999996
K1060D1.2,43005.471818617276,201.97309596040236,0.06145810048432593,1.0,,0.12147100550546899,0.032120410715031,1.0,239.0,9.9787147,53.5707173
K1060D2.3,43005.471818617276,185.56761935174836,0.03202276159870123,1.0,,0.08344641712254001,0.03857927273665,1.0,233.0,9.9783406,53.571627500000005
K1060D2.4,43005.471818617276,220.86300494970462,0.035647187183990625,1.0,,0.08470315603791,0.037751301078348,1.0,234.0,9.9783969,53.571627500000005
K1088D3.1,43005.78304597701,166.67025862068965,0.1633033630702351,1.0,,0.095795443346714,0.020841801911174,1.0,52.0,9.9693418,53.5511048
K1088D3.2,43005.78304597701,142.02705938697318,0.23479546943742396,1.0,,0.084259867731441,0.007852627701314,1.0,53.0,9.9693069,53.55107770000001
K113D1.1,43005.84382670472,99.84354732493864,0.22214841280930425,1.0,,0.266881311481349,0.022893779013021,1.0,300.0,9.9903475,53.5545578
K113D2.2,43005.84382670472,48.92458741593662,0.19888507513320428,1.0,,0.04709208942722601,0.0018889300948110002,1.0,179.0,9.9909067,53.5544718
K113D2.3,43005.84382670472,52.44996108638822,0.23581189758735607,1.0,,0.420177716177639,0.002086608125028,1.0,178.0,9.9909563,53.5544575
K113D2.4,43005.84382670472,69.74436750414081,0.05243941782576014,1.0,,0.04709208942722601,0.026281156801761,1.0,179.0,9.9909537,53.55468930000001
K113D2.5,43005.84382670472,48.13593821715791,0.05927168352923176,1.0,,0.420177716177639,0.027685732001181,1.0,178.0,9.9910086,53.55468530000001
K113D3.6,43005.84382670472,29.97266069326096,0.024270542202347672,1.0,,0.065921240696315,0.026118344111299,1.0,180.0,9.9914901,53.554032799999995
