,long,lat
9617,9.9488079,53.5441286
16425,9.9487231,53.5442034
2778,9.9501002,53.5444614
9616,9.9467672,53.5441628
32542,9.9673443,53.5422239
32543,9.9673702,53.5422383
23733,9.9676137,53.5422424
16690,9.9673942,53.5422544
763,9.9621444,53.5459439
15810,9.9608881,53.5460882
24296,9.9602834,53.5461669
24295,9.9603275,53.5461724
31085,9.9607561,53.5462096
18481,9.9647519,53.5454099
15809,9.9640059,53.5454199
18498,9.9643528,53.5454275
18501,9.963655,53.5454275
18502,9.9637774,53.5454313
18503,9.9637185,53.5454324
13968,9.9638381,53.5454327
3503,9.9632299,53.5459598
18494,9.9664966,53.545327
18476,9.9660332,53.5453478
14594,9.9662756,53.5453488
18477,9.9659814,53.5453516
18478,9.9657867,53.5453637
18479,9.9657349,53.5453676
18493,9.9660623,53.545377
14590,9.9661422,53.5453779
18483,9.965967,53.5453837
18500,9.9649681,53.5454035
31089,9.9592687,53.5460435
21732,9.9564952,53.5460912
33642,9.9569425,53.5461426
33641,9.9569953,53.5461583
2531,9.9570813,53.5461929
9475,9.9577662,53.5461935
2529,9.9576503,53.5462383
33640,9.9571063,53.5462687
10842,9.9582285,53.5462946
24712,9.9564159,53.5463734
18480,9.9648037,53.545406
27190,9.9652615,53.5454291
29577,9.967964,53.545683
15953,9.9676369,53.545701
32778,9.9673516,53.5459296
8556,9.9655254,53.5459914
18620,9.9678614,53.5464915
3529,9.9649891,53.5468419
31287,9.9668223,53.5469415
15041,9.9651696,53.5472034
31088,9.9602655,53.5462139
31086,9.9603112,53.5462188
24294,9.9611701,53.546257
31084,9.961819,53.5463543
20217,9.9606111,53.5465324
2530,9.9600445,53.5465514
2759,9.9618197,53.5465781
2528,9.9600022,53.5466845
33635,9.9610284,53.5467575
9476,9.9605214,53.5469434
16567,9.9553841,53.5451464
16460,9.9556096,53.545255
24286,9.9551657,53.5455068
20970,9.9552542,53.5455233
24287,9.9553132,53.5455368
31094,9.9559026,53.5456243
24293,9.9561118,53.5457059
24292,9.9561801,53.5457106
24501,9.951774,53.5439748
24503,9.9518457,53.5439876
24502,9.9518967,53.5439972
31096,9.9520081,53.5440246
33960,9.9527031,53.5441562
16459,9.9551021,53.5449844
24770,9.951792,53.5452285
13800,9.9534355,53.5452447
25453,9.9469373,53.5442072
23098,9.9470766,53.5444362
16424,9.9460599,53.5444614
2779,9.9459206,53.544474
9277,9.9465472,53.5444828
16086,9.9455592,53.5444917
18571,9.9440426,53.5445503
9612,9.9466087,53.5445506
