detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
CNTR_N00/005b1,43430.7298136646,106.65551242236025,0.02134465591055383,0.6041925465838509,,0.24493644573619,0.110672235765361,1.0,1281.0,-0.106199,51.5109287
CNTR_N00/005g1,43430.7298136646,562.9322149249482,0.4370146150059808,0.3409937888198758,,0.237531627177892,0.224618617636343,1.0,463.0,-0.1114877,51.51108099999999
CNTR_N00/005g2,43430.7298136646,530.898367302795,0.42104412237099376,0.3409937888198758,,0.238616506389353,0.224596365395545,1.0,464.0,-0.1114773,51.511047500000004
CNTR_N00/005x1,43430.7298136646,387.02506982621634,0.053455372085559005,0.3686335403726708,,0.420449340548721,0.335634681307603,1.0,3765.0,-0.10703280000000001,51.51108459999999
CNTR_N00/005x2,43430.7298136646,432.67169278167705,0.085402316604912,0.3447204968944099,,0.419347981674228,0.335239445409063,1.0,3766.0,-0.1070345,51.5110542
CNTR_N01/001b1,43430.7298136646,514.5415236117753,0.3424475335226993,0.033385093167701864,,0.046709816895472,0.019460810746705,1.0,5171.0,-0.140822,51.50765899999999
CNTR_N01/001c1,43430.7298136646,93.24583183770704,0.24461262195034808,1.0,,0.116159088952815,0.049721462470432,1.0,48.0,-0.14084,51.506973
CNTR_N01/001d1,43430.7298136646,520.3961975129658,0.30773668872388715,0.033850931677018636,,0.063070620547051,0.037389789399587,1.0,42.0,-0.1419025,51.5072646
CNTR_N01/001d2,43430.7298136646,419.83326781325053,0.29052066196714027,0.033385093167701864,,0.062434903714995,0.037490373937472,1.0,43.0,-0.1418709,51.507241799999996
CNTR_N01/001q1,43430.7298136646,0.030808506211180125,0.9999948519875776,1.0,,0.048182355017332,0.032521017976964,1.0,5166.0,-0.140251,51.50711
CNTR_N01/001x1,43430.7298136646,51.05829531891821,0.44958217028827385,1.0,,0.224098873197702,0.216617401030733,1.0,5170.0,-0.1413713,51.507658
CNTR_N01/002a1,43430.7298136646,217.3735424707298,0.5121271456157428,0.3855590062111801,,0.070049651609521,0.033165383072607,1.0,5167.0,-0.1401387,51.507314
CNTR_N01/002b1,43430.7298136646,169.46276299459112,0.5602872822320678,0.2970496894409938,,0.072256980468942,0.03365712660808,1.0,5168.0,-0.1400934,51.5073304
CNTR_N01/002c1,43430.7298136646,151.62806753923397,0.07539313947240683,0.34006211180124224,,0.176526018079402,0.088013710188312,1.0,5177.0,-0.1407714,51.50885469999999
CNTR_N01/002h1,43430.7298136646,256.5594303162267,0.2964339918327588,0.08214285714285714,,0.065934882729064,0.038987557872872,1.0,44.0,-0.1411503,51.5076117
CNTR_N01/002h2,43430.7298136646,484.5940483631988,0.5769681171329374,0.03354037267080745,,0.065711020779638,0.038632316233014,1.0,45.0,-0.1411237,51.5075867
CNTR_N01/002j1,43430.7298136646,151.70159354518634,0.057904335264896474,0.6472049689440994,,0.10107373710715799,0.081920749280431,1.0,51.0,-0.137012,51.509022
CNTR_N01/002x1,43430.7298136646,268.4471813997412,0.14054061208881988,0.045496894409937885,,0.288005265262982,0.271784684491918,1.0,5176.0,-0.140862,51.50799
CNTR_N01/002y1,43430.7298136646,136.57982463744824,0.157501394976294,1.0,,0.035190071767228,0.019650249018517,1.0,5173.0,-0.140024,51.507977
CNTR_N01/002z1,43430.7298136646,411.60379764373704,0.1757564448968297,0.03524844720496895,,0.044011608072914994,0.022563069716531,1.0,5172.0,-0.140412,51.507918
CNTR_N01/003r1,43430.7298136646,390.14235103188406,0.1984641740757091,0.034161490683229816,,0.108962859493141,0.097733896202774,1.0,50.0,-0.138526,51.508562
CNTR_N01/003w1,43430.7298136646,148.7976305351708,0.11945922559246118,0.8659937888198758,,0.09944680705801,0.077794952336121,1.0,54.0,-0.136059,51.509268000000006
CNTR_N01/005e1,43430.7298136646,0.002329192546583851,6.469980590062112e-07,1.0,,0.277597371788936,0.080738901974501,1.0,421.0,-0.1428374,51.5078534
CNTR_N01/005f1,43430.7298136646,552.8610238471532,0.3244352430259938,0.03369565217391304,,0.065350541983216,0.03302800816516,1.0,46.0,-0.1414177,51.5073753
CNTR_N01/005h1,43430.7298136646,439.77787973343686,0.6074158540573835,0.42934782608695654,,0.120947076898365,0.096698394947404,2.0,40.0,-0.1433104,51.5065723
CNTR_N01/006a1,43430.7298136646,170.56814166689958,0.06789297287664336,0.12282608695652174,,0.08066535954284,0.059146985711447,1.0,53.0,-0.135024,51.50959999999999
CNTR_N01/006s1,43430.7298136646,352.6086747115683,0.3585082303588768,0.0391304347826087,,0.10107373710715799,0.087000278321297,1.0,51.0,-0.137089,51.509016
CNTR_N01/007a1,43430.7298136646,180.57782602316252,0.5202923349038846,0.3532608695652174,,0.059790473169479,0.005966661768560999,1.0,5131.0,-0.127327,51.508338
CNTR_N01/007b1,43430.7298136646,265.31815542021224,0.44656242014313663,0.34130434782608693,,0.069069900710187,0.053857676290032,1.0,481.0,-0.127239,51.509189000000006
CNTR_N01/007c1,43430.7298136646,218.36935484112317,0.5811849629763871,0.3504658385093168,,0.059256157947611,0.005177299764258,1.0,5130.0,-0.127284,51.508345000000006
CNTR_N01/007z1,43430.7298136646,334.3791854380176,0.16967961548529245,0.34130434782608693,,0.059256157947611,0.047352464340264,1.0,5130.0,-0.127181,51.507974
CNTR_N01/009a1,43430.7298136646,227.0989699023292,0.21651495043674948,0.2982919254658385,,0.131564790460651,0.12069398084219202,1.0,72.0,-0.125399,51.507035
CNTR_N01/009b1,43430.7298136646,265.69263515408903,0.48157913419997933,0.035559006211180126,,0.050981443465782,0.007273080562112,1.0,70.0,-0.127506,51.507577
CNTR_N01/009b2,43430.7298136646,196.41274023599897,0.32063903543524847,0.16304347826086957,,0.046750847630567006,0.005623565490265,1.0,69.0,-0.127531,51.507532999999995
CNTR_N01/009g1,43430.7298136646,454.17747309953415,0.2914894813179296,0.03369565217391304,,0.035107968074336,0.0243271520699,1.0,5129.0,-0.127345,51.507708
CNTR_N01/009h1,43430.7298136646,245.3005801810559,0.1400408179384084,0.04440993788819876,,0.058625510874014,0.045336118230971,1.0,5132.0,-0.127192,51.508402
CNTR_N01/009i1,43430.7298136646,359.0718922268892,0.33056092703709367,0.03540372670807453,,0.108764498134458,0.074138125973627,1.0,486.0,-0.125924,51.508297999999996
CNTR_N01/009u1,43430.7298136646,70.43655714906832,0.8719853712228313,0.7864906832298136,,0.047499771966133,0.040357460427255,1.0,5137.0,-0.127328,51.507516
CNTR_N01/009v1,43430.7298136646,327.2651357539596,0.1966488830313095,0.033385093167701864,,0.063210462761011,0.041939229514322,1.0,68.0,-0.128056,51.507551
CNTR_N01/009w1,43430.7298136646,298.87313527184267,0.3277960136382194,0.0343167701863354,,0.033809075256431,0.010014580262893,1.0,5126.0,-0.127017,51.507690999999994
CNTR_N01/009w2,43430.7298136646,201.99140602041925,0.8693980559628053,0.03944099378881988,,0.033933708249574,0.010479439442239,1.0,5127.0,-0.127056,51.507703
CNTR_N01/009w3,43430.7298136646,232.5840817387422,0.09182142837811076,0.03462732919254658,,0.04185063336722101,0.009439256731478,1.0,5128.0,-0.127095,51.507715
CNTR_N01/009y1,43430.7298136646,316.30859675807454,0.16383588831403986,0.034782608695652174,,0.033809075256431,0.022877013370978,1.0,5126.0,-0.126905,51.507784
CNTR_N01/009z1,43430.7298136646,223.40340873188407,0.12212666002400104,0.034161490683229816,,0.04185063336722101,0.029280476393345002,1.0,5128.0,-0.127056,51.507885
CNTR_N01/010a1,43430.7298136646,564.5864184514234,0.44450677051153986,0.03462732919254658,,0.037043550610147,0.001066679733911,1.0,5135.0,-0.127502,51.507255
CNTR_N01/010b1,43430.7298136646,312.38422862699275,0.274921592259604,0.115527950310559,,0.109332145284217,0.099357268424847,2.0,439.0,-0.127131,51.506111
CNTR_N01/010c1,43430.7298136646,215.63075262018634,0.264065174966162,0.18618012422360247,,0.177982575621588,0.16091053500317704,1.0,426.0,-0.12996,51.50628
CNTR_N01/010h1,43430.7298136646,92.57454574676501,0.7788368325461931,0.6931677018633541,,0.0378403256195,0.016454888603182,1.0,66.0,-0.128606,51.50755500000001
