detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K1.D102,43050.0,159.48958333333334,,,,0.12236393321912702,0.01235754513159,1.0,580.0,5.14490246,52.09642469
K1.D103,43050.0,159.66666666666666,,,,0.12236393321912702,0.015221559093300998,1.0,580.0,5.14494343,52.09642977
K1.D113,43050.0,110.22916666666667,,,,0.416873705276948,0.014664889645313,1.0,582.0,5.14489814,52.09639556
K1.D114,43050.0,101.27083333333333,,,,0.096514526055412,0.018009683083092,1.0,581.0,5.14489645,52.09636724
K1.D115,43050.0,111.10416666666667,,,,0.416873705276948,0.017626595311301,1.0,582.0,5.14494093,52.09640084
K1.D116,43050.0,102.15625,,,,0.096514526055412,0.019884352349225,1.0,581.0,5.14493903,52.09637267
K1.D12,43050.0,93.89583333333333,,,,0.170187562260095,0.012825903119357,1.0,594.0,5.14429327,52.09557255
K1.D13,43050.0,93.71875,,,,0.170187562260095,0.015825860384646,1.0,594.0,5.14430566,52.09554705
K1.D23,43050.0,205.41666666666666,,,,0.510854257921212,0.009351085513974,1.0,595.0,5.1442294,52.09559799
K1.D24,43050.0,210.22916666666666,,,,0.507822521354054,0.012567073551481,1.0,596.0,5.14417481,52.09559178
K1.D25,43050.0,208.46875,,,,0.510854257921212,0.012273516012505,1.0,595.0,5.14423845,52.09557158
K1.D26,43050.0,211.25,,,,0.507822521354054,0.015551960508714,1.0,596.0,5.14418444,52.09556563
K1.D42,43050.0,160.5625,,,,0.12495441733807801,0.014887766826891,1.0,601.0,5.14317657,52.09582146
K1.D43,43050.0,160.38541666666666,,,,0.12495441733807801,0.017912987341251,1.0,601.0,5.14313369,52.09581692
K1.D52,43050.0,174.89583333333334,,,,0.12003893094458801,0.01037554899879,1.0,602.0,5.14318216,52.09588538
K1.D53,43050.0,176.28125,,,,0.12003893094458801,0.013282334215225,1.0,602.0,5.14314021,52.09588118
K1.D541,43050.0,14.072916666666666,,1.0,,0.046917082079634,0.003682163668082,1.0,593.0,5.14407672,52.09584182
K1.D542,43050.0,14.072916666666666,,1.0,,0.046917082079634,0.015212311227101002,1.0,593.0,5.14391381,52.09582699
K1.D624,43050.0,169.67708333333334,,,,0.060208335121901,0.010164481046342,1.0,585.0,5.14454545,52.09620926
K1.D625,43050.0,119.95833333333333,,,,0.055784948654807,0.008797070830327,1.0,584.0,5.14448986,52.09620716
K1.D626,43050.0,180.09375,,,,0.047912710718582,0.006071464418541,1.0,583.0,5.14443982,52.09620997
K1.D627,43050.0,186.60416666666666,,,,0.060208335121901,0.013101665444422,1.0,585.0,5.14453394,52.09618288
K1.D628,43050.0,128.26041666666666,,,,0.055784948654807,0.011794017692443,1.0,584.0,5.14447894,52.0961814
K1.D629,43050.0,173.03125,,,,0.047912710718582,0.009138254721825,1.0,583.0,5.14442797,52.09618312
K1.D653,43050.0,174.55208333333334,,,,0.040417768630968,0.013395032032704,1.0,592.0,5.14391556,52.09585847
K1.D654,43050.0,51.854166666666664,,1.0,,0.034945220751824,0.012347815167706,1.0,591.0,5.14391409,52.09589094
K1.D655,43050.0,177.69791666666666,,,,0.040417768630968,0.016454872669944,1.0,592.0,5.14387228,52.09585958
K1.D656,43050.0,27.75,,1.0,,0.034945220751824,0.014411086499529,1.0,591.0,5.14387054,52.0958906
K1.D683,43050.0,225.65625,,,,0.083905611195534,0.01386610182266,1.0,590.0,5.143392,52.09605062
