,long,lat
8660,5.1140315,52.0500738
3931,5.1115358,52.0503248
533,5.1130109,52.050618
1114,5.1128664,52.057648
8658,5.1109046,52.0516938
8662,5.1112507,52.0522436
8663,5.1113993,52.0525643
10871,5.1085715,52.0553796
8661,5.1168333,52.0505249
25144,5.1171581,52.0585339
2487,5.1196547,52.0578875
25140,5.1196716,52.0580502
25139,5.1196973,52.0580598
12899,5.1198247,52.0580761
25142,5.1197016,52.0580786
20769,5.116505,52.0512567
1113,5.1145463,52.0571395
25135,5.1162242,52.0586316
25136,5.1161758,52.0586389
12904,5.1162042,52.0586415
25143,5.1161182,52.0591611
24377,5.1148831,52.0605773
12907,5.1173304,52.0590442
25131,5.1171331,52.0590994
12908,5.1170617,52.0591009
25132,5.1171025,52.0591054
25133,5.1170841,52.0591234
25134,5.1170935,52.0591405
25130,5.1174133,52.0591649
25129,5.1174251,52.0591884
12910,5.1174663,52.0592355
25127,5.117426,52.059273
26437,5.1137859,52.0590936
26436,5.1133468,52.059185
24385,5.1125019,52.0594801
2265,5.1123239,52.0597175
2266,5.1124216,52.0599049
24370,5.1140667,52.0600299
2267,5.1125636,52.0601781
24371,5.1143761,52.0602572
24372,5.1143393,52.06031
24373,5.1143761,52.0603233
25128,5.1173925,52.0592788
12912,5.1172091,52.0593268
12928,5.1177716,52.0599271
25124,5.1177349,52.0599324
25125,5.1176618,52.0599464
25126,5.1176128,52.0599553
12931,5.117538,52.0599693
25123,5.117492,52.0599768
12933,5.1169644,52.0600858
12934,5.1168198,52.0602037
12935,5.1167712,52.0602059
12940,5.1170511,52.0603872
25203,5.1167596,52.0604361
10230,5.1168616,52.0604411
10231,5.1173323,52.0604775
12942,5.1172103,52.0605864
9939,5.117513,52.0606144
10233,5.1174064,52.0606387
12943,5.1174491,52.0606422
10234,5.1174497,52.0606432
24374,5.1144185,52.0603604
24382,5.1133894,52.0604254
24369,5.113779,52.0604764
24368,5.113862,52.0605222
24384,5.1122222,52.060535
24381,5.1133607,52.0605367
24380,5.1133734,52.0605579
24386,5.1142101,52.060586
24367,5.1142751,52.0606341
24378,5.1134442,52.0607008
25145,5.1203425,52.0580668
12901,5.1217406,52.0583746
8657,5.1223179,52.0504886
8656,5.1228663,52.0541645
25149,5.1224921,52.059068
25148,5.1224289,52.0593867
12926,5.1228177,52.0598821
12949,5.1222127,52.0609346
3933,5.1242824,52.0514075
3932,5.124336,52.0515329
8655,5.1243331,52.0545587
1286,5.1258883,52.0548227
1288,5.1257757,52.0548722
1111,5.1258964,52.0548953
7441,5.1247566,52.0560095
5565,5.1262859,52.0567657
12888,5.1248611,52.0572424
12889,5.1249084,52.0572546
25141,5.1197388,52.0580991
25146,5.1191814,52.0581894
2489,5.1195486,52.0594619
12918,5.1195695,52.0594697
25147,5.1200534,52.0595462
25204,5.1186876,52.0596259
25205,5.1186607,52.059632
12922,5.1201486,52.059671
12930,5.1199446,52.0599035
12932,5.1192714,52.0600648
25137,5.121704,52.0583776
25138,5.1216635,52.0583846
12913,5.1214026,52.0593397
25113,5.1215182,52.0595227
25114,5.1214531,52.0595346
25115,5.1214022,52.0595439
25117,5.1212687,52.05957
25116,5.1212282,52.0595758
12923,5.1203816,52.0597137
24018,5.1207232,52.0601044
12890,5.1248617,52.0572678
5569,5.1247745,52.0573452
5568,5.1248496,52.0573765
12914,5.1254727,52.059362
12925,5.1246929,52.0598793
12927,5.1268888,52.0598976
12964,5.1263565,52.0618297
23436,5.1243092,52.0624736
23435,5.124363,52.0624887
13024,5.1268993,52.0637805
19609,5.1202737,52.0601591
25119,5.1183763,52.0602236
25120,5.1198454,52.0602589
25121,5.1198147,52.0602668
25122,5.1197284,52.0602813
12938,5.1196984,52.0602883
25118,5.1185744,52.0603355
19192,5.1188307,52.0605346
25363,5.1197383,52.0613109
25364,5.1197119,52.0613414
12885,5.1029567,52.0571246
12887,5.1025986,52.0571852
12892,5.1029031,52.0574583
12897,5.1031211,52.0580187
12902,5.103156,52.0584919
1118,5.1016042,52.058556
12917,5.1007704,52.0594236
12945,5.1031744,52.0608099
12946,5.1025481,52.0608409
1116,5.103506,52.05066
12893,5.1040383,52.0574791
12895,5.103795,52.0578297
10269,5.1069061,52.0580345
7464,5.1038106,52.0592568
10796,5.1043307,52.0614704
10797,5.1053124,52.0615548
10862,5.1085972,52.0554162
241,5.1089149,52.0561998
9837,5.1079527,52.060965
18206,5.1083364,52.0609912
1014,5.1101695,52.0622616
19583,5.1081146,52.0629394
229,5.1101244,52.0654352
13156,5.1086671,52.0666083
13157,5.1099685,52.0666245
9829,5.1096158,52.0666886
12947,5.1019492,52.0608533
12948,5.1013201,52.0608807
5484,5.1029637,52.0612066
10799,5.1021159,52.061213
10800,5.1026836,52.0612279
9838,5.1012824,52.0612311
5485,5.1018373,52.061241
12958,5.1015836,52.0614774
10801,5.1011972,52.0615835
9844,5.1020542,52.061686
10798,5.1049128,52.0616314
12962,5.1054523,52.061703
5486,5.1033705,52.0617046
12965,5.105289,52.0618443
12967,5.1039453,52.0618755
11146,5.1050318,52.0619097
11145,5.1049471,52.0619265
12968,5.1032955,52.0619494
9852,5.1060548,52.0620752
11147,5.1037188,52.0621226
5483,5.1012395,52.061746
10802,5.102992,52.0618264
9842,5.1002717,52.0618968
10804,5.1023912,52.0619682
10803,5.1021846,52.0620045
12969,5.102562,52.0620314
10805,5.101267,52.0620358
238,5.1032058,52.062144
12973,5.1008554,52.0622458
239,5.1012319,52.0623764
9847,5.1063734,52.0621952
11141,5.1037964,52.0623514
12975,5.1033977,52.0623944
9846,5.1065247,52.0626389
9843,5.1033594,52.0628396
12989,5.1067519,52.0629615
12993,5.1038136,52.0630344
9830,5.1052396,52.0631473
11144,5.1034301,52.0633106
24593,5.1067878,52.0634815
12979,5.1015252,52.0625553
12982,5.1029056,52.062718
9834,5.1017756,52.0627304
9833,5.10201,52.0628126
11143,5.1021212,52.062855
9831,5.102694,52.063054
11142,5.1003913,52.0631946
9828,5.1031075,52.0632014
13008,5.1001471,52.0633194
13011,5.1000465,52.0634035
13034,5.1023419,52.0640789
10496,5.1001353,52.0641931
10497,5.1001648,52.0642024
13041,5.1001816,52.0642085
10498,5.1002024,52.0642157
9850,5.1015794,52.0642376
10499,5.1002674,52.0642379
10495,5.1027821,52.0644285
10481,5.0998846,52.064472
10479,5.1006156,52.064477
13023,5.1069005,52.0637633
10274,5.1041077,52.0638395
13047,5.1040313,52.0642744
13056,5.1071809,52.0644237
9832,5.1044248,52.064597
9826,5.1054134,52.0652268
7511,5.107756,52.0653551
1023,5.107205,52.0654066
13105,5.1071997,52.065517
13114,5.1062696,52.0657691
2330,5.1235447,52.0611976
12953,5.123644,52.0612068
12955,5.1223911,52.0613345
21302,5.1229491,52.0627932
21301,5.1229717,52.062821
21299,5.1230783,52.0628297
21300,5.1230378,52.0628407
25371,5.122439,52.0639047
25372,5.1224468,52.063921
21304,5.1230661,52.0642237
12957,5.1198767,52.0614002
25365,5.1186555,52.061509
25366,5.1186263,52.0615148
25367,5.1200996,52.0618987
25368,5.1193483,52.0630828
25369,5.1193592,52.0631008
13010,5.1183075,52.0633853
13017,5.1185777,52.0635521
25370,5.1197346,52.0639222
3501,5.1202812,52.0644425
25362,5.1213748,52.0626493
12983,5.1210141,52.0627286
12987,5.1203965,52.0629268
12990,5.120963,52.0629771
22521,5.1214974,52.0631813
21297,5.1216352,52.063215
21296,5.1214317,52.0632491
13004,5.1214079,52.0632532
21298,5.1215111,52.0632571
