detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
N20111G1,42707.230769230766,459.8885470083761,0.08389068392517948,1.0,,0.270038098168357,0.20465761102117203,1.0,95.0,-79.3973886,43.6765654
N20111G2,42790.32037005311,79.05602193172862,0.01639600820165496,1.0,,0.267309085878805,0.20354512309006398,1.0,94.0,-79.3974288,43.6765567
N20111J1,42707.230769230766,323.58803419054703,0.0924427351142735,1.0,,0.291320310584418,0.24193186289441798,1.0,123.0,-79.3956428,43.6725162
N20111J2,42707.230769230766,286.8153845868376,0.04818623941057094,1.0,,0.296422818616329,0.24355112063071002,1.0,124.0,-79.395683,43.6725046
N20111K1,42721.553463349024,430.078681971419,0.08909162744119031,,,0.23466614030409896,0.073968465276579,1.0,122.0,-79.3965614,43.6716335
N20121A1,42707.230769230766,536.1227349565812,0.08519914558929914,,,0.297604565456541,0.18847908414346598,1.0,126.0,-79.3962902,43.6738563
N20121A2,42721.67293876155,50.21142661326206,0.0853026854905419,1.0,,0.301270348327949,0.189889358563391,1.0,125.0,-79.3963399,43.6738514
N20131G1,42697.6443085776,98.45531380840819,0.38873332158660706,1.0,,0.200189279125923,0.125763889797075,1.0,120.0,-79.3954094,43.6715724
N20131G2,42834.15910676902,35.889741802300065,0.2743297279961914,1.0,,0.200359297954447,0.12578296600328,1.0,121.0,-79.3953772,43.6715841
N20141A1,42707.230769230766,224.83008547632477,0.04090205116765641,1.0,,0.270858022139666,0.18188191671097,1.0,89.0,-79.3984078,43.6788602
N20141A2,42917.62771322078,481.96141184433236,0.06633238324001316,,,0.261704307731087,0.177202825623898,1.0,90.0,-79.3983528,43.6788641
N20141C1,42707.230769230766,578.7962392839316,0.10665760695873505,,,0.29211194928556,0.249160136773809,1.0,96.0,-79.3966161,43.6749824
N20141C2,42707.230769230766,67.72512823251454,0.015870427237812137,1.0,,0.288726878192849,0.245164722948106,1.0,97.0,-79.3966711,43.6749814
N20141D1,42707.230769230766,237.3446153914872,0.09694358979510599,1.0,,0.400309568046679,0.221251556124801,1.0,93.0,-79.4003189,43.6764296
N20161C1,42707.230769230766,571.5849572916239,0.103203931816,,,0.341207139813701,0.313183448482631,1.0,88.0,-79.398542,43.6797507
N20161C2,42707.230769230766,144.73196578947008,0.02637478624029111,1.0,,0.33834942538464,0.311401672348683,1.0,87.0,-79.3986023,43.6797371
N20211A1,42707.230769230766,177.91965813721367,0.0813782051411805,1.0,,0.315586596425749,0.09436577438287398,1.0,130.0,-79.391667,43.6750343
N20231V1,42721.553463349024,372.4889038493611,0.08441055820817082,,,0.10150811737125498,0.05615160283249499,1.0,161.0,-79.3875607,43.6722388
N20231Z1,42721.553463349024,330.109616634499,0.05070544724498991,,,0.313745130570049,0.129086629442789,1.0,166.0,-79.3883949,43.6741109
N20241B1,42707.230769230766,264.0875213582906,0.061109914486000005,,,0.231626207856755,0.155349431967533,1.0,168.0,-79.3833309,43.6715924
N20241D1,42721.553463349024,330.109616634499,0.05070544724498991,,,0.253674377025864,0.196749798542284,1.0,163.0,-79.387094,43.6727238
N20311C1,42707.230769230766,354.57641027692307,0.15258076932661538,,,0.10405304141880502,0.039371752835635,1.0,76.0,-79.3895994,43.6701589
N21121U1,42707.230769230766,411.5309401244444,0.1393028205171795,,,0.206612926918096,0.149984540314128,1.0,68.0,-79.3899656,43.6696758
N21121U2,42707.230769230766,153.12786324984958,0.050567008512153844,1.0,,0.20889733447230302,0.156101571516381,1.0,69.0,-79.3899414,43.6696428
N21211H2,42707.230769230766,207.18051283914528,0.05191991453391453,1.0,,0.222008027266163,0.153894742481886,1.0,11.0,-79.387687,43.6701029
N21211K1,42707.230769230766,409.93538460376067,0.12163982921762394,,,0.18071642021995202,0.159551552809,1.0,70.0,-79.3915708,43.6692437
N21211K2,42707.230769230766,200.0044444791453,0.05774239316442735,1.0,,0.18469096117155598,0.160113192016728,1.0,71.0,-79.3915587,43.6692184
N21211R1,42716.860777638416,318.6274861064325,0.18336221247590037,1.0,,0.047664051284697,0.017139768392479,1.0,13.0,-79.3890777,43.6698106
N21211S1,42784.88053985045,111.10851721010395,0.04577384682810505,1.0,,0.058714464714194996,0.039070826849997,1.0,72.0,-79.3893111,43.6693014
N21311B1,42707.230769230766,488.0635897427351,0.14317923090326495,1.0,,0.282262495547721,0.228391157928899,1.0,17.0,-79.3839223,43.6709095
N21311C1,42707.230769230766,244.9644444509402,0.0691857266159829,,,0.180196294250197,0.145500235813946,1.0,9.0,-79.3862617,43.6691217
N21311D1,42707.230769230766,337.81059828102565,0.14430982923350427,,,0.229569237437045,0.17982391588045402,1.0,14.0,-79.3890817,43.6697756
N21311D2,42707.230769230766,131.52991453487178,0.08503179502918633,1.0,,0.22872511718649496,0.180024150413533,1.0,15.0,-79.3890764,43.6697515
N21411H1,42692.42002781641,546.7413072941586,0.2529925243104311,,,0.225029053096725,0.166483800420392,1.0,169.0,-79.381035,43.6715479
N21411Q1,42707.230769230766,147.11760683752138,0.08331666663917948,1.0,,0.085355913145599,0.062084426391536995,1.0,18.0,-79.3834234,43.6717165
N21421C1,42707.230769230766,119.25435897420513,0.008388632411305299,1.0,,0.191633067440345,0.129464103955691,1.0,171.0,-79.3799941,43.6704149
N21421D1,42707.230769230766,582.3822222131623,0.2289997434626325,1.0,,0.21510878841909498,0.150915982657279,1.0,170.0,-79.3825464,43.6711113
N21421M1,42692.42002781641,85.30319886728094,0.04473817802990612,1.0,,0.071306102436043,0.041650519491889,1.0,191.0,-79.3797971,43.6717574
N21421X1,42707.230769230766,557.8413675410256,0.21371034220070087,,,0.105345969923005,0.082247038298632,1.0,189.0,-79.3793275,43.6718977
N21431H1,42707.230769230766,641.3388033911111,0.11249299187909742,1.0,,0.487266827164913,0.4316918331396021,1.0,201.0,-79.3714399,43.6719462
N21431R1,42704.15398388541,126.91566699498657,0.0276703671529812,1.0,,0.091610043996668,0.05881156437606,1.0,202.0,-79.3759824,43.6724867
N21441Z1,42707.230769230766,642.5476922488889,0.18364333372793162,,,0.122346139035114,0.088835990115897,1.0,190.0,-79.3802437,43.6716187
N21511C1,42707.230769230766,365.0550426750427,0.0820941879983077,,,0.189150476007579,0.10765731820329,1.0,200.0,-79.3704931,43.6706754
N21511D1,42707.230769230766,400.52581195589744,0.2311184618806701,1.0,,0.481219971022302,0.397045420173192,1.0,204.0,-79.3759824,43.6724189
N21511D2,42946.12481127328,271.4811272845496,0.17727478623766985,,,0.48085275320258,0.395913191336091,1.0,203.0,-79.3759824,43.672445
N21511M1,42707.230769230766,716.0034189500855,0.10093965842900855,,,0.070731878733587,0.059688878192413,1.0,206.0,-79.3688147,43.6733122
N21521G1,42707.230769230766,810.775726514017,0.18023863271557264,,,0.095608551710102,0.045181335245367,2.0,207.0,-79.3686082,43.6742919
N21521H1,42707.230769230766,393.6936751652991,0.052658290533880346,1.0,,0.292922849250805,0.081832225173188,1.0,209.0,-79.3671598,43.6745131
N21521K1,42707.230769230766,788.0136752736069,0.15179965837897436,,,0.308624009996642,0.097187627057249,2.0,208.0,-79.3690641,43.6730503
N22411A1,42707.230769230766,322.9203418382393,0.24820376070117947,,,0.180486726416903,0.11464113586419701,1.0,77.0,-79.3893741,43.6692897
N22441J1,42692.42002781641,288.7795549412378,0.052358657884979135,,,0.195895961339408,0.084853062153793,1.0,46.0,-79.3860367,43.6616561
N22451B1,42707.230769230766,160.32478632752137,0.03712897430405128,1.0,,0.20717220835614897,0.099861252053572,1.0,45.0,-79.3844783,43.6611012
N22451C1,42707.230769230766,230.08854698837607,0.036749401670598286,1.0,,0.265489105916674,0.215367846036138,1.0,36.0,-79.3849522,43.6588511
N22451C2,42707.230769230766,183.22393160119657,0.04470794878430769,1.0,,0.264747420302243,0.21581145009589403,1.0,35.0,-79.3849884,43.6588366
N22451D1,42707.230769230766,158.97641025264957,0.04140623930259829,1.0,,0.124906149439433,0.08898725529125301,1.0,41.0,-79.3870975,43.6605365
N22461G2,42707.230769230766,264.76478633504274,0.03995017091728205,,,0.27332742812392,0.207406929465585,1.0,43.0,-79.385688,43.6603813
N22461H1,42707.230769230766,280.35487180923076,0.08739111112056411,,,0.229719971932594,0.10192827001596,1.0,37.0,-79.3834998,43.6588123
N22461K1,42707.230769230766,207.35863247470087,0.0717941026291453,1.0,,0.127802065662247,0.0696011553126,1.0,34.0,-79.385777,43.6582612
N22461R1,42707.230769230766,212.71931621692306,0.041421538361128205,1.0,,0.065907825043677,0.050251007587157,1.0,39.0,-79.3840872,43.6586493
N22461R2,42707.230769230766,206.1439316442735,0.04250794878223932,1.0,,0.065530259430895,0.049976925130576,1.0,38.0,-79.3841005,43.6586668
N22471A1,42707.230769230766,212.71931621692306,0.041421538361128205,1.0,,0.133649444264245,0.061912719785708996,1.0,33.0,-79.3847148,43.6579711
N22471A2,42707.230769230766,206.1439316442735,0.04250794878223932,1.0,,0.132633057744462,0.060161290776215,1.0,32.0,-79.3846732,43.657973
N23111G2,42707.230769230766,128.81572648786326,0.024423333267726496,1.0,,0.18146417377711202,0.11847624889493602,1.0,98.0,-79.3866812,43.6698468
