detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
06.X-2li,43041.65507649513,48.81849791376912,0.16336404728789986,1.0,,0.112002945639535,0.0034228165663849996,1.0,737.0,10.9294921,48.3636549
06.X-2r,43041.65507649513,123.93254520166899,0.31096488178025034,1.0,,0.042540207988008,0.003245359240018,1.0,738.0,10.9295163,48.3636326
10_13,43281.17647058824,192.71036414565827,0.3391783380018674,1.0,,0.524555691952282,0.053662773743567,1.0,566.0,10.9111954,48.3764592
10_21,42905.11331710058,77.0473871511519,0.09854841730661172,1.0,,0.19545025368238003,0.016241155273498,1.0,561.0,10.9117855,48.3758303
10_23,43086.795642374156,44.602554470323064,0.1354244928625094,1.0,,0.198754382675144,0.017210426287576,1.0,562.0,10.9117426,48.375849
10_31,43120.62350119904,0.0,0.0,1.0,,0.499630891931166,0.039984828905067,1.0,564.0,10.9127605,48.3758552
10_32,43062.324536777094,122.35148792813027,0.03479693056335392,1.0,,0.501823170134948,0.04027979619631,1.0,565.0,10.9127243,48.3758249
10_33,43198.370786516854,38.017228464419475,0.02191573033707865,1.0,,0.047602323022018,0.040556656376986,1.0,563.0,10.9127055,48.3757982
12-1,43058.74369236123,282.7979815555942,0.0594884287454324,,,0.264448013265236,0.042628479363519,1.0,409.0,10.928206,48.3654762
12-1a,43058.74369236123,406.20915260135723,0.05934226552984166,,,0.075555477332521,0.017826191342499,1.0,410.0,10.9280115,48.36565350000001
12-2,43058.74369236123,241.51452931964502,0.07219070819558031,,,0.149539723929326,0.009912200553643,1.0,413.0,10.9274469,48.366147
12-2a,43058.74369236123,457.8639290064381,0.13269531929702455,,,0.594466125318324,0.031079409404798,1.0,412.0,10.927337,48.36633770000001
19-1,43171.969030441665,46.92521555516453,0.006139363012493401,1.0,,0.093562225528547,0.032499305186817,1.0,92.0,10.8854986,48.3542323
19-2,43171.969030441665,242.69083230688017,0.04645609713179658,1.0,,0.097541219749867,0.03249194546564,1.0,93.0,10.8855428,48.354235
19-6,43171.969030441665,251.41509765968678,0.058579975365124055,1.0,,0.251294438154938,0.029367755691512003,1.0,96.0,10.8859237,48.35356659999999
2-1,43027.72277227723,246.54299114121937,0.06539864512767066,,,0.17970875124625302,0.040053941377087,1.0,664.0,10.883452,48.375350999999995
2-2,43027.72277227723,239.4726420010422,0.09192808754559667,1.0,,0.18303293307092,0.040904818148303,1.0,665.0,10.8834077,48.37534480000001
2-3,43027.72277227723,181.38196977592497,0.058019801980198016,1.0,,0.312288816623846,0.027710640355071,1.0,667.0,10.8831543,48.37594970000001
2-4,43027.72277227723,259.9062011464304,0.12659718603439293,,,0.313067235796276,0.027949789738858,1.0,666.0,10.8831918,48.37594970000001
21-1,43116.06248748248,0.0,0.9998097336270779,1.0,,0.212193459060732,0.034490889509354,1.0,149.0,10.8632134,48.3650966
21.X21_4,42822.92372037443,40.22226648078072,0.9965385381398127,1.0,,0.213827978264515,0.031645476609111,1.0,148.0,10.8638665,48.3645361
3-1,43144.20570623459,340.68404367735116,0.1561377245508982,,,0.382337497124254,0.029682457064486,1.0,118.0,10.8859129,48.34836249999999
3-2,43144.20570623459,82.57907713983798,0.24162909475167313,1.0,,0.284182437446634,0.012932903239063,1.0,117.0,10.8855522,48.3479445
3-3,43144.20570623459,336.5917576611483,0.10349594927791475,,,0.40618308253330593,0.026049754416838,1.0,116.0,10.8859424,48.34757460000001
39_1,42978.28116894345,0.0,0.9999533114300535,1.0,,0.319450844030744,0.02389670871558,1.0,558.0,10.9123488,48.3747292
39_3,42978.28116894345,0.0,0.9999533114300535,1.0,,0.423088132841522,0.026074643217275997,1.0,556.0,10.9124132,48.374152
39_5,42978.28116894345,0.0,0.9999533114300535,1.0,,0.423088132841522,0.141166780001805,1.0,556.0,10.9117265,48.3732264
50-1,42564.518976169464,0.0,0.0,1.0,,0.066557282292899,0.032679093572574,1.0,710.0,10.8747522,48.3861343
50-2,42564.518976169464,14.140158870255958,0.023075022065313328,1.0,,0.10803764945538,0.003290998387632,1.0,711.0,10.8753034,48.3861378
50-3,42564.518976169464,0.0,0.0,1.0,,0.067849731992378,0.022596107787772,1.0,709.0,10.875679,48.3860336
