detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
135D1_9,43049.88888888889,248.33333333333334,0.2243576388888889,1.0,,0.216640856461352,0.062286866829167,1.0,49.0,7.592888,47.554164
135D3_8,43049.88888888889,78.56547619047619,0.01877529761904762,1.0,,0.307132863478144,0.07465340495395399,1.0,47.0,7.5928379999999995,47.553144
135D6_8,43049.88888888889,180.2797619047619,0.06119047619047619,1.0,,0.150162986002463,0.058679690993909,1.0,51.0,7.590999,47.553813
135Stau1,43049.88888888889,267.0654761904762,0.0895297619047619,1.0,,0.510887011465504,0.448325111363956,1.0,50.0,7.591829,47.553402
135Stau5,43049.88888888889,210.11904761904762,0.06862946428571429,1.0,,0.212556873860978,0.147724032270012,1.0,48.0,7.592608,47.553949
145D1_9,43049.88888888889,102.94642857142857,0.020496031746031745,1.0,,0.231239016176041,0.053338430644554,1.0,67.0,7.577922,47.553604
145D29_8,43049.88888888889,0.0,0.0,1.0,,0.235526577898901,0.122173436295391,1.0,68.0,7.576208,47.552163
145D2_8,43049.88888888889,120.7797619047619,0.028137400793650794,1.0,,0.282648012238622,0.060093080926073,1.0,70.0,7.577906,47.552582
145D37_8,43049.88888888889,262.4166666666667,0.13308382936507937,1.0,,0.207964091222029,0.057163685132079,1.0,69.0,7.576217,47.554351000000004
179D1_10,43049.88888888889,158.36904761904762,0.0498968253968254,1.0,,0.143733868274104,0.059539221709249,1.0,75.0,7.586062,47.550864
179D2_10,43049.88888888889,165.0654761904762,0.03186805555555555,1.0,,0.138792412044173,0.062794012070279,1.0,73.0,7.586666,47.550819
179D3_10,43049.88888888889,242.1904761904762,0.05191964285714286,1.0,,0.073410352795137,0.063905234665837,1.0,72.0,7.586688,47.550807
179D5_8,43049.88888888889,148.125,0.02682638888888889,1.0,,0.177855979337264,0.062163854547791,1.0,74.0,7.585158,47.549993
560D2_8,43049.88888888889,225.30357142857142,0.045688988095238095,1.0,,0.185165023732166,0.039260358640048,1.0,41.0,7.59274,47.549708
560D2_9,43049.88888888889,230.66071428571428,0.05116418650793651,1.0,,0.222754291580003,0.040753037094201,1.0,42.0,7.592693,47.549741
560SD2,43049.88888888889,0.0,0.0,1.0,,0.176413482206373,0.08483240030025,1.0,46.0,7.5941222,47.5506827
560SD2_1,43049.88888888889,0.0,0.0,1.0,,0.180478299966575,0.081902002578417,1.0,45.0,7.594129,47.5507434
560SD2_4,43049.88888888889,0.0,0.0,1.0,,0.176413482206373,0.138867765804723,1.0,46.0,7.5936195,47.5503357
560SD2_5,43049.88888888889,0.0,0.0,1.0,,0.180478299966575,0.135186470883943,1.0,45.0,7.5936257,47.5504073
561D4_8,43049.88888888889,251.22619047619048,0.12303224206349206,1.0,,0.200013641877746,0.045056500922851,1.0,53.0,7.588161,47.549137
563D33_8,43049.88888888889,187.57142857142858,0.13010069444444444,1.0,,0.216970176092128,0.062665970679038,1.0,55.0,7.589546699999999,47.5491823
563D34_8,43049.88888888889,195.85714285714286,0.10862549603174604,1.0,,0.578449003267868,0.061709802583968,1.0,77.0,7.589581,47.549239
563D34_9,43049.88888888889,80.42261904761905,0.020731646825396827,1.0,,0.284674648939544,0.064342548341584,1.0,54.0,7.589601,47.549302
563D4_8,43049.88888888889,144.5952380952381,0.032079365079365076,1.0,,0.372923294391361,0.053226146924298,1.0,43.0,7.591679,47.549293
563D4_9,43049.88888888889,149.35119047619048,0.030802083333333334,1.0,,0.209652096013738,0.054964306998879005,1.0,44.0,7.591736,47.549285
