detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
N11131D,42520.516304347824,122.64673913043478,,,36.68750923872875,0.216825515433334,0.055437967495632005,1.0,33.0,-1.88938349650183,52.474741763541495
N12111R,42531.60621761658,526.9245003700962,,,26.364149443561207,0.088721957805706,0.05918087147462501,2.0,67.0,-1.8835693387158998,52.47464447345699
N12112P,43722.796855606124,321.24865535788166,,,51.56530054644809,0.307475965086161,0.23642093039017698,2.0,53.0,-1.8797689335549497,52.4728639625095
N12131A,43741.54228855721,267.75041459369817,,,45.36524780175859,0.195400217400842,0.148391168542444,3.0,36.0,-1.8790037999999998,52.4722004
N12131B,43689.61092715232,248.98468543046357,,,41.58035072588759,0.184757462955393,0.074294100099311,3.0,37.0,-1.8789608,52.4699925
N12132D,43161.73092698934,364.7325676784249,,,47.97440678163734,0.203013275719929,0.05832172210248699,3.0,38.0,-1.8789427000000003,52.4696347
N12141E,45044.97377622378,169.68006993006992,,,36.650688039818476,0.365732373739058,0.330467309439274,1.0,35.0,-1.8880124860072798,52.474214834301
N12151X,42354.43548387097,115.58870967741936,,,28.443352059925097,0.271766420894535,0.198699069011426,1.0,41.0,-1.88283269766224,52.4722682533618
N12151Y,45117.63157894737,179.03026315789472,,,38.44084837188286,0.115015229326703,0.083794641455856,1.0,40.0,-1.8792208986708403,52.4708749516502
N13182E,43619.5302843016,335.09517923362176,,,30.649255275134465,0.240176447906598,0.11730110792227802,1.0,61.0,-1.8968711737738198,52.4763346907442
N17111B,42736.057692307695,435.98597756410254,,,19.089348472560154,0.113658194527709,0.087444447833786,2.0,25.0,-1.89161580748556,52.4778844445352
N17111C,42747.23557692308,439.3345352564103,,,25.583839201402938,0.091767750399967,0.054508563794934,2.0,23.0,-1.8926695,52.4765573
N17131X,42410.30303030303,130.4969696969697,,,39.013434579439256,0.355894594086373,0.060032866563726,1.0,18.0,-1.89616646025186,52.4759724723539
N17131Y,44288.11369509044,201.11024978466838,,,36.640322076297686,0.362325942651631,0.068328744768174,1.0,19.0,-1.8961186816221898,52.4759823606854
N17131Z,44613.68078175896,134.1172638436482,,,36.15779007790078,0.227374637671366,0.213750796801752,1.0,22.0,-1.89255295568354,52.47627276632559
N17141A,42354.43548387097,300.6532258064516,,,30.28549003549004,0.22958659079558802,0.138913439922595,2.0,21.0,-1.8941796728635,52.4756783463906
N17151S,42735.04205046055,479.47416900280336,,,30.49489496106949,0.196467780391112,0.110954262550794,3.0,24.0,-1.8918329,52.4766284
N19121G,43203.78510378511,441.1164021164021,,,7.958357807146354,0.087982124588822,0.080959786080399,2.0,28.0,-1.89095775253265,52.4826807578384
N19121J,45436.242603550294,67.40828402366864,,,6.450847618370221,0.274699663171168,0.096177046283185,1.0,57.0,-1.88869711031736,52.4829642178901
N19131B,42653.131749460044,148.57451403887688,,,10.207979797979798,0.160220108910021,0.049931039691777,1.0,56.0,-1.89209384441734,52.4824007067762
N19161C,43566.832298136644,216.76438923395446,,,39.362382810886714,0.174007305344404,0.081354864217308,2.0,29.0,-1.8921027,52.484828
N19162A,42678.94103489771,807.9791415964701,,,27.940471380471383,0.171248077211769,0.085585587101669,2.0,30.0,-1.8917807274013598,52.485001316297
N32121J,42770.0882117081,949.1399358460304,,,47.89023656776263,0.256087963910306,0.175496392650851,2.0,68.0,-1.8911853,52.4645152
N33113P,42769.178356713426,914.3539078156313,,,41.30911164787976,0.177071887103526,0.1371911427208,2.0,7.0,-1.90059702105431,52.4673257663222
N33121C,42757.40666399037,882.8048976314733,,,28.821477224350787,1.13587821282057,0.53968481194233,2.0,15.0,-1.8998467999999997,52.466937
N33121D,44994.366812227076,232.11659388646288,,,35.19151141127154,0.090333433929985,0.08541362288981,1.0,9.0,-1.8999552,52.4668074
N33121G,43738.88198757764,190.7478260869565,,,45.772228529721836,0.289473764849106,0.110273257588824,2.0,14.0,-1.90300359017186,52.4677566638433
N33121X,42791.11736334405,754.0538585209003,,,26.604435831180016,0.239281234104755,0.074252814180633,3.0,10.0,-1.9016348,52.4664426
N33122S,42769.178356713426,834.848496993988,,,30.696120107962216,0.07571805074367,0.06064178275018299,3.0,8.0,-1.8990090013943401,52.4665692664506
