detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
N51141G,42867.11499663752,1116.0,39.8571428571429,1.0,28.0,0.106047971107917,0.066975228637465,1.0,75.0,-2.412112,53.579728
N51151A,42867.11499663752,312.0,8.21052631578947,1.0,38.0,0.495547129792875,0.173951492318425,1.0,161.0,-2.415317,53.579472
N51151B,42867.11499663752,792.0,29.333333333333304,1.0,27.0,0.322683961470216,0.03862790529669,1.0,76.0,-2.41158,53.57978
N51151D,42867.11499663752,720.0,22.5,1.0,32.0,0.323412406338803,0.314863058766305,1.0,78.0,-2.416091,53.577693999999994
N51161W,42867.11499663752,936.0,42.5454545454546,1.0,22.0,0.254006841388619,0.221334219202447,1.0,80.0,-2.419151,53.576104
N51161X,42867.11499663752,156.0,5.57142857142857,1.0,28.0,0.29746261942698,0.129239894408432,1.0,123.0,-2.418127,53.578352
N51161Y,42867.11499663752,828.0,29.571428571428605,1.0,28.0,0.334565705266669,0.097233453678167,1.0,77.0,-2.414931,53.578239
N51161Z,42867.11499663752,228.0,5.560975609756099,1.0,41.0,0.143019093340194,0.129243228623344,1.0,124.0,-2.414562,53.57678
N51171L,42867.11499663752,1044.0,,1.0,0.0,0.057771499405832004,0.010801662453175,1.0,83.0,-2.423999,53.575001
N51171M,42867.11499663752,1488.0,67.6363636363637,1.0,22.0,0.056981812091244,0.011143962607281,1.0,84.0,-2.423988,53.574968
N51171N,42867.11499663752,276.0,5.632653061224489,1.0,49.0,0.252114952272956,0.1560701518359,2.0,157.0,-2.418581,53.57436599999999
N51171R,42867.11499663752,0.0,0.0,1.0,0.0,0.039592083427285,0.025045767951231,2.0,81.0,-2.419832,53.575781
N51171S,42867.11499663752,216.0,4.69565217391304,1.0,46.0,0.598358283075429,0.12427029303124,2.0,158.0,-2.42023,53.577078
N51171U,42867.11499663752,456.0,,1.0,0.0,0.14886934700614,0.141605205866023,1.0,79.0,-2.416569,53.57739
N51171V,42867.11499663752,828.0,25.875,1.0,32.0,0.14886934700614,0.138869868858947,1.0,79.0,-2.416593,53.57737
N51231N,42867.11499663752,552.0,22.08,1.0,25.0,0.097844501453623,0.061048776552812,2.0,127.0,-2.42273,53.57322700000001
N51231O,42867.11499663752,408.0,11.6571428571429,1.0,35.0,0.297516847051601,0.176482341077629,1.0,131.0,-2.421421,53.571453999999996
N51231P,42867.11499663752,252.0,14.8235294117647,1.0,17.0,0.082749605246146,0.056990222985012,1.0,130.0,-2.422195,53.572008
N51232K,42867.11499663752,540.0,19.2857142857143,1.0,28.0,0.09465698047836602,0.07467823362974,2.0,126.0,-2.423498,53.574118
N51232L,42867.11499663752,588.0,21.7777777777778,1.0,27.0,0.094951838294116,0.059054331774533,2.0,128.0,-2.422427,53.572717
N51241B,42867.11499663752,432.0,13.5,1.0,32.0,0.221184829067719,0.105110075897672,2.0,125.0,-2.42506,53.57594
N51241D,42867.11499663752,552.0,18.4,1.0,30.0,0.069916598057063,0.037356771648153,1.0,86.0,-2.423928,53.574409
N51241E,42867.11499663752,900.0,30.0,1.0,30.0,0.074807160564519,0.036330862967139,1.0,87.0,-2.423996,53.574374
N51241F,42867.11499663752,624.0,36.7058823529412,1.0,17.0,0.19015885233127797,0.143783947353221,2.0,132.0,-2.426661,53.57424
N51242G,42867.11499663752,300.0,13.6363636363636,1.0,22.0,0.039886570626664,0.004701490879659,2.0,85.0,-2.424124,53.574812
N51242H,42867.11499663752,984.0,30.75,1.0,32.0,0.290582933561647,0.259576831263639,2.0,82.0,-2.420038,53.57552600000001
N51242J,42867.11499663752,684.0,27.36,1.0,25.0,0.119963086425904,0.081755934894722,2.0,129.0,-2.423127,53.573485
N51261A,42867.11499663752,0.0,0.0,1.0,0.0,0.262438891111235,0.221739383291737,1.0,48.0,-2.435388,53.58085500000001
N51261B,42867.11499663752,354.34566240753196,12.008571886673492,1.0,35.76666929028392,0.10976521781938102,0.09232168488567,2.0,52.0,-2.434557,53.577614000000004
N51261H,42867.11499663752,0.0,0.0,1.0,0.0,0.04341774176799,0.029007308725651004,1.0,56.0,-2.4338,53.57877400000001
N51261X,42867.11499663752,172.45998655010087,5.720859329956472,1.0,38.41703437299811,0.579614997760463,0.09028207198216501,1.0,51.0,-2.436713,53.578457
N51261Y,42867.11499663752,172.58776059179556,5.724612760014467,1.0,38.30647929729405,0.579614997760463,0.092101353151566,1.0,51.0,-2.43674,53.578454
N51261Z,42867.11499663752,0.0,0.0,1.0,0.0,0.550278426111447,0.075228771743944,1.0,49.0,-2.435863,53.57901
N51271H,42867.11499663752,251.14593140551446,9.525808252892292,1.0,35.97753911693829,0.15230594775321,0.132435132579187,1.0,33.0,-2.430711,53.581944
N51271I,42867.11499663752,0.0,0.0,1.0,0.0,0.160153992950229,0.125494675651996,1.0,30.0,-2.428921,53.583363
N51271J,42867.11499663752,334.52723604572964,16.410412708739248,1.0,30.16009714333269,0.125689287514464,0.106047645183649,2.0,2.0,-2.428753,53.581284
N51311A,42867.11499663752,636.0,19.875,1.0,32.0,0.115946137092327,0.080278501246884,2.0,107.0,-2.434815,53.57496700000001
N51311M,42867.11499663752,240.0,6.85714285714286,1.0,35.0,0.11515379893914,0.09758092749132502,1.0,115.0,-2.432675,53.575204
N51311Z,42867.11499663752,480.0,9.05660377358491,1.0,53.0,0.105025503760378,0.063392090251668,2.0,102.0,-2.434258,53.576439
N51321P,42867.11499663752,648.0,18.5142857142857,1.0,35.0,0.173556624257049,0.158036191381273,2.0,108.0,-2.43018,53.574133
N51321R,42867.11499663752,72.0,0.9,1.0,80.0,0.245865859070824,0.053929727615252,2.0,133.0,-2.427751,53.574664
