detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
Z10CT1,43050.0,510.875,0.05821759259259259,0.062003968253968256,,0.180159999746183,0.074883648135151,2.0,,-0.595681,44.82951
Z10CT10,43050.0,252.78571428571428,0.046708002645502636,0.03968253968253968,,0.341589417971474,0.222402503355958,1.0,,-0.588,44.826121
Z10CT11,43050.0,121.75595238095238,0.16160218253968253,0.3427579365079365,,0.499872195646817,0.439300296005068,1.0,,-0.588621,44.830454
Z10CT12,43050.0,255.38095238095238,0.07757605820105819,0.050595238095238096,,0.272255053651745,0.170766906446427,1.0,,-0.594967,44.827129
Z10CT13,43050.0,118.08333333333333,,1.0,,0.176633628167207,0.156875854721939,1.0,,-0.592062,44.827541
Z10CT14,43050.0,410.94642857142856,0.12485284391534389,0.02132936507936508,,0.296609752696066,0.202654525608977,1.0,,-0.595237,44.827059
Z10CT15,43050.0,262.9107142857143,0.07578869047619047,0.053075396825396824,,0.490747626409851,0.340305449533348,1.0,,-0.592933,44.823292
Z10CT16,43050.0,337.2440476190476,0.05789351851851851,0.060515873015873016,,0.295285071861933,0.281172706823857,1.0,,-0.5941819999999999,44.821803
Z10CT17,43050.0,208.04166666666666,0.03418650793650793,0.05505952380952381,,0.316278874793444,0.268204879169955,1.0,,-0.600588,44.815176
Z10CT18,43050.0,485.88690476190476,0.0606762566137566,0.06646825396825397,,0.325594361263403,0.221201400641644,1.0,,-0.599703,44.82396
Z10CT19,43050.0,387.9642857142857,0.07436342592592592,0.044642857142857144,,0.326950431139216,0.251141163502451,1.0,,-0.598897,44.824909
Z10CT2,43050.0,593.7559523809524,0.10541005291005291,0.05406746031746032,,0.327871734644969,0.310091020434542,2.0,,-0.592327,44.827303
Z10CT20,43050.0,571.2380952380952,0.09918154761904761,0.06101190476190476,,0.312210141675197,0.265575964821046,2.0,,-0.588716,44.824913
Z10CT21,43050.0,342.86309523809524,0.0016980820105819976,1.0,,0.223123039757342,0.154049875874564,1.0,,-0.601779,44.821583
Z10CT22,43050.0,187.46428571428572,,1.0,,0.197556421862186,0.168279630864611,1.0,,-0.586751,44.829695
Z10CT23,43050.0,327.7857142857143,0.034670965608465595,0.11259920634920635,,0.210828806865678,0.128396363649111,1.0,,-0.601378,44.822141
Z10CT24,43050.0,142.1547619047619,0.0683746693121693,0.3531746031746032,,0.198341449494031,0.162152661244526,1.0,,-0.586062,44.827905
Z10CT3,43050.0,702.6309523809524,0.10147321428571428,0.03670634920634921,,0.292838497386538,0.164110120148578,2.0,,-0.587398,44.82418
Z10CT4,43050.0,577.6071428571429,0.06480654761904761,0.0441468253968254,,0.320476290545657,0.289767617880445,2.0,,-0.589629,44.825626
Z10CT5,43050.0,126.74404761904762,0.07770502645502644,0.3482142857142857,,0.197251931419822,0.177728393052189,1.0,,-0.587278,44.830975
Z10CT6,43050.0,212.6904761904762,0.10909060846560846,0.025793650793650792,,0.33581359494331,0.289025838617945,1.0,,-0.586466,44.827268
Z10CT7,43050.0,352.5238095238095,0.08102843915343914,0.017857142857142856,,0.49583162157416,0.348972444290936,1.0,,-0.590967,44.824421
Z10CT9,43050.0,362.2083333333333,0.050229828042328034,0.1626984126984127,,0.188271427070254,0.138086145429449,1.0,,-0.598622,44.819201
Z11CT1,43050.0,151.875,0.03411541005291005,0.03819444444444445,,0.363121317098206,0.295354335084065,1.0,,-0.588214,44.81446
Z11CT10,43050.0,728.4642857142857,0.05017857142857142,0.09325396825396826,,0.227648057492989,0.182213779977818,2.0,,-0.577979,44.818091
Z11CT11,43050.0,224.51785714285714,0.06716765873015872,0.08978174603174603,,0.279608742409975,0.146358990589892,1.0,,-0.577589,44.816239
Z11CT13,43050.0,159.80357142857142,0.08987764550264549,0.05109126984126984,,0.276415591429344,0.250210830416696,1.0,,-0.575486,44.817015
Z11CT14,43050.0,792.6547619047619,0.09276124338624338,0.00744047619047619,,0.444675921573523,0.277520653411173,2.0,,-0.580058,44.819501
Z11CT15,43050.0,191.74404761904762,0.0718882275132275,0.049107142857142856,,0.194384152571874,0.053244319029124,,,-0.585609,44.817204
Z11CT16,43050.0,190.66071428571428,0.10274801587301587,0.05654761904761905,,0.356665175343887,0.325267790558098,1.0,,-0.586049,44.816363
Z11CT17,43050.0,163.51785714285714,0.05584986772486772,0.35267857142857145,,0.335547275334627,0.320169852964212,1.0,,-0.580008,44.823192
Z11CT2,43050.0,222.72619047619048,0.10865410052910052,0.019345238095238096,,0.195750741522207,0.167666564021971,1.0,,-0.585687,44.816729
Z11CT7,43050.0,175.5297619047619,0.045608465608465605,0.05803571428571429,,0.146031578759258,0.101059759683751,1.0,,-0.58184,44.824122
Z11CT8,43050.0,130.20833333333334,0.05256613756613756,0.3611111111111111,,0.279011824009447,0.209922979371871,1.0,,-0.583754,44.820084
Z12CT1,43050.0,225.39880952380952,0.040620039682539674,0.034722222222222224,,0.075774916973495,0.068078814829887,1.0,,-0.572473,44.821132
Z12CT10,43050.0,485.86309523809524,0.07829861111111111,0.017361111111111112,,0.200589339830698,0.191461886916944,2.0,,-0.570425,44.814337
Z12CT11,43050.0,0.625,0.10872685185185184,1.0,,0.243399784709361,0.22935194979515602,1.0,,-0.56436,44.81333
Z12CT12,43050.0,465.2261904761905,0.03251157407407406,0.13095238095238096,,0.241218771860687,0.231821382273788,1.0,,-0.56161,44.812962
Z12CT13,43050.0,433.1488095238095,0.038675595238095224,0.12797619047619047,,0.220855881430654,0.198359330632212,2.0,,-0.568238,44.814044
Z12CT14,43050.0,149.79761904761904,0.07450066137566137,0.21875,,0.13312728652314,0.118160593868313,1.0,,-0.56581,44.816253
Z12CT16,43050.0,233.92261904761904,0.6710333994708995,1.0,,0.13444134708233,0.128052544414262,1.0,,-0.565331,44.815285
Z12CT2,43050.0,228.16666666666666,0.06740906084656084,0.052083333333333336,,0.564302891889095,0.103655759581154,1.0,,-0.570505,44.821178
Z12CT3,43050.0,265.7559523809524,0.0696412037037037,0.011408730158730158,,0.23682917711481102,0.189035115513579,1.0,,-0.572279,44.816701
Z12CT4,43050.0,452.7559523809524,0.07766534391534391,0.023313492063492064,,0.54638217428865,0.512385173059119,1.0,,-0.573676,44.812311
Z12CT5,43050.0,360.01190476190476,0.18033068783068784,0.01636904761904762,,0.221711953064392,0.133618693831352,1.0,,-0.573827,44.811413
Z12CT6,43050.0,403.0,0.19382771164021165,0.006944444444444444,,0.213686643601951,0.067852924679665,1.0,,-0.572854,44.813983
Z12CT7,43050.0,365.07142857142856,0.04648809523809523,0.056051587301587304,,0.133254867665061,0.092500462129604,1.0,,-0.5722,44.817237
Z12CT8,43050.0,161.08928571428572,0.11400628306878306,0.1949404761904762,,0.650926108237944,0.584874156531834,1.0,,-0.572439,44.821764
Z12CT9,43050.0,469.3154761904762,,1.0,,0.338954824937239,0.266379277411153,2.0,,-0.575337,44.816371
Z13CT1,43050.0,477.67261904761904,0.048503637566137556,0.0441468253968254,,0.374946907676289,0.176043995017875,2.0,,-0.588139,44.860861
Z13CT10,43050.0,292.57142857142856,0.08091931216931217,0.0763888888888889,,0.313343779418916,0.285010225175657,1.0,,-0.598957,44.852257
Z13CT11,43050.0,337.7857142857143,0.07332175925925925,0.057539682539682536,,0.423477853262176,0.101388192911012,1.0,,-0.596244,44.847714
Z13CT12,43050.0,471.4404761904762,0.28385912698412696,0.037698412698412696,,0.6124743903892701,0.313192034009708,1.0,,-0.602056,44.847833
Z13CT15,43050.0,134.41666666666666,0.010428240740740728,1.0,,0.43462057928846504,0.353788762647824,1.0,,-0.588945,44.853993
Z13CT16,43050.0,306.9047619047619,,1.0,,0.241124456068713,0.215747627186828,1.0,,-0.591483,44.84497
Z13CT17,43050.0,216.5654761904762,,1.0,,0.110021615992024,0.094861427072418,1.0,,-0.59209,44.845188
Z13CT19,43050.0,273.67857142857144,,1.0,,0.345520697284006,0.325198689289269,1.0,,-0.597793,44.846587
Z13CT2,43050.0,507.5,0.06725033068783068,0.05704365079365079,,0.375804664994788,0.334544001538457,2.0,,-0.591408,44.856681
Z13CT3,43050.0,595.8869047619048,0.36139384920634915,0.033234126984126984,,0.238491492130393,0.204080073603868,2.0,,-0.594251,44.852849
Z13CT4,43050.0,765.9583333333334,0.0580241402116402,0.031746031746031744,,0.235578275053571,0.217890156129206,2.0,,-0.598974,44.844647
Z13CT5,43050.0,784.3452380952381,0.04981977513227512,0.16964285714285715,,0.251281147205939,0.207126315155476,2.0,,-0.595221,44.85139
Z13CT7,43050.0,205.2202380952381,0.09401124338624338,0.05654761904761905,,0.869168749369204,0.779651745590865,1.0,,-0.594439,44.854485
Z13CT9,43050.0,104.60714285714286,0.15619708994708995,0.7450396825396826,,0.473157917119907,0.239930968494589,1.0,,-0.589876,44.852537
Z14CT1,43050.0,557.4642857142857,0.04579530423280422,0.08333333333333333,,0.43419987614139,0.322731332858789,2.0,,-0.589006,44.859791
Z14CT10,43050.0,580.8630952380952,0.07262896825396825,0.12301587301587301,,0.394963149946805,0.31303180835569,2.0,,-0.571445,44.867786
Z14CT11,43050.0,577.077380952381,0.04887070105820105,0.06299603174603174,,0.402358934308702,0.142406004907405,2.0,,-0.581997,44.8635
Z14CT13,43050.0,212.01785714285714,0.055932539682539674,0.013392857142857142,,0.434584758725466,0.405831224721552,1.0,,-0.557116,44.85864
Z14CT14,43050.0,311.01190476190476,0.06873511904761904,0.042162698412698416,,0.437351874225062,0.271392387406008,1.0,,-0.559728,44.857406
Z14CT16,43050.0,203.47619047619048,0.04191798941798941,0.1746031746031746,,0.071711617094226,0.046658746686671,1.0,,-0.554257,44.860011
Z14CT17,43050.0,333.4345238095238,0.03909391534391533,0.21676587301587302,,0.544283530970599,0.493271519317105,2.0,,-0.554242,44.860854
Z14CT18,43050.0,140.10119047619048,0.123125,0.3308531746031746,,0.293355694613547,0.269957812734932,1.0,,-0.553376,44.860513
Z14CT19,43050.0,331.57142857142856,0.025299272486772474,0.12202380952380952,,0.718640305734217,0.382913191488363,1.0,,-0.563063,44.861021
Z14CT20,43050.0,244.89285714285714,0.055185185185185184,0.07936507936507936,,0.627751500532078,0.168585505267011,1.0,,-0.563962,44.870959
Z14CT21,43050.0,264.8511904761905,0.05119212962962962,0.052083333333333336,,0.681740651349543,0.454491416041403,1.0,,-0.563929,44.870914
Z14CT22,43050.0,441.2013888888889,0.05422067901234567,0.24479166666666666,,0.552569132719782,0.507226828586471,2.0,,-0.549785,44.856487
Z14CT23,43050.0,258.9236111111111,0.0524537037037037,0.2835648148148148,,1.62900858872068,0.057339839869484,1.0,,-0.55026,44.855564
Z14CT24,43050.0,368.09722222222223,0.24768711419753087,0.19675925925925927,,0.7814832593169041,0.05651856499514401,1.0,,-0.546569,44.857756
Z14CT3,43050.0,467.73214285714283,0.1266517857142857,0.08482142857142858,,0.552361116675936,0.52516226240568,2.0,,-0.553562,44.859943
Z14CT4,43050.0,357.0297619047619,0.05420469576719576,0.13938492063492064,,0.240466451015559,0.082964865167171,2.0,,-0.575969,44.867242
Z14CT5,43050.0,291.63690476190476,0.05751818783068782,0.1488095238095238,,0.244902281222488,0.23118088561007702,2.0,,-0.57563,44.866431
Z14CT7,43050.0,884.3511904761905,0.03340608465608465,0.13343253968253968,,0.340953454135097,0.291568864339909,2.0,,-0.57,44.868334
Z14CT8,43050.0,1102.345238095238,0.1019973544973545,0.017857142857142856,,0.73827414128875,0.440663284920462,2.0,,-0.565458,44.872793
Z14CT9,43050.0,980.2559523809524,0.07814318783068783,0.125,,0.691558303620352,0.397641027286246,2.0,,-0.56517,44.873986
Z15CT10,43050.0,83.61309523809524,,1.0,,0.146191878935343,0.123887060447132,1.0,,-0.576016,44.851338
Z15CT11,43050.0,97.17857142857143,0.08245701058201058,0.3993055555555556,,0.51865424045081,0.497869328246862,1.0,,-0.575077,44.861029
Z15CT12,43050.0,180.05357142857142,0.03830357142857142,0.1498015873015873,,0.517991590344732,0.453880803881218,1.0,,-0.575676,44.865008
Z15CT13,43050.0,48.69642857142857,0.008151455026455008,1.0,,0.280450256483341,0.269690254523181,1.0,,-0.5745,44.855418
Z15CT15,43050.0,180.03571428571428,,1.0,,0.082079598519651,0.072694495022475,1.0,,-0.578603,44.850669
Z15CT17,43050.0,138.33333333333334,0.20106150793650793,0.22321428571428573,,0.354390301765421,0.335753615326645,1.0,,-0.583367,44.855167
Z15CT2,43050.0,330.9107142857143,0.22124338624338624,0.036210317460317464,,0.251301054584602,0.163654669989844,1.0,,-0.573105,44.852889
Z15CT3,43050.0,312.39285714285717,,1.0,,0.254618602961746,0.178478148184565,1.0,,-0.572634,44.853721
Z15CT4,43050.0,302.3452380952381,0.04173941798941798,0.08581349206349206,,0.159024944368534,0.073085293538495,1.0,,-0.574349,44.851016
Z15CT5,43050.0,158.64285714285714,,1.0,,0.133595886856722,0.081022463134362,1.0,,-0.572832,44.854559
Z15CT6,43050.0,22.589285714285715,,1.0,,0.193359060040539,0.144976568339525,1.0,,-0.574213,44.852781
Z15CT9,43050.0,143.51785714285714,0.03887235449735449,0.1701388888888889,,0.213727396294688,0.163613186097657,1.0,,-0.576724,44.855028
Z16CT1,43050.0,231.42261904761904,0.039001322751322745,0.05109126984126984,,1.01545205660747,0.631546256848614,1.0,,-0.615268,44.812461
Z16CT10,43050.0,315.38690476190476,0.3183449074074074,1.0,,0.285343757831913,0.114395332723295,1.0,,-0.63141,44.808546
Z16CT13,43050.0,179.40972222222223,0.0632349537037037,0.015046296296296295,,0.38071430753517793,0.254241308530165,1.0,,-0.632367,44.807965
Z16CT14,43050.0,247.13095238095238,0.020808531746031735,0.1736111111111111,,0.312599762800704,0.160146670437478,2.0,,-0.626449,44.805871
Z16CT2,43050.0,1.9583333333333333,0.029282407407407403,1.0,,0.766529104411132,0.631822119265709,1.0,,-0.62135,44.810154
Z16CT4,43050.0,318.3333333333333,0.28608796296296296,0.09821428571428571,,0.230137770624049,0.046943975199762,1.0,,-0.647714,44.792478
Z16CT5,43050.0,218.6845238095238,,1.0,,0.471063931311095,0.280233110477738,1.0,,-0.642086,44.802613
Z16CT8,43050.0,278.3095238095238,,1.0,,0.542728290228175,0.424903864118103,1.0,,-0.621378,44.810692
Z16CT9,43050.0,149.3154761904762,0.05405753968253968,0.3665674603174603,,0.563365592822861,0.114257195057266,1.0,,-0.625667,44.81052
Z17CT1,43050.0,209.5654761904762,0.04849537037037036,0.032242063492063495,,0.2007849196185,0.123807784318814,1.0,,-0.589538,44.813679
Z17CT10,43050.0,559.6845238095239,0.07969246031746031,0.06547619047619048,,0.192656333112924,0.176562784978342,2.0,,-0.601912,44.796956
Z17CT12,43050.0,140.58928571428572,0.01854828042328042,0.7509920634920635,,0.189104683213865,0.112579817375029,1.0,,-0.586169,44.80779
Z17CT13,43050.0,97.79166666666667,,1.0,,0.2308296172078,0.179890072805531,1.0,,-0.586099,44.810378
Z17CT14,43050.0,275.5,0.027301587301587295,0.12797619047619047,,0.567434023998183,0.527695930472027,1.0,,-0.591913,44.806455
Z17CT2,43050.0,262.8452380952381,0.04068783068783068,0.05406746031746032,,0.379152574121367,0.211946703548703,1.0,,-0.591438,44.808934
Z17CT3,43050.0,537.0833333333334,0.07352347883597883,0.05803571428571429,,0.161144724328992,0.128769263999516,2.0,,-0.596924,44.80004
Z17CT4,43050.0,842.6904761904761,0.004598214285714252,1.0,,0.252554250709967,0.169538710235064,2.0,,-0.605275,44.791142
Z17CT5,43050.0,327.73809523809524,0.13201388888888888,0.02132936507936508,,0.204513644978897,0.127381746181385,1.0,,-0.595159,44.800928
Z17CT6,43050.0,338.0595238095238,0.15423941798941798,0.051587301587301584,,0.575279125513845,0.538503725705947,1.0,,-0.593605,44.802065
Z17CT7,43050.0,243.82738095238096,0.057328042328042325,0.022817460317460316,,0.201605993503802,0.155990517846881,1.0,,-0.591116,44.811124
Z17CT8,43050.0,381.25,0.03791501322751322,0.1076388888888889,,0.274209600175838,0.250944218996001,1.0,,-0.606448,44.784008
Z17CT9,43050.0,692.0416666666666,0.044882605820105816,0.15922619047619047,,0.112618532742433,0.068401516872177,2.0,,-0.60332,44.795992
