detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
1007.21,43349.99652777778,225.8839236111111,0.05932291666666666,1.0,,0.191368546814036,0.069992232663569,1.0,183.0,15.4510277678668,47.074768865475605
1007.22,43341.08718304967,416.55547064953106,0.09157033692254256,1.0,,0.192369293719412,0.069862284753321,1.0,184.0,15.451040352689,47.0747451626508
1007.23,43098.41587636108,314.42602739726027,0.0851622760800843,1.0,,0.191368546814036,0.073218046244289,1.0,183.0,15.4510667661929,47.0747804710066
1007.24,43332.27588603197,410.57442668519803,0.08836553161917998,1.0,,0.19236929371941197,0.073555305937921,1.0,184.0,15.4510845367488,47.07475918925411
1007.41,43349.99652777778,318.9982986111111,0.06755729166666667,1.0,,0.23361817382113798,0.066070026247802,1.0,188.0,15.4491975122921,47.0741662608611
1007.42,43349.99652777778,317.81677083333335,0.06846805555555555,1.0,,0.23361817382113798,0.072253287494489,1.0,188.0,15.449121198554602,47.0741466298936
101.21,43349.99652777778,316.1625,0.06272187500000001,1.0,,0.194031458511161,0.104774650680181,1.0,157.0,15.4462050374812,47.0704186657935
101.22,43349.99652777778,248.7375,0.04586875,1.0,,0.19944492001641098,0.121725156663536,1.0,158.0,15.446254130440101,47.07044540560779
101.31A,43349.99652777778,144.69166666666666,0.031736458333333335,1.0,,0.079654129185983,0.060152273105734004,1.0,156.0,15.4455894018733,47.0693879869945
103.21,43349.99652777778,135.30003472222222,0.02645625,1.0,,0.118668292498304,0.094158765059046,1.0,151.0,15.4428606360124,47.0684216285305
103.22,43349.99652777778,405.7450694444445,0.0760392361111111,1.0,,0.120474138947597,0.095105118562047,1.0,152.0,15.442889968964097,47.06839603061981
103.23,43349.99652777778,228.72506944444442,0.0385125,1.0,,0.122104811995505,0.09601572886295401,1.0,153.0,15.4429148032149,47.0683734370546
104.41A,43349.99652777778,246.96163194444443,0.051215972222222225,1.0,,0.147963743553847,0.136441730118142,1.0,114.0,15.4401195708998,47.067242173909605
104.42A,43386.383944153575,536.8164397905759,0.11310750436300174,1.0,,0.148090960946512,0.136848290611682,1.0,115.0,15.4401444580177,47.0672165419103
104.43A,43349.99652777778,289.2817708333333,0.06617916666666666,1.0,,0.150198518408376,0.13873230074296,1.0,116.0,15.440169319638898,47.0671924298775
104.44A,43349.99652777778,132.09652777777777,0.028139583333333332,1.0,,0.149743785677161,0.056374776411065,1.0,117.0,15.439254711760999,47.0667996307624
105.11A,43349.99652777778,214.60680555555555,0.04240451388888889,1.0,,0.066173736595016,0.046330357381225,1.0,111.0,15.438151417167102,47.0668072071705
105.31A,43349.99652777778,289.19309027777774,0.048219791666666664,1.0,,0.21419526903317704,0.191286718694529,1.0,110.0,15.4385509484797,47.0661581561087
105.32A,43349.99652777778,229.85086805555557,0.03588993055555555,1.0,,0.21238208697683,0.19152988146821298,1.0,109.0,15.4385773842286,47.06616701299879
106.31,43349.99652777778,216.9515625,0.06418229166666667,1.0,,0.076629072060168,0.064714963315797,1.0,107.0,15.4356460458364,47.0656303600394
106.32,43349.99652777778,209.33753472222222,0.04829791666666667,1.0,,0.076222001671879,0.063832153243172,1.0,108.0,15.435614278803001,47.0656296586815
106.41A,43349.99652777778,14.929305555555556,0.005510763888888889,1.0,,0.070598911800542,0.061770279808625,1.0,53.0,15.4352512205375,47.0663976561717
106.42A,43349.99652777778,156.01604166666667,0.027114930555555552,1.0,,0.070083890315784,0.061988610072746,1.0,54.0,15.4352517017072,47.066369100517
106.43A,43349.99652777778,104.60625,0.01657986111111111,1.0,,0.070451437140519,0.06202645097805699,1.0,55.0,15.4352504414346,47.0663405311623
106.44A,43349.99652777778,43.337152777777774,0.007252777777777778,1.0,,0.071475213748817,0.062511033679306,1.0,56.0,15.4352491210132,47.0663155314892
