detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
10001010[D7_1C],44454.233409610984,22.558352402745996,0.05347826100686499,1.0,,0.178057209873787,0.028587698439972,1.0,329.0,9.492239099999999,51.3116702
10001011[D7_2C],46878.94736842105,25.930827067669174,0.04125313287719298,1.0,,0.176453989142943,0.027961205922255,1.0,330.0,9.492212,51.3116519
10002009[D6-3B],42027.31958762887,101.0843151693299,0.23278139513737053,1.0,,0.404521101217688,0.027622776795418996,1.0,82.0,9.5091653,51.3193734
10002010[D6-2C],42027.31958762887,157.95471281185567,0.28008628225625537,1.0,,0.405397002994499,0.03932756851811,1.0,81.0,9.5092086,51.3194767
10002011[D6-3C],42027.31958762887,147.95876288659792,0.1489043331390116,1.0,,0.404521101217688,0.038684942465556,1.0,82.0,9.5092482,51.3194582
10002012[D7-1B],41997.936371453136,98.86025467755805,0.3483298847777917,1.0,,0.157314727798333,0.029700640285202997,1.0,350.0,9.5095624,51.3188009
10002013[D7-2B],42086.04651162791,112.93790247200688,0.32040314853328306,1.0,,0.157741423103609,0.026749581462494,1.0,351.0,9.509542,51.318768
10002015[D7-2C],42027.31958762887,151.12076583333334,0.25061394924664854,1.0,,0.157741423103609,0.041210812797524,1.0,351.0,9.509732,51.318718
10002016[D8-1B],42027.31958762887,132.9388807130584,0.20250163708353788,1.0,,0.362145576791152,0.034484234463305,1.0,80.0,9.5084446,51.3184129
10002017[D8-2B],42267.01298701299,137.3361781064935,0.16943032446423417,1.0,,0.36199758904845,0.034368182092159,1.0,79.0,9.5084018,51.3184296
10002018[D8-3B],42027.31958762887,62.106406477663235,0.4318771319405949,1.0,,0.23398634879556,0.034828984979774,1.0,78.0,9.5083615,51.3184433
10003012[D8],42099.65576592083,148.73272682616178,0.027329112356364232,1.0,,0.252387912734874,0.042614245016433,1.0,406.0,9.481463,51.298088
10003013[D8a],44668.791002811624,159.17994376757264,0.02639956266791628,1.0,,0.250390100592229,0.044176218338252,1.0,405.0,9.481413,51.2980731
10003014[D9],43125.06690454951,122.31413278322927,0.5062232917369696,1.0,,0.223450612598834,0.027324230747326,1.0,404.0,9.4813675,51.2980084
10003015[D9a],43551.666666666664,113.15,0.44376962116313934,1.0,,0.219149655301295,0.027411842807631,1.0,403.0,9.4813335,51.2979884
