detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
1005-N,42146.08880994671,891.1944195008881,0.04092964926500888,1.0,,0.188405485218469,0.073943026659913,4.0,1024.0,-118.279368,34.022821
1006-E,38806.401544401546,437.1313569312742,0.029337763915637066,1.0,,0.069351676692878,0.050595081291026,2.0,274.0,-118.265185,34.035042
1006-N,39768.25348924934,561.4018369377593,0.028788930023293094,1.0,,0.089276707510278,0.067380318040155,2.0,1130.0,-118.264995,34.034123
1006-S,40659.202657807306,577.4343879040237,0.050976791186120335,1.0,,0.371513372006563,0.06645546984371,2.0,362.0,-118.26407099999999,34.035345
1006-W,35950.35,433.8942378072917,0.019089935787124996,1.0,,0.095295331111135,0.076821768066831,2.0,271.0,-118.263724,34.034274
1007-E,41265.40834845735,385.26049923248644,0.0495867760846098,1.0,,0.092858365572069,0.043012060429747,2.0,272.0,-118.264082,34.034439
1007-N,39720.67950169875,619.2333866587392,0.028348096237108343,1.0,,0.084276418652801,0.073163423678336,2.0,1133.0,-118.264039,34.033539
1007-S,40311.476510067114,593.722869049217,0.03144311400538777,1.0,,0.372550552542434,0.10866268887353,2.0,383.0,-118.262906,34.035087
1008-E,41507.282608695656,441.88758501414856,0.034216725394963766,1.0,,0.087572439987061,0.076794951778857,2.0,270.0,-118.26342999999999,34.034055
1008-N,40197.33681462141,716.3913229998135,0.034456320571969415,1.0,,0.088676501770321,0.06768025633205,2.0,1089.0,-118.26301199999999,34.033053
1008-S,43064.858638743455,411.2549730321117,0.09513730360888308,1.0,,0.343838121465535,0.065140264537905,1.0,400.0,-118.262176,34.034206
1008-W,35988.16479400749,492.82196881627135,0.03410688969860591,1.0,,0.096531842462926,0.068570319827443,2.0,268.0,-118.26182499999999,34.033211
1010-N,43035.05751132799,782.0707526036946,0.03111542671634716,1.0,,0.155347088128314,0.081248346417824,2.0,1253.0,-118.283926,34.028106
1010-S,43094.96337635159,997.7789655354029,0.04435128175748169,1.0,,0.281893372090668,0.08262821306608,2.0,1254.0,-118.284028,34.029771
1012-N,37521.792,608.6484322318,0.023043249204200002,1.0,,0.076185490189147,0.066987512434997,2.0,1128.0,-118.26557,34.033404
1012-S,40211.14093959732,596.8507080108128,0.03661933609679344,1.0,,0.08513770556664,0.067067578695511,2.0,1129.0,-118.264715,34.034602
1012-W,43050.10452961672,846.9842292303136,0.0614897183628223,1.0,,0.098981161765233,0.079232154432017,2.0,1142.0,-118.264369,34.033547
1013-N,41755.60975609756,642.0337926965567,0.03106275581908178,1.0,,0.080996061815306,0.067886206515015,2.0,1134.0,-118.264597,34.032868
1013-S,42744.54640980736,650.7471335665499,0.05644686014917688,1.0,,0.083629036226411,0.072103077022551,2.0,1132.0,-118.263733,34.034047
1013-W,42976.64921465969,880.5281103699825,0.057033291905270504,1.0,,0.097447521382285,0.074024429998188,2.0,1141.0,-118.263401,34.033013
1014-N,39791.52542372881,696.010000018079,0.02925538475039548,1.0,,0.075859052650031,0.066096523018707,2.0,1091.0,-118.263597,34.032282
1014-S,42990.29247910863,448.9725825292479,0.05442728539883357,1.0,,0.085685409233729,0.062638281400468,1.0,1088.0,-118.2628067,34.0334186
1014-W,40719.73509933775,870.4187671891096,0.04695955936032009,1.0,,0.108971154598499,0.089685426577622,2.0,1140.0,-118.262324,34.032405
1015-N,36163.36386344713,341.70331551665276,0.013316499681952533,1.0,,0.074419687653823,0.06108535499729301,2.0,1492.0,-118.262482,34.031806
1015-S,41929.38906752411,728.6455277920686,0.05763955702077528,1.0,,0.072723125626306,0.04811195726717899,2.0,1494.0,-118.261795,34.03282
1015-W,42990.29247910863,881.9211517459959,0.13936665901023676,1.0,,0.270272448672433,0.05386313514412,2.0,1493.0,-118.2614159,34.0320896
1020-E,42508.27391457819,824.5091165619484,0.08787858454322273,1.0,,0.073852780337798,0.062087177734354,2.0,1137.0,-118.2664,34.03363
1020-N,37220.346355215464,610.4245962351994,0.02408696040058397,1.0,,0.144540159818894,0.078019164691342,2.0,1126.0,-118.26620500000001,34.032621
1020-S,36562.20491803279,543.3272384163935,0.03604213369180328,1.0,,0.085734029353423,0.070866387489374,2.0,1127.0,-118.26530399999999,34.033912
1022-E,41748.18507890961,808.598887376614,0.0703490115169297,1.0,,0.09626075923749301,0.04982309542697199,2.0,1139.0,-118.264262,34.032466
1022-N,40379.621240252505,798.2756202283699,0.05405743658971408,1.0,,0.133852381101948,0.06904038843682,2.0,1093.0,-118.264139,34.031594
1022-S,37209.41129032258,572.0637202125,0.03578863185125,1.0,,0.071647203301594,0.06227027482266399,2.0,1090.0,-118.263328,34.032772
1028-N,42692.629733520334,451.59084795967743,0.05960894874742286,1.0,,0.230370394175554,0.053231823129142,1.0,1205.0,-118.269563,34.030685
1028-S,38596.69383003492,513.8120227409779,0.03278509742112922,1.0,,0.171996433973044,0.090091171053508,2.0,1203.0,-118.26885899999999,34.031959
1029-E,41489.80505415163,905.5838687418774,0.11116807342830326,1.0,,0.125158136636192,0.032622129883332,2.0,1111.0,-118.26885,34.032864
1029-N,41500.58441558442,432.35339035768396,0.06693383884738456,1.0,,0.161648301924362,0.066019540387463,1.0,1206.0,-118.268719,34.031975
1029-S,39364.341203351105,512.1805345910129,0.050801129497715154,1.0,,0.170701329446505,0.067931650714899,2.0,1118.0,-118.267943,34.033398
1029-W,40529.07948243993,1028.985173634011,0.061910604229852124,1.0,,0.074497436069822,0.040545691913707,3.0,1108.0,-118.26778699999998,34.032538
1030-E,41557.029560201874,1031.1589320670512,0.0912903294254326,1.0,,0.071321333418511,0.043630836574439,3.0,1109.0,-118.26813100000001,34.032559
1030-N,38529.37791601866,483.4255126547434,0.028639734442982116,1.0,,0.4228438878679359,0.072334252535925,2.0,1201.0,-118.267982,34.03164
1030-W,39893.38849191425,1057.9255726024821,0.07128190420240692,1.0,,0.082008496423502,0.050060088194789,3.0,1106.0,-118.266946,34.032183
1031-E,41339.91301196085,998.4513387886916,0.05472370557671257,1.0,,0.09082010303188,0.05633927089219801,3.0,1107.0,-118.26737,34.03221
1031-N,38175.20031421838,659.4109607637471,0.04492379203774548,1.0,,0.104394410327957,0.068847045335516,2.0,1199.0,-118.26717500000001,34.031321
1031-S,36880.748271655146,644.3864774402197,0.05333506477328182,1.0,,0.151330630764212,0.069780915632027,2.0,1125.0,-118.26626000000002,34.032673
1031-W,39952.22389181067,1143.6244805653644,0.05342757979164162,1.0,,0.10285094681567002,0.060806160149487,3.0,1104.0,-118.266004,34.031729
1032-E,40982.03947368421,980.5798618047734,0.05159177555473319,1.0,,0.090426191009812,0.056303612575795,3.0,1105.0,-118.266448,34.031796
1032-N,40250.707371556215,744.600349290767,0.0906502628813105,1.0,,0.10099961700048898,0.088206661700427,2.0,1195.0,-118.266233,34.030665
1032-S,38908.39182414192,601.6435555437718,0.08066323553349403,1.0,,0.136360304834422,0.071337805404955,2.0,1131.0,-118.265236,34.032228
1032-W,39775.04524886878,1178.9371756240573,0.04940412175478884,1.0,,0.088642589592233,0.061476560239931,3.0,1102.0,-118.264953,34.031258
1033-E,40792.1116415718,1099.9576552699227,0.040226701344271025,1.0,,0.087715059437718,0.053506223338941,3.0,1103.0,-118.265391,34.031292
1033-N,39382.99961933765,916.0957976912829,0.09279942221318994,1.0,,0.43006531881765,0.093773056761717,2.0,1087.0,-118.265199,34.030236
1033-S,41457.308455736405,596.1608413035193,0.04103571221232632,1.0,,0.144119108952503,0.10419389048761701,2.0,1092.0,-118.26399499999998,34.031972
1033-W,40850.75568598679,1166.8630455159575,0.05391573541260088,1.0,,0.10677430113433901,0.039713724737523,3.0,1099.0,-118.26411300000001,34.030908
1034-E,41096.873177842564,1161.8331164887027,0.0498012332103863,1.0,,0.108007220121942,0.043302709831703,3.0,1100.0,-118.26402099999999,34.030751
1034-N,36315.57573256294,461.48580736013207,0.04455443668679323,1.0,,0.454418376515692,0.068259083537294,2.0,1385.0,-118.26396400000002,34.029902
1034-S,36207.8642384106,443.9779931123758,0.047395512601428394,1.0,,0.114917114615707,0.061398671085225995,2.0,1491.0,-118.263128,34.031218
1034-W,40273.04056568664,1243.5376706457014,0.08278739004985114,1.0,,0.205732177183815,0.078156968991264,3.0,1098.0,-118.26263899999998,34.030207
1037-N,43094.96337635159,1318.7919769096618,0.06791167386274852,1.0,,0.21221894352713,0.058350286229734,2.0,553.0,-118.291499,34.029888
1037-S,41339.41176470588,596.9873621949891,0.024853460717175018,1.0,,0.22637787842233503,0.060794913931622,2.0,554.0,-118.29158999999999,34.031163
1038-N,42501.39370357269,1322.326757631942,0.06676363526766892,1.0,,0.09503222314350099,0.078328555846911,3.0,1643.0,-118.30017,34.03674
1038-S,43065.14106583072,1940.8899380320447,0.06774468724552421,1.0,,0.247879989336224,0.05908003215539101,3.0,1626.0,-118.30038159999998,34.0381916
1038-W,43094.96337635159,1407.5772352127658,0.08895001876728287,1.0,,0.246951699179664,0.103142021964248,2.0,1640.0,-118.298939,34.037481
1039-N,43094.96337635159,1627.771512949076,0.06806013363510638,1.0,,0.083899002567585,0.055897407208294,3.0,559.0,-118.291491,34.036798
1039-S,43094.96337635159,1477.1185069462852,0.07933222859719219,1.0,,0.259048949969034,0.084037596468714,2.0,560.0,-118.29164300000001,34.038314
1039-W,43079.91625959525,612.1252289937195,0.1756030806179344,1.0,,0.1672827699364,0.082230389954734,2.0,1184.0,-118.290459,34.037413
1040-E,44646.72035139092,697.5996799707174,0.04057371629760249,1.0,,0.348330273150774,0.11316776139854,2.0,1641.0,-118.301695,34.036592
1040-N,43094.96337635159,1244.5951968974537,0.10323560657153819,1.0,,0.400293054056108,0.100498683072877,2.0,1637.0,-118.300222,34.035574
1040-S,43094.96337635159,1367.5854294337287,0.058439840853086844,1.0,,0.097776158099938,0.074739817990667,3.0,1642.0,-118.300323,34.037261
1041-E,43079.91625959525,792.4704537299372,0.06963219546573622,1.0,,0.341819703421711,0.099339700704081,2.0,1639.0,-118.292694,34.036488
1041-N,43094.96337635159,1307.9004318503662,0.11678358761049877,1.0,,0.190607657581692,0.09042204997737499,2.0,557.0,-118.291538,34.03553
1041-S,43094.96337635159,1565.3643649598885,0.04697350191665504,1.0,,0.084502209971537,0.04605452686596599,4.0,558.0,-118.291667,34.036959
1049-N,37045.55825242718,699.491931781958,0.022048051662884306,1.0,,0.285265751799863,0.060069183512987,2.0,1200.0,-118.267691,34.030549
1049-S,35639.31904161412,652.1834772467424,0.023366561827910887,1.0,,0.106700355085164,0.079470774624265,2.0,1198.0,-118.26702299999998,34.03173
1050-N,37213.76811594203,877.5411255404589,0.07797679334969806,1.0,,0.316260513633845,0.079306234498932,2.0,1213.0,-118.269477,34.027781
1050-S,51226.166666666664,754.6516115462963,0.015773890991851846,1.0,,0.413919196188327,0.081628462338694,4.0,1202.0,-118.269038,34.029512
1053-E,40832.00293470286,961.1595847410125,0.04299684290445708,1.0,,0.221250872302988,0.052030009655564,3.0,1635.0,-118.301028,34.032736
1053-N,42728.78254750176,1207.152183474666,0.08259679604025334,1.0,,0.383631087873162,0.109865217735195,2.0,1645.0,-118.300246,34.031682
1053-S,43139.66550522648,1497.0592292351917,0.05512368247221254,1.0,,0.39817102554657297,0.077402024080166,3.0,1636.0,-118.300394,34.033571
1053-W,41472.129963898915,880.8391202960289,0.03721105374548737,1.0,,0.37792213986375106,0.075423913450841,2.0,1633.0,-118.299259,34.032772
1054-E,40241.191362621,1037.1967712379003,0.032580570142926285,1.0,,0.379322440483865,0.08405682273406,2.0,1632.0,-118.29695400000001,34.032717
1054-W,41590.88552915767,895.8741230039598,0.027210802177501804,1.0,,0.381740181692008,0.06725342200712,2.0,1631.0,-118.295132,34.032839
1055-E,41011.218441273326,1142.11518841749,0.08243127684066959,1.0,,0.386073800659516,0.064849927763104,3.0,1630.0,-118.292381,34.032763
1055-N,42975.706806282724,1293.92971503822,0.0828055464247295,1.0,,0.219832679479857,0.069104771045993,3.0,555.0,-118.291473,34.032016
1055-S,43094.96337635159,1403.787622288699,0.08709458129963377,1.0,,0.179492506933872,0.068748298892526,3.0,556.0,-118.291624,34.033474
1055-W,41891.067335243555,1139.0022932449858,0.05513019952251074,1.0,,0.455491931138286,0.20720280111308897,3.0,1162.0,-118.289117,34.032806
1056-E,43094.96337635159,1072.767539267527,0.03874480139565748,1.0,,0.458591320213691,0.072862470229192,2.0,1163.0,-118.287339,34.03275
1056-W,42724.276685393255,976.9306353107445,0.03728609665005267,1.0,,0.23477112584411702,0.08795515997072,2.0,1161.0,-118.28541599999998,34.032401
1059-S,43199.49755757153,996.8738294923238,0.08868434951814376,1.0,,0.232271079856598,0.07246693646972,2.0,1028.0,-118.276942,34.026845
1061-E,39676.77370608236,1065.471707874953,0.024374193515130337,1.0,,0.253463108530361,0.088323939925001,3.0,1266.0,-118.284777,34.018132
1061-W,43050.10452961672,836.9023345456445,0.036099440810679444,1.0,,0.09847907494575499,0.070045166370961,2.0,1267.0,-118.28264500000002,34.018336
1062-E,43035.05751132799,677.4991233354828,0.10915994040873127,1.0,,0.128664748237979,0.04971637311470499,1.0,1152.0,-118.27150200000001,34.026079
1062-N,36311.69826875515,895.4144414942291,0.0667359966799258,1.0,,0.211316736851597,0.064910038664606,2.0,1326.0,-118.27116099999999,34.025225
1062-S,37939.22651933702,633.6081855205209,0.02757734497868982,1.0,,0.313788905093162,0.088420310921222,2.0,1212.0,-118.270329,34.026703
1062-W,43035.05751132799,581.6481151310561,0.07901279253314744,1.0,,0.098447767771312,0.071119496212736,1.0,1149.0,-118.270014,34.025496
1063-N,42592.47622402255,1229.2312168439591,0.03465623750674533,1.0,,0.38556404287160295,0.097063452397841,2.0,1647.0,-118.30021099999999,34.028196
1063-S,43079.91625959525,1204.377942824494,0.03776722859105025,1.0,,0.384343134047058,0.09315853865136202,2.0,1644.0,-118.300298,34.030052
1065-E,42640.84971910113,205.972013328125,0.015932337578230333,1.0,,0.40107708914173307,0.079037917114448,1.0,1258.0,-118.28503299999998,34.027361
1065-N,41021.01459854015,699.3005950182481,0.01410732926370438,1.0,,0.38326445788777,0.27026113562231,3.0,1251.0,-118.28372499999999,34.024812
1065-S,43035.30846985012,1076.288182309167,0.03412134405526316,1.0,,0.166382790626249,0.09120798649379999,3.0,1252.0,-118.28405000000001,34.028284
1065-W,43110.0,258.7386223291492,0.01737362934914574,1.0,,0.19318734257082398,0.067719854324817,1.0,1256.0,-118.283055,34.027294
1066-E,43109.87465181058,218.03489785898327,0.1104507240094011,1.0,,0.36864267225425895,0.067724817770424,1.0,1257.0,-118.278827,34.025356
1066-N,43094.96337635159,1329.5220965887688,0.06754787926667248,1.0,,0.173718776525143,0.069652460356071,3.0,1025.0,-118.27840400000001,34.024395
1066-W,41983.39514978602,188.7769518791013,0.059188540007988594,1.0,,0.111186175637422,0.070180682718681,1.0,1317.0,-118.277198,34.02471
1067-E,43094.806822137136,255.17842245701357,0.04006676465579533,1.0,,0.10920084680958898,0.071638024394114,1.0,1318.0,-118.277596,34.024829
