detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
ig11FD100_D3,43295.60648994515,930.6724739036194,10.284756531342943,1.0,,0.48179908940616195,0.030939965504593003,1.0,9.0,8.3094258,47.0496698
ig11FD100_D31,43295.518535657364,377.10749261985274,0.1372078420802677,1.0,,0.20448314566100897,0.155278235457219,1.0,1.0,8.3092234,47.0514343
ig11FD100_D32,43295.518535657364,353.93003470743355,0.11342733035879214,1.0,,0.202738339518537,0.174769420257969,1.0,2.0,8.3091731,47.0514375
ig11FD100_D33,43295.518535657364,431.46988930752565,0.15715866397868236,1.0,,0.116316471448625,0.103917994520274,1.0,6.0,8.3090309,47.0501258
ig11FD100_D34,43295.518535657364,237.11787313027816,0.11911656447454629,1.0,,0.027157169262679,0.020328641586795,1.0,7.0,8.3093722,47.050007
ig11FD100_D35,43295.518535657364,161.36108696609276,0.0966857683747782,1.0,,0.029404514182859,0.021458366399622,1.0,8.0,8.3093145,47.050008
ig11FD100_D36,43295.518535657364,675.0207701374071,5.171765121780566,1.0,,0.49568527895735204,0.450242335583379,1.0,93.0,8.3093373,47.0496689
ig11FD100_D37,43295.518535657364,91.95901283653771,0.11637468553565034,1.0,,0.035858806883688,0.032328166800398,1.0,14.0,8.309167,47.0500801
ig11FD100_D38,43295.518535657364,260.5458453571688,0.12366172896067193,1.0,,0.034515683888919,0.034515683888919,1.0,13.0,8.3091483,47.0501185
ig11FD100_D39,43295.518535657364,74.49764479486129,0.09808467346712033,1.0,,0.034308235110954,0.032041139590024,1.0,5.0,8.3089109,47.0510414
ig11FD100_D4,43299.54257728221,6975.125064297051,7.322909455379909,1.0,,0.483728092717304,0.45361070989938096,1.0,10.0,8.3093843,47.0496689
ig11FD100_D40,43295.518535657364,338.8416431348664,0.12396015129760217,1.0,,0.11323368801833002,0.11005295813971298,1.0,4.0,8.3091187,47.0511584
ig11FD100_D41,43295.518535657364,420.13237020290427,0.1304325662465263,1.0,,0.11749956158937701,0.11407671222811902,1.0,3.0,8.309155,47.0512498
ig11FD100_D42,43295.518535657364,135.48300110413365,0.10346614479035629,1.0,,0.063160900041058,0.014549838659381998,1.0,0.0,8.3096069,47.0510643
ig11FD100_D43,43295.518535657364,112.34696919337249,0.08264999527758117,1.0,,0.34139030850829,0.068834677493505,1.0,12.0,8.3114764,47.0499513
ig11FD100_D44,43295.518535657364,85.03589743906765,0.07882144811502727,1.0,,0.335153868958885,0.277059264139164,1.0,11.0,8.3114013,47.0499513
ig11FD103_D2,43303.05921860455,272.1496383168779,0.6381695730980014,1.0,,0.149604900327317,0.027645043496292005,1.0,18.0,8.3074209,47.0494227
ig11FD103_D3,43303.05921860455,400.92643156100354,0.1598042267153931,1.0,,0.124725031373163,0.10024352863345,1.0,15.0,8.3075463,47.0495177
ig11FD103_D6,43303.05921860455,3.670944390823372,1.0366727340972275,1.0,,0.116316471448625,0.037646341927063,1.0,6.0,8.3082873,47.0498151
ig11FD104_D15,43302.02484081889,256.69222414688335,0.26941601413251187,1.0,,0.05620603962604599,0.016711235525284,1.0,22.0,8.3059946,47.0486391
ig11FD104_D16,43302.02484081889,76.54857462979355,0.12632307890793457,1.0,,0.113049910181947,0.028981876274224997,1.0,79.0,8.306627,47.0484947
ig11FD104_D17,43302.02484081889,159.53421538861764,0.07903145816347142,1.0,,0.11364475553427,0.028282772785038997,1.0,80.0,8.3065841,47.0484856
ig11FD104_D42,43302.02484081889,1.7670750649573137,1.0176530797222143,1.0,,0.083767418031119,0.031038393003365,1.0,19.0,8.305951,47.0487012
ig11FD104_D43,43302.02484081889,1.7670750649573137,1.0176530797222143,1.0,,0.084772951292673,0.030337072452194,1.0,20.0,8.3059699,47.0486674
