detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
1004,43046.79802955665,1267.9730888523993,0.07890257252326217,1.0,,,,,,,
1005,42659.80263157895,1421.0579678362571,0.05633643996810672,1.0,,,,,,,
1006,42659.80263157895,1301.3322002923976,0.10145778497886697,1.0,,,,,,,
1007,42659.80263157895,1282.4386695906433,0.1538245611289693,1.0,,,,,,,
1008,42659.80263157895,428.97295321637426,0.02366301157523392,1.0,,,,,,,
1009,42659.80263157895,944.2707236842106,0.06659649113723684,1.0,,,,,,,
1010,42659.80263157895,426.6733552631579,0.04144663729185673,1.0,,,,,,,
1011,42659.80263157895,1199.5736842105264,0.09744225132927632,1.0,,,,,,,
1012,42659.80263157895,941.3647660818713,0.2474455406484503,1.0,,,,,,,
1013,42659.80263157895,250.18636695906432,0.07842836243223685,1.0,,,,,,,
1014,42657.53514938489,454.7440319273579,0.019081356121067664,1.0,,,,,,,
1015,42659.80263157895,1164.4957602339182,0.04087975139480263,1.0,,,,,,,
1016,42659.80263157895,57.41228070175438,0.12543165212466376,1.0,,,,,,,
1017,42719.550858652576,49.6088727432849,0.009243358243145457,1.0,,,,,,,
1018,42659.80263157895,914.6390350877193,0.030899122706374273,1.0,,,,,,,
1020,42659.80263157895,174.85230263157894,0.08678435668532164,1.0,,,,,,,
1021,42659.80263157895,291.343932748538,0.14760745616533627,1.0,,,,,,,
1030,42659.80263157895,1167.5426169590642,0.04374817245015351,1.0,,,,,,,
1302,42659.80263157895,643.6025950292398,0.1437872807333114,1.0,,,,,,,
1303,42659.80263157895,218.00690789473686,0.7144738674584357,1.0,,,,,,,
1304,42659.80263157895,598.5168494152047,0.20038669588496347,1.0,,,,,,,
2001,42659.80263157895,1004.2157894736843,0.047085526278413746,1.0,,,,,,,
2002,42659.80263157895,179.86801900584794,0.050550438463267545,1.0,,,,,,,
2003,42659.80263157895,959.6695540935673,0.043749999948559944,1.0,,,,,,,
2004,42659.80263157895,120.43896198830409,0.06581542389519737,1.0,,,,,,,
2005,42659.80263157895,1382.9072002923976,0.058394736813530704,1.0,,,,,,,
2006,42659.80263157895,87.49780701754386,0.3614298245118421,1.0,,,,,,,
2007,42659.80263157895,1185.509466374269,0.04923866946978801,1.0,,,,,,,
2008,42659.80263157895,124.18622076023391,0.15057638893246345,1.0,,,,,,,
2009,42659.80263157895,463.2728801169591,0.034141081758523394,1.0,,,,,,,
2010,42659.80263157895,611.3147295321637,0.03937719288157164,1.0,,,,,,,
2011,42659.80263157895,211.73728070175437,0.025452485268903507,1.0,,,,,,,
2012,42659.80263157895,814.0798976608188,0.06135160814051901,1.0,,,,,,,
2013,42659.80263157895,1066.3981359649122,0.05159722212964912,1.0,,,,,,,
2014,42659.80263157895,210.8170321637427,0.09395029240470029,1.0,,,,,,,
2015,42659.80263157895,1043.7766447368422,0.05475475142305555,1.0,,,,,,,
2016,42659.80263157895,940.7463815789474,0.06244298241489035,1.0,,,,,,,
2020,42659.80263157895,789.2926535087719,0.037342836163567254,1.0,,,,,,,
2021,42659.80263157895,349.4888523391813,0.027196271814320175,1.0,,,,,,,
2022,42659.80263157895,793.3357456140351,0.04361787271541667,1.0,,,,,,,
2023,42659.80263157895,359.2729166666667,0.0233497805840424,1.0,,,,,,,
2024,42659.80263157895,258.669298245614,0.011782894677171052,1.0,,,,,,,
2025,42659.80263157895,43.02119883040936,0.033718567246966376,1.0,,,,,,,
2026,42659.80263157895,93.90095029239765,0.1831624635488962,1.0,,,,,,,
2027,42659.80263157895,105.83088450292398,0.1656823830467032,1.0,,,,,,,
2031,42659.80263157895,223.07368421052632,0.10008442977233187,1.0,,,,,,,
2032,42659.80263157895,332.76436403508774,0.020690423879429824,1.0,,,,,,,
2033,43050.0,74.63975694444444,0.22417317708333334,1.0,,,,,,,
2037,42659.80263157895,1119.0946271929824,0.05947478065137427,1.0,,,,,,,
2038,42659.80263157895,1254.2616228070176,0.05092032153196638,1.0,,,,,,,
2039,42659.80263157895,1100.1411184210526,0.03401133033925439,1.0,,,,,,,
2040,42659.80263157895,1100.328399122807,0.04298866947694444,1.0,,,,,,,
2041,42659.80263157895,855.7048245614035,0.028642543756834796,1.0,,,,,,,
2042,42659.80263157895,968.6856725146199,0.035044590557046784,1.0,,,,,,,
2044,42659.80263157895,243.3232456140351,0.39509466364600143,1.0,,,,,,,
2045,42659.80263157895,452.03252923976606,0.1660964910989474,1.0,,,,,,,
2046,42659.80263157895,355.6616959064327,0.03657967825962719,1.0,,,,,,,
2047,42659.80263157895,458.15065789473687,0.07273154230026316,1.0,,,,,,,
2048,42659.80263157895,385.3505116959064,0.036119700191206146,1.0,,,,,,,
2050,42659.80263157895,525.1739035087719,0.031904970644780706,1.0,,,,,,,
2053,42659.80263157895,394.2398391812866,0.2147171051874269,1.0,,,,,,,
2054,42659.80263157895,315.819480994152,0.036098318620767546,1.0,,,,,,,
2055,42659.80263157895,450.7938230994152,0.01875292385592105,1.0,,,,,,,
2056,42659.80263157895,178.69762426900584,0.03515095019865497,1.0,,,,,,,
2057,42659.80263157895,347.5032894736842,0.028307382926915207,1.0,,,,,,,
2058,42659.80263157895,851.6194078947368,0.06092379372233188,1.0,,,,,,,
2059,42659.80263157895,931.7316520467836,0.09090040198804825,1.0,,,,,,,
2060,42659.80263157895,224.2281798245614,0.1686644737568348,1.0,,,,,,,
2061,42659.80263157895,97.99901315789474,0.2497686403041155,1.0,,,,,,,
2062,42659.80263157895,682.6790204678363,0.0295928361580117,1.0,,,,,,,
2063,42659.80263157895,272.3926169590643,0.1670230263427851,1.0,,,,,,,
2064,42659.80263157895,629.2248538011696,0.03422331860799707,1.0,,,,,,,
2065,42659.80263157895,114.59163011695907,0.017057017455482455,1.0,,,,,,,
2066,42659.80263157895,112.92214912280701,0.4305805922667105,1.0,,,,,,,
2067,42659.80263157895,328.0579678362573,0.017898391696849415,1.0,,,,,,,
2068,42632.437789033254,410.53479409821625,0.01688100993342142,1.0,,,,,,,
2069,42632.437789033254,410.36489759964763,0.08536225493442708,1.0,,,,,,,
