detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K1036.D1,42750.0,75.44722222222222,,1.0,,0.016146458169274,0.008615675096232,1.0,692.0,144.967933627093,-37.8051412610653
K1036.D3,42750.0,154.73611111111111,,,,0.018234719310724,0.010094939358042,1.0,691.0,144.967353065833,-37.8049390843296
K1036.D4,42750.0,128.69444444444446,,1.0,,0.12320771022362702,0.024159264154601,1.0,693.0,144.967350314358,-37.8049782153636
K1037.D1,42750.0,214.94444444444446,,,,0.043461237220398,0.031610563734908,1.0,675.0,144.960756745057,-37.8043639585161
K1037.D2,42766.73684210526,127.1438596491228,,1.0,,0.117849909249155,0.032575164676413,1.0,674.0,144.960753993582,-37.8043226531979
K1037.D3,42750.0,387.7888888888889,,,,0.056325975190715,0.016601828798083,1.0,676.0,144.960068876266,-37.804122648192
K1038.D1,42750.0,422.4138888888889,,,,0.163307628201184,0.021730047906338,1.0,396.0,144.989104481432,-37.8218410399174
K1038.D2,42750.0,480.625,,,,0.164220530384131,0.021149531984729,1.0,397.0,144.989138421296,-37.8218427155047
K1038.D3,42750.0,425.90833333333336,,,,0.165569068560378,0.020619750274144,1.0,398.0,144.989180846127,-37.8218427154991
K1038.D4,42750.0,402.65833333333336,,,,0.152003837086377,0.013333003565602,1.0,395.0,144.989403576485,-37.821534401914
K1038.D5,42750.0,542.0083333333333,,,,0.152394532090633,0.013525958904126,1.0,394.0,144.989363272896,-37.8215293750725
K1038.D6,42750.0,437.3305555555556,,,,0.153453961857541,0.012919311947643,1.0,393.0,144.989322969308,-37.8215310506179
K1039.D1,42750.0,144.60555555555555,,1.0,,0.016064474468637,0.005063181683992,1.0,685.0,144.965055922226,-37.8048432184861
K1039.D2,42750.0,102.15833333333333,,1.0,,0.11683136255507498,0.022749081517548,1.0,684.0,144.965072431077,-37.804808435304
K1039.D3,42750.0,228.73055555555555,,,,0.017169406580454,0.006629143893253,1.0,686.0,144.964472609491,-37.8046279972488
K1039.D4,42750.0,159.14444444444445,,1.0,,0.12294266522754402,0.018405248563911,1.0,683.0,144.964461603591,-37.8046758242093
K1039.D6,42750.0,97.00277777777778,,1.0,,0.149212166072913,0.018460405990491,1.0,687.0,144.964846810114,-37.8045040816337
K1045.D5,42750.0,330.4111111111111,,,,0.231793720352623,0.006069334990145,1.0,72.0,144.955291868268,-37.8218312282758
K1051.D1,43386.81718863802,262.476329206118,,,,0.117835291072166,0.022236029606717,1.0,643.0,144.949619147453,-37.8052274351905
K1051.D4,42750.0,191.0861111111111,,,,0.063489864924196,0.02264010792733,1.0,642.0,144.94906334947,-37.8051535212656
K1051.D5,42750.0,97.575,,1.0,,0.217531160766545,0.011447486116145,1.0,646.0,144.949305479284,-37.8049948234518
K1052.D1,42750.0,142.16944444444445,,1.0,,0.214979884583293,0.026199188961698,1.0,382.0,144.982978056954,-37.816237503161
K1052.D2,42750.0,218.18333333333334,,1.0,,0.216172927673585,0.028384259076252003,1.0,381.0,144.982997735702,-37.8161960475711
K1052.D4,42750.0,167.975,,1.0,,0.305071580021856,0.022906818973675,1.0,384.0,144.982289300791,-37.8159473135847
K1052.D5,42682.21757322176,158.55230125523013,,1.0,,0.303823502916689,0.022556005072703,1.0,383.0,144.982279461417,-37.8159913602085
K1052.D7,42750.0,25.33888888888889,,1.0,,0.358477511056997,0.012319607501139,1.0,386.0,144.982571362839,-37.8163048684126
K1052.D9,42739.00907187718,87.49755757152826,,1.0,,0.614409787671445,0.016437714259881,1.0,385.0,144.982692715115,-37.8158540381512
K1057.D1,42711.91819464034,265.7968970380818,,,,0.270428625492133,0.019778470917477,1.0,524.0,144.957896019141,-37.7959962884947
K1057.D3,42704.55820476858,230.617110799439,,,,0.364823467516033,0.035956669743823,1.0,523.0,144.958173575434,-37.795554157087
K1057.D6,42695.84799437016,251.68191414496835,,,,0.270117862094555,0.018143781009838,1.0,525.0,144.957966509628,-37.7959893258348
K1057.D8,42697.26315789474,264.2105263157895,,,,0.362556464594458,0.035754880064647,1.0,522.0,144.958098679292,-37.7955558977458
K1059.D2,42750.0,336.7416666666667,,,,0.23752433865993203,0.008268576952723,1.0,239.0,144.955392136244,-37.8097413081284
