detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
4000011,43200.0,243.82582994579946,0.032409614143760486,1.0,,,,,,,
4000012,43200.0,217.73968495934957,0.0294367240934314,1.0,,,,,,,
4000013,43200.0,216.52753823073942,0.05793579574783842,1.0,,,,,,,
4000014,43200.0,187.2674337011227,0.04666319283133307,1.0,,,,,,,
4001011,43200.0,208.21903310104528,0.06551833301071106,1.0,,,,,,,
4001012,43200.0,272.80768244289584,0.07757574525745256,1.0,,,,,,,
4001013,43200.0,215.3942847464189,0.05368845496193056,1.0,,,,,,,
4001014,43200.0,289.38179684475415,0.06952244644470253,1.0,,,,,,,
4003011,43200.0,618.9102472899729,0.09700006613756612,1.0,,,,,,,
4003012,43200.0,672.4144139566396,0.08680573864369596,1.0,,,,,,,
4003013,43200.0,573.4452985869144,0.12732523632081558,1.0,,,,,,,
4003014,43200.0,587.072839237321,0.11970397954574784,1.0,,,,,,,
4004011,43200.0,557.0790940766551,0.10834838083946315,1.0,,,,,,,
4004014,43200.0,544.8391133130082,0.14623093967770034,,,,,,,,
4005011,43200.0,413.7950445218738,0.07572967399019229,1.0,,,,,,,
4005012,43200.0,566.771980255517,0.1563692065105175,1.0,,,,,,,
4005013,43200.0,425.23309620596206,0.1482408649503162,1.0,,,,,,,
4005014,43200.0,98.66593834688348,0.05086027148664343,1.0,,,,,,,
4005015,43200.0,453.8040722996516,0.12288885017421604,1.0,,,,,,,
4005016,43200.0,355.67496612466124,0.08473245338108144,1.0,,,,,,,
4006011,43200.0,267.2502262388695,0.07441526104174732,1.0,,,,,,,
4006012,43200.0,321.8178692411924,0.08959233590624598,1.0,,,,,,,
4006013,43200.0,260.1702030100658,0.09382438842915215,1.0,,,,,,,
4006014,43200.0,309.36750145180025,0.10467352077687442,1.0,,,,,,,
4007011,43200.0,249.02160762679057,0.10278757742934573,1.0,,,,,,,
4007012,43200.0,320.73993418505614,0.13249471706026586,1.0,,,,,,,
4007013,43200.0,194.0194299264421,0.06676103368176539,1.0,,,,,,,
4007014,43200.0,267.1901011420829,0.062477819718673375,1.0,,,,,,,
4007015,43200.0,267.1901011420829,0.062477819718673375,1.0,,,,,,,
4009011,43200.0,415.00712108013937,0.11026378887598398,1.0,,,,,,,
4009012,43200.0,266.49680603948894,0.041088039585753,1.0,,,,,,,
4009013,43200.0,363.1081663763066,0.03879605755581365,1.0,,,,,,,
4009014,43200.0,255.78227593883082,0.023465235030326492,1.0,,,,,,,
4010011,43350.0,319.5416666666667,0.04710416666666667,1.0,,,,,,,
4010012,43350.0,439.8333333333333,0.06997222222222223,1.0,,,,,,,
4010013,43350.0,569.0416666666666,0.14245833333333333,,,,,,,,
4010014,43350.0,478.0416666666667,0.09831944444444445,1.0,,,,,,,
4010021,43350.0,335.8333333333333,0.03636111111111111,1.0,,,,,,,
4010022,43350.0,576.25,0.06104166666666666,1.0,,,,,,,
4010023,43350.0,558.4166666666666,0.06365277777777778,1.0,,,,,,,
4010024,43350.0,575.7083333333334,0.05251388888888889,1.0,,,,,,,
