detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K10D1,43173.41968911917,311.1045984468312,0.2449777165991903,1.0,,0.118534482705095,0.03393600417981,1.0,66.0,8.4313148,49.31806410000001
K10D2,43173.41968911917,268.99967616703844,0.18322855060728746,1.0,,0.290815453682885,0.054108104731068,1.0,64.0,8.4308159,49.31712
K11D1,43110.0,0.0,1.0,1.0,,0.162756537986225,0.030729690903051003,1.0,69.0,8.43117,49.3190729
K11D2,43110.0,0.0,1.0,1.0,,0.047765989502552,0.001963934111227,1.0,68.0,8.4315696,49.3187128
K11D4,43110.0,54.964285714285715,0.19768899553571428,1.0,,0.234382383254126,0.004395602254981,1.0,67.0,8.4311485,49.3186428
K12D1,43110.0,107.61309523809524,0.13966599702380952,1.0,,0.263789327611356,0.0025924095542839997,1.0,96.0,8.4306121,49.3202321
K12D10,43110.0,158.17857142857142,0.056066264880952385,1.0,,0.206170892075248,0.050989304659831,1.0,71.0,8.4298034,49.3198545
K12D2,43110.0,100.77083333333333,0.03225045386904762,1.0,,0.263789327611356,0.032189671703962,1.0,96.0,8.4304619,49.3204795
K12D3,43110.0,200.5327380952381,0.21048056547619048,1.0,,0.048946613936857,0.002532479920858,1.0,143.0,8.430659,49.32023740000001
K12D4,43110.0,263.8720238095238,0.10645761160714284,1.0,,0.048946613936857,0.032018955331582,1.0,143.0,8.4304968,49.3204804
K12D5,43110.0,237.00892857142858,0.15280247023809523,1.0,,0.166272396145903,0.00204285924447,1.0,72.0,8.4308481,49.3199786
K12D6,43110.0,247.70833333333334,0.06562372767857143,1.0,,0.166272396145903,0.044890127374087,1.0,72.0,8.4310239,49.3196394
K12D7,43110.0,55.589285714285715,0.1357357738095238,1.0,,0.07728926386657,0.001140508784813,1.0,144.0,8.4308025,49.3199314
K12D8,43110.0,35.666666666666664,0.008137998511904762,1.0,,0.07728926386657,0.036010919646548,1.0,144.0,8.4309554,49.3196342
K12D9,43110.0,167.34821428571428,0.28728464285714284,1.0,,0.206170892075248,0.002175600126211,1.0,71.0,8.430431,49.32001090000001
K13D1,43110.0,232.36011904761904,0.1285344568452381,1.0,,0.691431656672159,0.002118824666577,1.0,77.0,8.4292227,49.3224148
K13D10,43110.0,313.4047619047619,0.06544773065476191,1.0,,0.272524493894681,0.05353764695268,1.0,73.0,8.4297109,49.3218196
K13D2,43110.0,237.16964285714286,0.0682890550595238,1.0,,0.691431656672159,0.032640849250831,1.0,77.0,8.429047,49.322663999999996
K13D3,43110.0,42.595238095238095,0.029409285714285714,1.0,,0.06914374281448,0.001823226982579,1.0,141.0,8.429263,49.3224288
K13D4,43110.0,33.1875,0.006158824404761906,1.0,,0.06914374281448,0.031766358341516,1.0,141.0,8.4290859,49.3226719
K13D5,43110.0,22.55654761904762,0.08633932291666667,1.0,,0.047636558599865,0.017852401041457,1.0,140.0,8.4294936,49.3224175
K13D6,43110.0,79.81845238095238,0.2447005580357143,1.0,,0.223159556709736,0.002532445334644,1.0,75.0,8.4295298,49.3223659
K13D7,43110.0,104.71428571428571,0.04427528273809524,1.0,,0.223159556709736,0.035181244684332,1.0,75.0,8.4299697,49.322421
K13D8,43110.0,79.07738095238095,0.06835018601190476,1.0,,0.051573089944131,0.041114140742415,1.0,142.0,8.4295473,49.3222164
K13D9,43110.0,233.58333333333334,0.11567876488095238,1.0,,0.272524493894681,0.0016706910849849997,1.0,73.0,8.4294292,49.3222479
K14D1,43110.0,179.83928571428572,0.06981345238095238,1.0,,0.181421629310968,0.05353033778121699,1.0,119.0,8.4294829,49.3276428
K14D10,43110.0,70.48511904761905,0.15575146577380952,1.0,,0.10067227551301398,0.008652325121107,1.0,114.0,8.429963,49.32813139999999
K14D11,43110.0,234.53869047619048,0.06907988095238095,1.0,,0.289134747810326,0.16761733420651198,1.0,81.5,8.537924049999999,49.593759
K14D12,43110.0,76.32142857142857,0.014094910714285714,1.0,,0.0396757382476745,0.027149411538879998,1.0,201.5,8.4775334,48.34950539999999
K14D13,43110.0,96.30654761904762,0.017327127976190477,1.0,,0.3985656795814385,0.08573615450316399,1.0,183.0,8.477600899999999,48.34892635
K14D14,43110.0,73.71130952380952,0.01871204613095238,1.0,,0.1156881448950655,0.075765099107841,1.0,200.5,8.4775648,48.3489189
K14D2,43110.0,85.51785714285714,0.19332282738095238,1.0,,0.080435958601367,0.005404897150517,1.0,120.0,8.4296733,49.3280746
K14D3,43110.0,87.27678571428571,0.022807760416666666,1.0,,0.08030005253731,0.05177477501032799,1.0,113.0,8.4293903,49.3284006
K14D4,43110.0,85.33630952380952,0.11792817708333334,1.0,,0.253033563748863,0.004188934133838,1.0,111.0,8.4294815,49.3284355
K14D5,43110.0,91.17559523809524,0.2821939732142857,1.0,,0.037082399485825,0.005277913534608,1.0,112.0,8.4294976,49.328467
K14D6,43110.0,87.20238095238095,0.015880647321428572,1.0,,0.082081498762244,0.053514478443813,1.0,116.0,8.4299415,49.3287869
K14D7,43110.0,299.1547619047619,0.05924904017857143,1.0,,0.11356374245951402,0.034647727796418,1.0,115.0,8.4299911,49.328779
K14D8,43110.0,80.00297619047619,0.10841973958333333,1.0,,0.055763493303597006,0.006277358397852,1.0,118.0,8.4299174,49.32850630000001
K14D9,43110.0,81.61011904761905,0.17045197172619048,1.0,,0.666148399843425,0.0060685962409410005,1.0,80.0,8.4300072,49.3282669
K15D1,43110.0,316.6607142857143,0.1079993005952381,1.0,,0.37965957150116,0.040876193165968,1.0,121.0,8.4303331,49.3298313
K15D2,43110.0,84.55654761904762,0.2924216517857143,1.0,,0.316898353102106,0.002947871036254,1.0,109.0,8.4304565,49.3293122
K15D3,43110.0,78.07738095238095,0.05767387648809524,1.0,,0.316898353102106,0.025680908176763,1.0,109.0,8.4307663,49.3293402
K15D4,43110.0,331.7916666666667,0.06300767857142857,1.0,,0.124633639769152,0.04825308218429,1.0,117.0,8.4300783,49.3287423
K16D1,43110.0,351.4017857142857,0.07726813244047619,1.0,,0.230965924795864,0.045281314336448,1.0,20.0,8.4299402,49.3334723
K16D2,43110.0,337.625,0.06428764880952381,1.0,,0.39857644506681794,0.051139187172238,1.0,22.0,8.4301883,49.33226629999999
K16D3,43110.0,360.55357142857144,0.04967447172619048,1.0,,0.039854681303948,0.003700561427968,1.0,21.0,8.4300917,49.33268840000001
K16D4,43110.0,33.705357142857146,0.18306130208333332,1.0,,0.276413415151478,0.002585406476287,1.0,19.0,8.4298584,49.3329016
K17D1,43110.0,241.42559523809524,0.051429642857142854,1.0,,0.52563776504863,0.037543789442783,1.0,123.0,8.4295928,49.3354779
K17D3,43110.0,130.39880952380952,0.09705103422619048,1.0,,0.11056324382021399,0.038730754550361,1.0,122.0,8.4296344,49.3354788
K17D5,43110.0,174.49107142857142,0.1474298363095238,1.0,,0.4571031151774819,0.040649720403622996,1.0,17.0,8.4306,49.3349545
K17D7,43110.0,132.13690476190476,0.11838544642857143,1.0,,0.4571031151774819,0.040784623863511,1.0,17.0,8.430596,49.3349283
K17D8,43110.0,192.25,0.06163575892857143,1.0,,0.215169767202807,0.035399964743928,1.0,18.0,8.4298544,49.3344398
K17D9,43110.0,282.3363095238095,0.13586794642857142,1.0,,0.215169767202807,0.035313240990175,1.0,18.0,8.4298168,49.3344389
K18D10,43110.0,210.49107142857142,0.06049950892857143,1.0,,0.185618486812226,0.051378277818209,1.0,14.0,8.4297015,49.3403952
K18D11,43110.0,122.67559523809524,0.04273063988095238,1.0,,0.1448461614482575,0.1319374150843125,1.0,564.5,8.47738285,48.3547149
K18D12,43110.0,319.4107142857143,0.05680965773809524,1.0,,0.39024651116908704,0.131455601956666,1.0,566.5,8.47721295,48.3541892
K18D13,43110.0,314.57440476190476,0.13200290922619046,1.0,,0.08230696089699151,0.06015867617513901,1.0,197.5,8.4772146,48.354161000000005
K18D14,43110.0,227.44345238095238,0.12285821428571429,1.0,,0.328350065079259,0.0666633489157055,1.0,156.5,8.47666735,48.35425265
K18D9,43110.0,0.0,1.0,1.0,,0.840351372459565,0.047132697909309,1.0,108.0,8.4284583,49.3404135
K19D1,43110.0,149.30059523809524,0.03661331845238095,1.0,,0.669622679211172,0.04816938181260501,1.0,8.0,8.4305691,49.34192089999999
K19D10,43110.0,157.39583333333334,0.10044360863095238,1.0,,0.7448176125426189,0.038111568199207,1.0,9.0,8.4298544,49.3415984
K19D12,43110.0,47.961309523809526,0.011969322916666667,1.0,,0.070507010697253,0.04109755488744,1.0,15.0,8.4310439,49.3408102
K19D3,43110.0,62.023809523809526,0.01531811011904762,1.0,,0.046879209289401,0.034520344440173,1.0,7.0,8.4305759,49.3417976
K19D5,43110.0,119.50892857142857,0.042423869047619044,1.0,,0.958949400782236,0.045802075872245,1.0,10.0,8.4310788,49.3408259
K19D6,43110.0,219.9077380952381,0.11236478422619048,1.0,,0.170090902979536,0.045916047687396,1.0,12.0,8.4300368,49.3406468
K19D8,43110.0,114.84821428571429,0.026818058035714288,1.0,,0.053972899857963,0.046012013187646,1.0,11.0,8.4299938,49.3406564
K26D1,43110.0,83.1547619047619,0.01653387648809524,1.0,,0.258769381456912,0.06145354914142,1.0,92.0,8.443146,49.31279580000001
K26D12,43110.0,112.93154761904762,0.2820235342261905,1.0,,0.216667072554621,0.042344638382978,1.0,83.0,8.4437978,49.3135617
K26D3,43110.0,99.78869047619048,0.023770074404761907,1.0,,0.25944923415041,0.06148587228779101,1.0,93.0,8.4430951,49.31279930000001
K26D6,43110.0,207.31845238095238,0.043127276785714284,1.0,,0.374906699883962,0.049472495226385,1.0,82.0,8.442218,49.31327840000001
K26D7,43110.0,80.4375,0.015643474702380953,1.0,,0.158583951865764,0.043165973388662,1.0,84.0,8.4428859,49.31398659999999
K26D8,43110.0,32.773809523809526,0.05184671875,1.0,,0.060311001850796,0.003281375357116,1.0,85.0,8.4430254,49.3136369
K28D1,43110.0,168.29166666666666,0.3056706101190476,1.0,,0.24349369502292603,0.0032937372218959995,1.0,89.0,8.4435055,49.3110149
K28D10,43110.0,210.91666666666666,0.07194544642857144,1.0,,0.251194179392196,0.050850356726517,1.0,86.0,8.4431487,49.311807
K28D11,43110.0,143.54761904761904,0.28505805803571427,1.0,,0.143255861589193,0.000906647446346,1.0,87.0,8.443315,49.3113768
K28D12,43110.0,194.89880952380952,0.21550731398809522,1.0,,0.143255861589193,0.023978198423958,1.0,87.0,8.4432614,49.3115814
K28D13,43110.0,104.24404761904762,0.2957164285714286,1.0,,0.132103781883868,0.001278654762127,1.0,91.0,8.4435363,49.3113357
K28D14,43110.0,128.27380952380952,0.13584421130952382,1.0,,0.132103781883868,0.033116958886746,1.0,91.0,8.4438327,49.311530700000006
K28D15,43110.0,46.19047619047619,0.2093311755952381,1.0,,0.375148161342109,0.001435097978552,1.0,90.0,8.4435631,49.3113139
K28D16,43110.0,41.3125,0.02399667410714286,1.0,,0.375148161342109,0.036762900007238,1.0,90.0,8.4438877,49.31152719999999
K28D2,43110.0,238.60119047619048,0.1177297619047619,1.0,,0.24349369502292603,0.047020323735765,1.0,89.0,8.4436852,49.310639699999996
K28D3,43110.0,83.22321428571429,0.17005949404761905,1.0,,0.153342674368182,0.003568838499685,1.0,88.0,8.4434572,49.3110035
K28D4,43110.0,173.49404761904762,0.12529314732142857,1.0,,0.153342674368182,0.022240341854733,1.0,88.0,8.4435216,49.31084080000001
