detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K204D1A,43110.0,147.42857142857142,0.04988592757936508,1.0,,0.236430752785627,0.034801817692684,1.0,44.0,10.783478,52.41730150000001
K204D1B,43110.0,93.72321428571429,0.022606150793650793,1.0,,0.23626704048705896,0.034282941777354,1.0,45.0,10.7835397,52.4172999
K204D2AV,43110.0,86.2797619047619,0.05969994543650793,1.0,,0.06147580525561099,0.033929038383791,1.0,158.0,10.7835934,52.41730150000001
K204D2BV,43110.0,53.57142857142857,0.02591827380952381,1.0,,0.047489680494828,0.033514517478723,1.0,159.0,10.7836309,52.417295
K204D3A,43110.0,257.6875,0.14105446924603174,1.0,,0.119886862239137,0.021380788560843,1.0,38.0,10.784293400000001,52.416778
K204D3B,43110.0,319.25892857142856,0.1465692113095238,1.0,,0.12106312142274601,0.021898625663298,1.0,39.0,10.784288,52.416742
K204D4A,43110.0,173.02083333333334,0.10504537202380952,1.0,,0.6925412537229649,0.023975963970262,1.0,43.0,10.7836443,52.416310100000004
K204D4B,43110.0,68.375,0.02697768849206349,1.0,,0.69152823702917,0.04014412137957999,1.0,42.0,10.7835934,52.4163134
K204D5A,43110.0,307.4375,0.13768660218253967,1.0,,0.10772803324914901,0.023274707333362,1.0,161.0,10.783746300000002,52.4163036
K204D5B,43110.0,240.23809523809524,0.09389545634920636,1.0,,0.122680373887256,0.025041960617655,1.0,160.0,10.783692599999998,52.4163118
K205D1A,43110.0,418.6309523809524,0.08017063492063492,1.0,,0.6969799748836399,0.501809594226751,1.0,40.0,10.783287599999998,52.4152386
K205D1B,43110.0,398.0327380952381,0.06702628968253968,1.0,,0.699572207644234,0.504122859666781,1.0,41.0,10.783349300000001,52.4152402
K205D2A,43110.0,539.5,0.09472916666666667,1.0,,0.6925412537229649,0.21004880138783,1.0,43.0,10.7834378,52.4146431
K205D2B,43110.0,242.3779761904762,0.030926091269841267,1.0,,0.69152823702917,0.209306624413138,1.0,42.0,10.7833734,52.4146513
K210D1A,43110.0,87.69047619047619,0.1684249156746032,1.0,,0.415405855968075,0.007937608437319,1.0,49.0,10.7146445,52.4356524
K210D1B,43110.0,45.955357142857146,0.09998108134920636,1.0,,0.080285507432163,0.006992566499101,1.0,48.0,10.714692800000002,52.4356508
K210D2A,43110.0,52.720238095238095,0.04857535714285714,1.0,,0.08483008312545,0.004150381631619,1.0,53.0,10.7151809,52.4354039
K210D2AV,43110.0,51.538690476190474,0.011879141865079365,1.0,,0.08483008312545,0.034425186428826,1.0,53.0,10.7156235,52.4353744
K216Z1A,43110.0,26.36904761904762,0.003249742063492064,1.0,,0.425836628116337,0.319117416300962,1.0,97.0,10.7640481,52.426666000000004
K216Z2A,43110.0,23.958333333333332,0.003198199404761905,1.0,,0.549741425072382,0.099804416492883,1.0,190.0,10.7633105,52.427298900000004
K216Z2C,43110.0,79.48809523809524,0.012569875992063492,1.0,,0.458732585913356,0.417285675889308,1.0,189.0,10.7632568,52.4272842
K216Z3A,43110.0,89.08928571428571,0.012359905753968253,1.0,,0.651263536427138,0.614986518475176,1.0,96.0,10.7628813,52.4268884
K236Z1,43110.0,64.60416666666667,0.014084985119047619,1.0,,0.236461028988183,0.214681699496718,1.0,100.0,10.7630262,52.4283882
K236Z2,43110.0,13.154761904761905,0.004909627976190476,1.0,,0.21252353957714903,0.209589534512217,1.0,101.0,10.7628894,52.42841760000001
K236Z3,43110.0,45.70238095238095,0.005405902777777778,1.0,,0.314358078269896,0.082945017537468,1.0,191.0,10.7600597,52.4290342
K236Z4,43110.0,69.67857142857143,0.007734290674603175,1.0,,0.458732585913356,0.079793301104639,1.0,189.0,10.7600033,52.4290195
