detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K101D11,43122.83417683835,194.7484370348318,0.17429823708526943,0.0,,0.304630661112642,0.012526953786432,1.0,633.0,8.547688,47.403329
K101D13,43122.83417683835,267.5081869604049,0.11729135687864542,0.0,,0.273385997702263,0.024616580722798997,1.0,634.0,8.547986,47.403874
K101D14,43122.83417683835,213.33730276868116,0.11576560502569813,0.0,,0.277220403443021,0.013855291711749,1.0,632.0,8.54789,47.403066
K103D11,43122.83417683835,259.02947305745755,0.19851113095029474,0.0,,0.517590033438577,0.027457655281551,1.0,642.0,8.551118,47.406737
K103D13,43122.83417683835,77.49925573087228,0.11331762101237572,0.0,,0.36026866428011606,0.015413754808985,1.0,640.0,8.550153,47.407064
K106D11,43122.83417683835,145.323012801429,0.0714251928573891,0.0,,0.126040784443282,0.014357377379362,1.0,770.0,8.550044,47.41028
K106D12,43122.83417683835,264.8883596308425,0.2121529223467401,0.0,,0.121761330584661,0.014235883205005,1.0,769.0,8.550086,47.410272
K106D14,43122.83417683835,89.84221494492408,0.08111028418172075,0.0,,0.073113138095373,0.016018259548541,1.0,771.0,8.550705,47.41064800000001
K106D15,43122.83417683835,179.73206311402203,0.10950332458416195,0.0,,0.173572467442224,0.013126196554879,1.0,776.0,8.550072,47.41090200000001
K106D16,43122.83417683835,103.06638880619232,0.05179153853072343,0.0,,0.622782783909913,0.035135921975811,1.0,772.0,8.550936,47.410618
K107D11,43122.83417683835,176.34415004465615,0.2205380237351593,0.0,,0.113423768953259,0.018945605419415,1.0,779.0,8.551038,47.413791999999994
K107D12,43122.83417683835,101.04197677880322,0.08467219084763322,0.0,,0.11486939974169,0.017729176300885,1.0,780.0,8.551006,47.413811
K107D13,43122.83417683835,101.67907115212861,0.2046171147855314,0.0,,0.039847353295906,0.017408294285194,1.0,781.0,8.550955,47.413828
K107D19,43122.83417683835,183.5367668949092,0.2312141511805299,0.0,,0.141101139560497,0.016561340962056,1.0,1183.0,8.551704,47.414358
K107D20,43122.83417683835,69.20512057159868,0.0625614435574278,0.0,,0.141473430628481,0.016947237558376,1.0,1184.0,8.551708,47.414328000000005
K107D21,43122.83417683835,210.37808871688003,0.23822400841914262,0.0,,0.323343087534598,0.023209198710398,1.0,797.0,8.550216,47.414092
K107D22,43122.83417683835,104.02500744269128,0.11340759499779697,0.0,,0.31926858704269506,0.022035689797857,1.0,796.0,8.550216,47.414117
K109D11,43122.83417683835,20.327478416195298,0.009683106774566835,0.0,,0.336922127981235,0.012630890766629,1.0,677.0,8.556127,47.419458
K109D12,43122.83417683835,146.64483477225366,0.029025172930247096,0.0,,0.086589067332858,0.062851469891057,1.0,680.0,8.555851,47.419611
K109D13,43122.83417683835,147.08544209586185,0.030381231254391187,0.0,,0.085751336431817,0.062245664363627,1.0,681.0,8.555892,47.419591
K109D14,43122.83417683835,208.4013099136648,0.027415401539913665,0.0,,0.127272195101661,0.04274237434077001,1.0,678.0,8.555881,47.419916
K109D15,43122.83417683835,108.03215242631735,0.012602957261369455,0.0,,0.127561069480531,0.042529034655703,1.0,679.0,8.555916,47.419898
K10D11,43122.83417683835,134.3256921702888,0.08144305522530515,0.0,,0.1845971571133555,0.14707461802003702,1.0,131.5,8.582521,48.62631
K10D12,43122.83417683835,281.1312890741292,0.08525487095704079,0.0,,0.253936632553858,0.0199786222821095,1.0,131.5,8.582593999999999,48.62636
K10D13,43122.83417683835,325.7933908901459,0.32316678216972317,0.0,,0.383878615186441,0.20573735039788799,1.0,579.0,8.5823615,48.62628050000001
K10D14,43122.83417683835,322.3578445966061,0.25169164126647814,0.0,,0.334342756644782,0.05387765514453499,1.0,237.0,8.517766,47.370476
K111D11,43122.83417683835,168.94909199166418,0.04514405749665972,0.0,,0.125973093476299,0.029742059259809,1.0,805.0,8.546666,47.41189500000001
K113D11,43122.83417683835,164.24531110449539,0.14600013240952664,0.0,,0.102630303566687,0.013187983644367,1.0,808.0,8.546698,47.411537
K113D12,43122.83417683835,41.19083060434653,0.020367669004099434,0.0,,0.100584823983067,0.012429875722755,1.0,809.0,8.546652,47.411525
K113D15,43122.83417683835,166.79368859779697,0.10086368309577255,0.0,,0.140147367696313,0.007873573098838,1.0,806.0,8.547192,47.411049000000006
K114D11,43122.83417683835,373.0395951175945,0.1691521951297916,0.0,,0.290552894733945,0.244287358742328,1.0,766.0,8.549548,47.408698
K116D11,43122.83417683835,379.32122655552246,0.24120406188904434,0.0,,0.290973091870035,0.02920776435063,1.0,767.0,8.546986,47.409257
K117D11,43122.83417683835,306.8175052098839,0.12303909904233402,0.0,,0.081222042358235,0.028902251644303,1.0,1185.0,8.546391,47.409019
K117D13,43122.83417683835,167.82375707055672,0.1612227517078297,0.0,,0.068556498088388,0.026433077189353,1.0,641.0,8.547115,47.408297
K117D14,43122.83417683835,34.74248288181006,0.03148539588582912,0.0,,0.331179124466512,0.024902607659886,1.0,639.0,8.54708,47.408281
K117D15,43122.83417683835,178.20184578743672,0.20775611143381958,0.0,,0.396404087010105,0.022402233700681,1.0,638.0,8.546104,47.408735
K118D12,43122.83417683835,47.37124144090503,0.037487678311074725,0.0,,0.345157521918078,0.016910730419388,1.0,636.0,8.547944,47.406028
K118D14,43122.83417683835,52.37272997916047,0.0368299097416493,0.0,,0.10234693524672202,0.01889558245001,1.0,635.0,8.548832,47.405851
K119D11,43122.83417683835,205.1027091396249,0.2750812077818696,0.0,,0.09907526821653,0.016323432634856,1.0,687.0,8.553558,47.414476
K119D12,43122.83417683835,47.26406668651384,0.048271972513813634,0.0,,0.099558969408923,0.01635320873136,1.0,688.0,8.553563,47.414442
K119D13,43122.83417683835,190.2113724322715,0.08183520228088716,0.0,,0.173291116427146,0.008707065036952,1.0,800.0,8.552678,47.414292
K119D14,43122.83417683835,30.693658827031854,0.019253084636885975,0.0,,0.174323525284827,0.010456290347903,1.0,801.0,8.552665,47.414321
K119D15,43122.83417683835,41.04197677880322,0.0472776289970527,0.0,,0.032891741160529,0.011196200757061,1.0,803.0,8.553003,47.414693
K119D16,43122.83417683835,18.309020541827923,0.01739423110622209,0.0,,0.283608657781201,0.010475883184417003,1.0,802.0,8.553048,47.414692
K119D19,43122.83417683835,173.10509080083358,0.07946147995421256,0.0,,0.140475870614471,0.088557597348377,1.0,691.0,8.55265,47.41443
K119D20,43122.83417683835,82.26257814825841,0.016343984710619232,0.0,,0.141431691755147,0.089195778736996,1.0,692.0,8.552658,47.414395
K11D11,43122.83417683835,167.08544209586185,0.21679765791917235,0.0,,0.079290756479467,0.001984539883726,1.0,1123.0,8.519425,47.370565
