,long,lat
69093,-0.1085966,51.4625791
64150,-0.1093905,51.4607338
11395,-0.1109771,51.4608831
47783,-0.114826,51.4605612
10962,-0.1148482,51.4609462
1144,-0.1149611,51.46115
2652,-0.11448,51.4614013
37354,-0.1140139,51.4614307
39298,-0.1139074,51.4614436
38347,-0.1350547,51.4600668
5734,-0.1349786,51.4600842
38345,-0.135122,51.4600992
38346,-0.1350013,51.4601059
38344,-0.1352152,51.4601383
38343,-0.1353535,51.4601794
23303,-0.1355764,51.460198
38342,-0.1354932,51.4602938
37712,-0.135612,51.4606427
37711,-0.1356013,51.460736
37710,-0.1357994,51.4608688
37709,-0.1358413,51.460902
37708,-0.1359198,51.4609551
37707,-0.1359803,51.4610029
37706,-0.1360892,51.4610836
15375,-0.1389588,51.4608659
15364,-0.1388668,51.4609131
36697,-0.1387789,51.4609689
15369,-0.1388717,51.4610137
15367,-0.138659,51.4610354
22171,-0.1384717,51.4611307
22170,-0.138402,51.4611666
15365,-0.1383531,51.4612038
38377,-0.1384254,51.4612651
1145,-0.1382297,51.4612829
15371,-0.1382187,51.461383
15370,-0.1380777,51.4613935
15374,-0.1381663,51.4614343
13437,-0.1381414,51.4614431
61307,-0.1392807,51.4614528
15372,-0.138117,51.4614621
36933,-0.1379793,51.4614881
15363,-0.1379367,51.4615374
15368,-0.1379967,51.461547
36928,-0.1379038,51.4615669
38348,-0.1349146,51.4600667
14067,-0.1349267,51.4626965
37732,-0.134559,51.4628981
37730,-0.1345027,51.4629185
37731,-0.1344392,51.462941
37733,-0.1343807,51.4629615
35751,-0.1329797,51.4629946
37734,-0.1342532,51.4630064
37735,-0.134096,51.4630603
37705,-0.1361187,51.4610861
38355,-0.1365036,51.4611035
37704,-0.1361412,51.4611127
38354,-0.1367086,51.4612581
38353,-0.1367647,51.4612927
36932,-0.1378162,51.4616598
36929,-0.1377399,51.4617357
38376,-0.1377069,51.461768
1146,-0.1376414,51.4618322
14059,-0.1371949,51.4620211
36124,-0.0961009,51.4613037
36125,-0.0960231,51.4614206
36123,-0.0967097,51.4620289
73074,-0.0976774,51.4620928
36126,-0.0974715,51.4628043
36127,-0.0976539,51.462811
36122,-0.0965595,51.4635864
3544,-0.0919248,51.4611314
73073,-0.09165,51.4621388
69853,-0.0905128,51.4632114
69852,-0.0904887,51.463571
36102,-0.0929356,51.4644104
36101,-0.0921473,51.4647218
24580,-0.0906739,51.4654991
24572,-0.0906086,51.4655871
24581,-0.0905911,51.4657099
36119,-0.0956621,51.4617943
36120,-0.0948885,51.4626138
36121,-0.0944674,51.4631385
36117,-0.0941026,51.4637134
