,0
0,0.0
1,0.27
2,0.27
3,0.0
4,0.02
5,0.17
6,0.29
7,0.29
8,0.29
9,0.29
10,0.27
11,0.29
12,0.27
13,0.29
14,0.29
15,0.0
16,0.0
17,0.27
18,0.29
19,0.27
20,0.29
21,0.27
22,0.29
23,0.27
24,0.27
25,0.29
26,0.27
27,0.27
28,0.29
29,0.29
30,0.29
31,0.29
32,0.27
33,0.29
34,0.0
35,0.08
36,0.0
37,0.08
38,0.27
39,0.08
40,0.29
41,0.29
42,0.0
43,0.27
44,0.27
45,0.29
46,0.27
47,0.29
48,0.27
49,0.27
50,0.02
51,0.27
52,0.29
53,0.08
54,0.27
55,0.29
56,0.29
57,0.27
58,0.29
59,0.29
60,0.27
61,0.29
62,0.29
63,0.0
64,0.0
65,0.0
66,0.27
67,0.14
68,0.0
69,0.0
70,0.0
71,0.27
72,0.14
73,0.14
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.27
113,0.0
114,0.0
115,0.0
116,0.0
117,0.27
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.27
127,0.29
128,0.29
129,0.0
130,0.14
131,0.29
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.27
139,0.27
140,0.27
141,0.08
142,0.27
143,0.0
144,0.0
145,0.0
146,0.27
147,0.27
148,0.27
149,0.27
150,0.14
151,0.0
152,0.0
153,0.0
154,0.29
155,0.27
156,0.0
157,0.27
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.02
164,0.08
165,0.0
166,0.0
167,0.0
168,0.0
169,0.14
170,0.0
171,0.27
172,0.14
173,0.27
174,0.0
175,0.0
176,0.0
177,0.0
178,0.14
179,0.0
180,0.0
181,0.27
182,0.27
183,0.0
184,0.0
185,0.27
186,0.0
187,0.27
188,0.0
189,0.0
190,0.0
191,0.0
192,0.14
193,0.14
194,0.14
195,0.27
196,0.14
197,0.0
198,0.17
199,0.0
200,0.0
201,0.0
202,0.14
203,0.29
204,0.27
205,0.27
206,0.17
207,0.27
208,0.27
209,0.27
210,0.29
211,0.27
212,0.0
213,0.0
214,0.27
215,0.29
216,0.27
217,0.29
218,0.29
219,0.08
220,0.29
221,0.27
222,0.29
223,0.29
224,0.0
225,0.29
226,0.27
227,0.29
228,0.27
229,0.29
230,0.29
231,0.29
232,0.29
233,0.29
234,0.29
235,0.27
236,0.29
237,0.27
238,0.29
239,0.29
240,0.27
241,0.27
242,0.27
243,0.08
244,0.27
245,0.29
246,0.29
247,0.29
248,0.17
249,0.0
250,0.0
251,0.0
252,0.29
253,0.29
254,0.27
255,0.17
256,0.0
257,0.14
258,0.29
259,0.27
260,0.27
261,0.27
262,0.0
263,0.0
264,0.02
265,0.02
266,0.27
267,0.14
268,0.0
269,0.0
270,0.29
271,0.27
272,0.14
273,0.14
274,0.0
275,0.0
276,0.14
277,0.14
278,0.29
279,0.29
280,0.29
281,0.27
282,0.08
283,0.0
284,0.0
285,0.27
286,0.14
287,0.08
288,0.29
289,0.0
290,0.0
291,0.02
292,0.27
293,0.27
294,0.0
295,0.27
296,0.02
297,0.27
298,0.14
299,0.27
300,0.27
301,0.27
302,0.27
303,0.27
304,0.02
305,0.29
306,0.27
307,0.29
308,0.27
309,0.27
310,0.29
311,0.27
312,0.27
313,0.29
314,0.27
315,0.27
316,0.29
317,0.27
318,0.27
319,0.29
320,0.08
321,0.08
322,0.08
323,0.08
324,0.27
