ID,Traffico,no_existing_chg,mixed_use_area_per_cell,centroid_x,centroid_y,Colore
0,0,0,nan,382500,393500,lightcyan
1,0,0,nan,382629.9038105677,393723,lightcyan
2,0,0,0.0,382500.0,393946,lightcyan
3,0,0,nan,382629.9038105677,394169,lightcyan
4,0,0,0.0,382500.0,394392,lightcyan
5,0,0,nan,382629.9038105677,394615,lightcyan
6,0,0,9020.331,382500.0,394838,lightcyan
7,104,0,nan,382629.9038105677,395061,lightskyblue
8,0,0,54467.032999999996,382500.0,395284,lightcyan
9,0,0,nan,382629.9038105677,395507,lightcyan
10,0,0,nan,382500.0,395730,lightcyan
11,0,0,nan,382629.9038105677,395953,lightcyan
12,0,0,nan,382500.0,396176,lightcyan
13,0,0,nan,382629.9038105677,396399,lightcyan
14,0,0,nan,382500.0,396622,lightcyan
15,0,0,nan,382629.9038105677,396845,lightcyan
16,26668,0,nan,382500.0,397068,deepskyblue
17,0,0,nan,382629.9038105677,397291,lightcyan
18,0,0,nan,382500.0,397514,lightcyan
19,31411,0,nan,382629.9038105677,397737,deepskyblue
20,0,0,1139.556,382500.0,397960,lightcyan
21,0,0,nan,382629.9038105677,398183,lightcyan
22,0,0,14973.168,382500.0,398406,lightcyan
23,0,0,nan,382629.9038105677,398629,lightcyan
24,0,0,0.0,382500.0,398852,lightcyan
25,0,0,nan,382629.9038105677,399075,lightcyan
26,0,0,0.0,382500.0,399298,lightcyan
27,0,0,nan,382629.9038105677,399521,lightcyan
28,0,0,nan,382500.0,399744,lightcyan
29,0,0,nan,382629.9038105677,399967,lightcyan
30,0,0,nan,382500.0,400190,lightcyan
31,0,0,nan,382629.9038105677,400413,lightcyan
32,0,0,nan,382500.0,400636,lightcyan
33,0,0,nan,382629.9038105677,400859,lightcyan
34,0,0,nan,382759,393500,lightcyan
35,0,0,nan,382888.9038105677,393723,lightcyan
36,0,0,nan,382759.0,393946,lightcyan
37,0,0,nan,382888.9038105677,394169,lightcyan
38,0,0,nan,382759.0,394392,lightcyan
39,0,0,nan,382888.9038105677,394615,lightcyan
40,0,0,nan,382759.0,394838,lightcyan
41,0,0,nan,382888.9038105677,395061,lightcyan
42,0,0,nan,382759.0,395284,lightcyan
43,0,0,2703.282,382888.9038105677,395507,lightcyan
44,0,0,nan,382759.0,395730,lightcyan
