,name,latitude,longitude
0,Manchester Central (GMEX) ,53.475384999999996,-2.247578
1,Manchester Central (GMEX) ,53.475384999999996,-2.247578
6,MMU - Cambridge Quad,53.469243000000006,-2.240341
7,Church Street - NCP Car Park ,53.483399,-2.235825
8,Church Street - NCP Car Park ,53.483399,-2.235825
9,Church Street - NCP Car Park ,53.483399,-2.235825
10,Great Northern City - NCP Car Park ,53.4769,-2.2496509999999996
11,Great Northern City - NCP Car Park ,53.4769,-2.2496509999999996
12,Great Northern City - NCP Car Park ,53.4769,-2.2496509999999996
13,The Grand - NCP Car Park ,53.479735999999995,-2.2341029999999997
14,The Grand - NCP Car Park ,53.479735999999995,-2.2341029999999997
15,The Grand - NCP Car Park ,53.479735999999995,-2.2341029999999997
16,Manchester Metropolitan University - Science Building (Entryway),53.471408999999994,-2.240173
17,NHS - University Hospitals Foundation Trust,53.459386,-2.221593
19,Store Street (City Centre),53.479179,-2.228218
20,Hulme Street (City Centre),53.471863,-2.2445209999999998
23,Egerton Road,53.439902000000004,-2.218197
24,Phoenix Way,53.46417099999999,-2.2483459999999997
25,Ardwick Sports Hall,53.464504000000005,-2.212614
27,Wenlock Way,53.468853,-2.198175
28,Waterloo Street (City Centre),53.476579,-2.239554
29,70 Port Street,53.482257999999995,-2.231132
30,34 Laystall Street,53.481141,-2.227947
31,Travis Street,53.475928,-2.228712
33,Cleminson Street Car Park,53.484648,-2.2580150000000003
36,Broughton Hub,53.50484300000001,-2.2587099999999998
38,Quay Street,53.483388,-2.252597
39,Quay Street,53.483388,-2.252597
40,Crescent House (lay-by) A6 Crescent,53.483265,-2.26958
55,Booth Street West MSCP (Ground Floor),53.467362,-2.236971
56,John Dalton Car Park (All Saints Campus),53.474251,-2.244031
59,Blackfriars Road,53.487444999999994,-2.252847
60,Blackfriars Street,53.482946,-2.255382
61,Abraham Moss Leisure Centre,53.504557,-2.236365
62,Etihad Stadium,53.484593000000004,-2.2026939999999997
63,Etihad Stadium,53.484593000000004,-2.2026939999999997
64,Etihad Campus - Cycling Centre (Velodrome),53.486391000000005,-2.1968400000000003
67,Manchester Tariff street 01,53.48155799999999,-2.230435
68,Manchester Tariff street 02,53.481559999999995,-2.23044
69,Manchester Tariff street 03,53.48155799999999,-2.230435
70,Manchester Tariff street 04,53.48155799999999,-2.230435
77,LIME SQUARE 1,53.473587,-2.166863
78,LIME SQUARE 2,53.473606999999994,-2.166848
79,Shell Oldham Road,53.497788,-2.205314
80,MAULDETH 1,53.4398,-2.2513900000000002
81,MAULDETH 2,53.439797999999996,-2.2513549999999998
89,Jet Oldfiled Road,53.477996,-2.26836
92,GORTON 1,53.462514,-2.179007
93,GORTON 2,53.46255,-2.178995
103,Newbury Place Health Centre,53.507153,-2.26085
104,Newbury Place Health Centre,53.507088,-2.260855
106,Store Street,53.480091,-2.22589
107,Manchester Metropolitan University ,53.471424,-2.240198
108,34 Laystall Street,53.481044999999995,-2.228439
109,Angel Gardens,53.4869,-2.2361009999999997
110,Angel Gardens,53.486858,-2.2359880000000003
115,Platt Lane Sports Complex,53.448051,-2.229073
116,John Dalton Building,53.471802000000004,-2.241207
118,Sportcity,53.486675,-2.201869
119,Grafton Street Car Park,53.463058,-2.2288
120,Grafton Street Car Park,53.463161,-2.2288
121,Manchester Metropolitan University,53.469131000000004,-2.24018
122,Manchester Metropolitan University,53.471401,-2.24022
123,Birley Fields Campus,53.46711,-2.246773
124,Birley Fields Campus,53.46711,-2.246763
125,Birley Fields Campus,53.46711,-2.246763
126,Birley Fields Campus,53.46711,-2.246763
127,Birley Fields Campus,53.46711,-2.246763
128,Birley Fields Campus,53.46711,-2.246763
129,Birley Fields Campus,53.46711,-2.246763
130,Birley Fields Campus,53.46711,-2.246763
131,Ormand Quad,53.469688,-2.23968
132,Church Street Car Park- Level 3,53.483398,-2.2362
133,Church Street Car Park- Level 3,53.483215,-2.235985
134,Church Street Car Park- Level 3,53.483398,-2.236
135,Church Street Car Park- Level 3,53.48328000000001,-2.235882
136,Church Street Car Park- Level 3,53.483501000000004,-2.236194
137,Church Street Car Park- Level 3,53.483458999999996,-2.2359259999999996
138,Great Northern Car Park,53.476677,-2.2492229999999998
139,Great Northern Car Park,53.476677,-2.249323
140,Great Northern Car Park,53.476677,-2.2490229999999998
141,Great Northern Car Park,53.476677,-2.249123
142,The Grand Car Park,53.48025500000001,-2.234355
143,The Grand Car Park,53.48025500000001,-2.234255
155,Abraham Moss,53.511722999999996,-2.236437
158,Ardwick Sports Hall,53.46442,-2.212552
159,Ardwick Sports Hall,53.46442,-2.212652
162,Birley Fields Campus,53.46711,-2.246763
163,Birley Fields Campus,53.46711,-2.246763
164,Birley Fields Campus,53.46711,-2.246763
165,Birley Fields Campus,53.46711,-2.246763
166,Birley Fields Campus,53.46711,-2.246763
167,Birley Fields Campus,53.46711,-2.246763
168,Birley Fields Campus,53.46711,-2.246763
169,Birley Fields Campus,53.46711,-2.246763
170,Blackfriars Road,53.486408,-2.252591
171,Blackfriars Street,53.484145999999996,-2.24823
172,Blackfriars Street,53.484145999999996,-2.2483299999999997
173,Broughton Hub,53.507034,-2.2597490000000002
174,Broughton Hub,53.507034,-2.259849
175,Cambridge Quad,53.46945600000001,-2.240338
176,Cambridge Quad,53.46925400000001,-2.240338
177,Central Lower Car Park,53.476055,-2.2468220000000003
178,Central Lower Car Park,53.476055,-2.246722
179,Central Lower Car Park,53.476055,-2.246922
180,Central Lower Car Park,53.476055,-2.246622
181,Cleminson Street Car Park,53.484539,-2.25831
182,Cleminson Street Car Park,53.484539,-2.25831
191,Egerton Road,53.439903,-2.218198
192,Egerton Road,53.439903,-2.218298
193,Etihad Velodrome Cycling Arena,53.485817000000004,-2.192296
194,Etihad Velodrome Cycling Arena,53.485817000000004,-2.192396
196,Great Northern Car Park,53.476677,-2.2490229999999998
197,Great Northern Car Park,53.476677,-2.2490229999999998
202,Hulme Street,53.471821,-2.24458
203,Hulme Street,53.47192,-2.24458
204,Laystall Street,53.480961,-2.2288490000000003
