,longitude,latitude
13231,-2.250391,53.44336
4484,-2.2488625,53.4495105
9179,-2.2515656,53.4431827
13234,-2.257125,53.443742
9214,-2.2519916,53.4474075
7049,-2.2661218,53.4396048
8190,-2.2664284,53.4397117
8191,-2.2663473,53.4397193
7048,-2.266669,53.4397982
13772,-2.2666585,53.4397993
7050,-2.2668199,53.4398174
8189,-2.2666463,53.4398207
151,-2.2666783,53.4398364
11325,-2.2667017,53.4398567
8901,-2.2698972,53.442803
13221,-2.268034,53.442835
1753,-2.2659823,53.4428446
1754,-2.2674646,53.4430051
5451,-2.2698707,53.4477128
7586,-2.2693489,53.4477211
7585,-2.2690226,53.4477301
5450,-2.2691009,53.4477327
5449,-2.2689426,53.4477343
5447,-2.268783,53.4477343
5448,-2.2688648,53.4477359
5446,-2.2686248,53.4477391
5460,-2.2643221,53.4478084
5459,-2.2642416,53.4478104
5461,-2.2640834,53.4478108
5445,-2.2687354,53.4478815
8010,-2.2686419,53.4478875
5427,-2.267075,53.4478936
8014,-2.2642887,53.4479554
5426,-2.2670415,53.4479631
5444,-2.2696742,53.4481019
5443,-2.2696795,53.4481419
5442,-2.2696822,53.4481826
5441,-2.2696849,53.4482663
5440,-2.2697473,53.4492544
4315,-2.2642556,53.449891
8016,-2.2675315,53.4501202
6311,-2.2697552,53.4515374
2414,-2.2697115,53.4515643
6312,-2.2695491,53.4516646
1768,-2.2695036,53.4516927
228,-2.2694484,53.4517267
5431,-2.2573081,53.448075
13080,-2.257737,53.449285
8009,-2.2575711,53.4496015
4510,-2.2532677,53.4502093
4506,-2.251666,53.45089
4505,-2.25196,53.451154
8008,-2.2574665,53.4517363
4487,-2.2578363,53.4519174
4489,-2.2578337,53.4519631
4508,-2.257831,53.4520089
4490,-2.2578283,53.4520546
4486,-2.2578256,53.4521004
4503,-2.2570812,53.4522386
4504,-2.2523403,53.4522741
4498,-2.251867,53.452284
4491,-2.2571169,53.4523923
4494,-2.2570968,53.452462
4496,-2.2576277,53.4527904
4497,-2.2576224,53.4528423
4509,-2.257617,53.4528943
2416,-2.2693606,53.451781
8006,-2.2611961,53.451904
8015,-2.2654313,53.4525173
6618,-2.2676639,53.452696
6310,-2.2676982,53.4527915
8012,-2.2677594,53.452836
8007,-2.2594795,53.4529965
2150,-2.2672067,53.4532045
8013,-2.2642243,53.4532772
13251,-2.258059,53.454281
4492,-2.257236,53.452918
5517,-2.2576144,53.452943
5518,-2.2576144,53.452943
4502,-2.2571819,53.4529987
4495,-2.2571792,53.4531041
4777,-2.257747,53.453212
4774,-2.2576581,53.453256
4776,-2.2576782,53.453304
4775,-2.2577202,53.4534157
4501,-2.257271,53.453483
4513,-2.257782,53.4535316
4500,-2.2572945,53.4535345
4493,-2.2571885,53.4536282
4507,-2.2577995,53.4536467
4488,-2.2577887,53.4536999
4481,-2.2578605,53.453767
4499,-2.257442,53.453775
13243,-2.252603,53.454947
5516,-2.2575606,53.4561658
7643,-2.253414,53.4566713
8822,-2.2487613,53.4496797
4483,-2.2499891,53.4501718
6494,-2.2476158,53.4512746
4749,-2.247896,53.451936
4485,-2.2478019,53.4526876
4750,-2.247033,53.453185
7748,-2.2469265,53.4602506
2356,-2.247357,53.4605221
7723,-2.2485052,53.4605243
7722,-2.2484998,53.4605729
7577,-2.2625113,53.4544517
8005,-2.2586346,53.456662
1973,-2.2628945,53.4567933
13096,-2.258649,53.456814
7967,-2.2651716,53.4574039
7898,-2.2609019,53.4574406
7956,-2.2656264,53.4582294
7966,-2.2681866,53.4584009
7965,-2.2680058,53.4584272
7960,-2.2673385,53.4584471
7964,-2.2679091,53.4584474
7963,-2.2678478,53.4584566
7962,-2.267774,53.4584687
7961,-2.2677077,53.4584786
7959,-2.2673163,53.4585329
2016,-2.2682329,53.4585945
7958,-2.2666668,53.4586605
7897,-2.2587932,53.4587773
7896,-2.2587565,53.4587988
2014,-2.2665899,53.4588304
13178,-2.258545,53.458883
2010,-2.2666088,53.4588841
7538,-2.2664596,53.4589106
7947,-2.2643017,53.4589197
7894,-2.258471,53.4589361
7942,-2.2640377,53.4589611
7948,-2.2643218,53.4589704
7953,-2.2647813,53.4589809
7952,-2.2646672,53.4590001
7951,-2.264589,53.459016
7950,-2.2645226,53.4590302
7949,-2.2644453,53.4590415
150,-2.2581302,53.4590679
7535,-2.2683266,53.4590756
7895,-2.2584612,53.4590817
7901,-2.2631499,53.4591283
7941,-2.2638552,53.4591479
7940,-2.2637027,53.4591745
7939,-2.2636232,53.4591868
7900,-2.2632084,53.4592469
7899,-2.2629668,53.4593112
2013,-2.2682046,53.459397
831,-2.267697,53.4597293
2008,-2.2608295,53.4598605
2009,-2.2627161,53.4601133
7546,-2.2625156,53.4603016
7548,-2.2614989,53.4603499
7547,-2.2626184,53.4603655
7549,-2.2615446,53.4603792
13177,-2.263375,53.460644
7721,-2.2484936,53.4606756
7720,-2.2484898,53.4607325
7747,-2.2478904,53.4607545
7719,-2.2484832,53.4608527
7718,-2.2484814,53.460944
7750,-2.2481038,53.4612618
7717,-2.2484511,53.4612619
4990,-2.248098,53.461323
7751,-2.2478634,53.4614353
7752,-2.2480934,53.4614828
7550,-2.2620152,53.4606576
7551,-2.2621712,53.4607541
7552,-2.2622846,53.4608167
2011,-2.264346,53.4613674
429,-2.2579891,53.4613687
13115,-2.265129,53.461496
13203,-2.25816,53.46151
7576,-2.2618246,53.4615355
2012,-2.2586633,53.461541
2057,-2.2579859,53.4616104
2026,-2.2637401,53.4617619
2028,-2.2638036,53.4617969
2024,-2.2620179,53.4618875
7578,-2.2582794,53.4619211
7579,-2.2582789,53.4619725
2027,-2.2625835,53.4621514
2025,-2.2624753,53.4623517
2021,-2.2698326,53.4625561
2019,-2.268859,53.4628438
13113,-2.268418,53.462933
7888,-2.2577965,53.4590417
7889,-2.2577279,53.4590685
7892,-2.257438,53.4591692
7893,-2.2572166,53.4592397
2058,-2.2558564,53.4599073
2059,-2.253568,53.4600035
13232,-2.250735,53.460325
7716,-2.2511115,53.4608992
13094,-2.257952,53.465522
7609,-2.2530776,53.4665157
7714,-2.2484457,53.4614924
7753,-2.2480921,53.4615536
7713,-2.2484345,53.4616145
7712,-2.2484191,53.4618472
7754,-2.248123,53.4619451
7711,-2.2483995,53.4621036
7755,-2.2480996,53.462328
7756,-2.2480876,53.4625756
7757,-2.2480516,53.4626421
13239,-2.248694,53.46414
13200,-2.266374,53.463306
2018,-2.2684605,53.4633518
7580,-2.2582756,53.4634577
2023,-2.2683122,53.4635959
2049,-2.2680826,53.4638901
4475,-2.2671845,53.4640757
7521,-2.2670724,53.4640945
2015,-2.2625453,53.4641432
4474,-2.2667066,53.4641651
13138,-2.265552,53.464289
7522,-2.2685347,53.4649286
2017,-2.2593345,53.4653106
13169,-2.260495,53.465319
7588,-2.2584529,53.4654758
5657,-2.2595162,53.4654826
5656,-2.259422,53.4655013
13201,-2.2657423,53.4658422
2047,-2.2658609,53.4658523
2062,-2.2649559,53.4661851
2060,-2.2646922,53.4664166
2559,-2.2483759,53.4653572
7649,-2.248474,53.4656431
2550,-2.2503128,53.4670377
13101,-2.25018,53.467099
7620,-2.2498985,53.4671143
7512,-2.2491686,53.4674375
5681,-2.2490011,53.4674683
189,-2.2491538,53.4674709
2553,-2.2488627,53.4674773
7513,-2.2490958,53.4674836
2061,-2.2645773,53.4664229
2063,-2.2648701,53.466576
2056,-2.2648639,53.4667667
7519,-2.2606839,53.4669116
13111,-2.258054,53.467813
11229,-2.265788,53.4698086
5745,-2.2630228,53.4703276
5744,-2.2631596,53.4704457
10069,-2.2668864,53.4716326
10070,-2.2669377,53.4716494
6250,-2.2523819,53.4666378
7610,-2.2520859,53.4666893
7619,-2.2515655,53.4668199
2170,-2.2528313,53.4676933
2169,-2.2524869,53.4678787
2167,-2.2519988,53.4681147
2168,-2.2522616,53.4681178
13186,-2.251143,53.468393
2005,-2.256285,53.4732076
2004,-2.255609,53.4732714
7514,-2.2490734,53.4674885
2551,-2.2490545,53.4674909
2554,-2.2489772,53.4675047
2552,-2.2488858,53.4675223
5680,-2.2488122,53.4675501
2549,-2.248605,53.4675745
7511,-2.2496456,53.4677244
13179,-2.249945,53.471487
440,-2.2486153,53.472949
5135,-2.2470939,53.473111
10068,-2.2668391,53.471651
10071,-2.2669508,53.4716749
13189,-2.263913,53.471862
2761,-2.2611074,53.4720642
2760,-2.2605817,53.4722334
11872,-2.2646655,53.4723
2759,-2.260528,53.4723388
11873,-2.2654544,53.4729597
11874,-2.2657357,53.473026
8933,-2.2686426,53.4732315
13233,-2.248502,53.47316
5138,-2.2477613,53.4733094
7821,-2.2469348,53.4733728
4452,-2.2480273,53.4733953
4451,-2.2468968,53.4734716
5069,-2.2484329,53.4737852
5153,-2.2488199,53.4739529
13223,-2.24718,53.474141
4340,-2.2504946,53.4742381
1759,-2.2489746,53.4745927
13168,-2.251766,53.47355
435,-2.2578051,53.4738401
2763,-2.251454,53.4742305
1978,-2.2556096,53.4742566
2758,-2.2551474,53.4742822
3786,-2.2518693,53.4742896
4428,-2.2514584,53.4742925
4427,-2.2516411,53.4743493
