detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K001.D1.1,42847.63313609467,61.42603550295858,0.11684220910748126,1.0,,0.052318970955696,0.001425638505317,1.0,61.0,7.4270506,46.9448416
K001.D1.2,42864.62752836705,44.53083374444993,0.015523433707627035,1.0,,0.052318970955696,0.020807377266978,1.0,61.0,7.4270348,46.9450154
K001.D19.1,42898.07407407407,89.53481481481481,0.1577313581197511,1.0,,0.129184962890088,0.008859375166203,1.0,65.0,7.42724642857143,46.9444255714286
K001.D2.1,42880.898321816385,29.129318854886474,0.09458835141605429,1.0,,0.052318970955696,0.001144464059688,1.0,61.0,7.427094,46.9448414
K001.D2.2,42964.126669965364,23.459673428995547,0.0070004948423394355,1.0,,0.081238321052108,0.021559583824093,1.0,60.0,7.4270802,46.945016
K001.D4.1,42898.07407407407,103.98795061728396,0.23992691347469924,1.0,,0.129184962890088,0.003132081880962,1.0,65.0,7.4272444,46.944477
K001.D4.2,42898.07407407407,96.64592592592592,0.07761283945607507,1.0,,0.129184962890088,0.027989029819042,1.0,65.0,7.4272634,46.944254
K001.D4.3,42881.638696939786,76.61994076999012,0.03434550840395558,1.0,,0.129184962890088,0.065895715824181,1.0,65.0,7.427279,46.9439128
K001.D6.1,42847.63313609467,111.43786982248521,0.2468471401784408,1.0,,0.070661400645519,0.003194864148792,1.0,64.0,7.426901,46.9446328
K001.D6.2,42847.63313609467,104.65680473372781,0.058516765153522686,1.0,,0.070661400645519,0.031448820996015,1.0,64.0,7.4265292,46.9446308
K001.D6.3,42847.63313609467,106.51479289940828,0.02397337278824852,1.0,,0.070661400645519,0.067778598896757,1.0,64.0,7.426053,46.9446314
K001.D6.4,42847.63313609467,133.90532544378698,0.24862031546963215,1.0,,0.243027421269773,0.00341885209142,1.0,63.0,7.426901,46.9446594
K001.D6.5,42847.63313609467,132.92899408284023,0.08324457599711538,1.0,,0.243027421269773,0.031719514319681,1.0,63.0,7.4265286,46.9446584
K001.D6.6,42847.63313609467,195.93491124260356,0.04070118345946153,1.0,,0.243027421269773,0.067804683527906,1.0,63.0,7.426053799999999,46.9446558
K001.D7.2,42948.07121661721,19.513353115727003,0.07283481713103561,1.0,,0.070120499773049,0.004438548880419,1.0,62.0,7.4268586,46.9446886
K001.D7.3,42948.07121661721,18.089020771513354,0.0035756676863560833,1.0,,0.070120499773049,0.029776207888526,1.0,62.0,7.4265252,46.9446872
K001.D7.4,42965.31420089065,16.70856011875309,0.003124195963509154,1.0,,0.070120499773049,0.06571360780542,1.0,62.0,7.426054,46.9446828
K002.D5.3,42864.18352244697,177.27094227923038,0.0509048018004075,1.0,,0.100196680275111,0.035239248802195,1.0,118.0,7.429603,46.9451506666667
K002.D6.1,42967.09549727858,11.09747649678377,0.06361801091455319,1.0,,0.130929701036496,0.00388280972153,1.0,67.0,7.4299342,46.944497
K002.D6.2,42967.09549727858,10.497773379515092,0.0035675408401810984,1.0,,0.130929701036496,0.028254519892138,1.0,67.0,7.4299868,46.944276
K002.D7.3,42898.37037037037,47.47259259259259,0.010808888911280987,1.0,,0.132052131259665,0.031446868439788,1.0,66.0,7.4299456,46.9442498
K002.SD7,42847.63313609467,110.31360946745562,0.029217948702494084,1.0,,0.101733252980442,0.060424916075155,1.0,522.0,7.4296978,46.9451018
K003.D10.1,43050.0,1.4642857142857142,0.005496031746031746,1.0,,0.169515742470502,0.012145729727331,1.0,88.0,7.4326706,46.9445424
K003.D12.1,42881.638696939786,64.32951628825272,0.05238203356367226,1.0,,0.052131721723111,0.004477049900438,1.0,73.0,7.4322666,46.9443072
K003.D13.1,42847.63313609467,229.1656804733728,0.09896449704142012,1.0,,0.118289609518537,0.003441237327828,1.0,70.0,7.4313192,46.9444742
K003.D14.1,42847.63313609467,130.8966469428008,0.031131163708086784,1.0,,0.120288645163696,0.004174258963997,1.0,69.0,7.43133033333333,46.9445083333333
K003.D2.2,42847.63313609467,144.80473372781066,0.36531163708086783,1.0,,0.068410235390298,0.010918196288746,1.0,72.0,7.432185,46.9443568
