detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
Az019_z1,43110.0,335.76190476190476,0.068765625,0.0,,0.195562984136062,0.036838276466814,1.0,418.0,8.8014261,53.0792009
Az019_z2,43110.0,261.55059523809524,0.04151116071428571,0.07142857142857142,,0.358525786031135,0.034694255055412,1.0,1744.0,8.8657509,53.0699595
Az019_z3,43110.0,214.81845238095238,0.04008333333333333,0.0,,0.577901756234171,0.027246948053024998,1.0,1628.0,8.8848723,53.0827897
Az019_z4,43110.0,262.4136904761905,0.036492559523809524,0.07142857142857142,,0.577189361534109,0.027163609378048,1.0,1629.0,8.8848737,53.08275830000001
Az019_z5,43110.0,195.2827380952381,0.029095238095238098,0.14330357142857142,,0.02854877029567,0.021019787417793,1.0,422.0,8.8037677,53.0797801
Az020_z1,43110.0,438.44940476190476,0.06431175595238095,0.0,,0.494424324408882,0.037138226193251,1.0,1301.0,8.8371049,53.0997875
Az020_z2,43110.0,226.28869047619048,0.02734375,0.0,,0.495482814966652,0.038120001778015,1.0,1300.0,8.8371626,53.099777
Az020_z3,43110.0,232.08333333333334,0.026751488095238096,0.0,,0.293361750224168,0.034928385573371,1.0,1442.0,8.8401398,53.1041218
Az022_a,43110.0,243.23214285714286,0.07043640621540179,0.001636904761904762,,0.471647518538128,0.017515846136966,1.0,1057.0,8.8176508,53.0836887
Az026_b2,43110.0,70.6875,0.04195177083392857,0.9285714285714286,,0.567609170782475,0.025528717078439,1.0,8.0,8.8181537,53.06979110000001
Az026_c3,43110.0,78.47321428571429,0.059471153285491074,0.9285714285714286,,0.278407765938296,0.040902365147407,1.0,146.0,8.8046797,53.0273751
Az026_d,43110.0,186.22619047619048,0.06081189735647321,0.0005952380952380953,,0.333925856829106,0.04191601753635299,1.0,147.0,8.8046555,53.0273452
Az026_e2,43110.0,50.49107142857143,0.013001636906622024,0.8574404761904761,,0.150782055070373,0.03984972052111399,1.0,148.0,8.8046341,53.0273122
Az030_z14,43110.0,197.32738095238096,0.0317672172546875,0.0004464285714285714,,0.064745705473034,0.042904239722396,1.0,1127.0,8.8237689,53.068945
Az030_z15,43110.0,194.48511904761904,0.030726778275297618,0.0010416666666666667,,0.396429190723485,0.043634260539553,1.0,1128.0,8.823777,53.068919199999996
