detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
K102D2,43006.050685782015,408.1706835242987,0.07015521815205733,1.0,,0.411435154340053,0.170271630170104,1.0,182.0,8.649467,49.868915
K104D1,44022.43855729333,50.67347590169167,0.17092563038621134,1.0,,0.062864695509268,0.027837623708277,1.0,248.0,8.6410358,49.8731261
K104D2,44022.43855729333,32.19597829556336,0.16296201723587617,1.0,,0.061180923629755996,0.027695876600911,1.0,249.0,8.641082,49.873126
K104D3,44022.43855729333,0.0,0.0,1.0,,0.17569740400862,0.143548519893243,1.0,183.0,8.641844,49.872846
K104D4,44022.43855729333,0.0,0.0,1.0,,0.176767500173692,0.143781271687452,1.0,184.0,8.641854,49.8728218
K104D5,44022.43855729333,48.01468241302266,0.03714650494733482,1.0,,0.100454565563171,0.079634428741043,1.0,185.0,8.6413951,49.8724176
K104D6,44022.43855729333,45.547398659431856,0.17867060325566553,1.0,,0.097466364655763,0.079712748370654,1.0,186.0,8.6413484,49.872413
K104V21,44022.43855729333,44.490903287583784,0.06948079582934355,1.0,,0.062864695509268,0.025863616260678,1.0,248.0,8.6410425,49.8731079
K104V211,44022.43855729333,38.52537503989786,0.2569799978721141,1.0,,0.140886588783508,0.120167078355527,1.0,187.0,8.641192,49.873605000000005
K104V212,44022.43855729333,27.40185126077242,0.2137908288115757,1.0,,0.142141114788582,0.11856608349970402,1.0,188.0,8.641249,49.873617
K104V22,44022.43855729333,39.3297159272263,0.22277050750079797,1.0,,0.061180923629755996,0.026362270431913002,1.0,249.0,8.64109,49.873114
K10D11,44002.50956632653,83.49489795918367,0.11454187925170067,1.0,,0.18459715711335553,0.14707461802003702,1.0,131.5,8.582521,48.626310000000004
K10D12,44002.50956632653,68.85841836734694,0.08059470663265306,1.0,,0.25393663255385795,0.0199786222821095,1.0,131.5,8.582594,48.62636
K10D13,44002.50956632653,50.829081632653065,0.051107568027210885,1.0,,0.38387861518644106,0.20573735039788799,1.0,579.0,8.5823615,48.6262805
K10D31,44002.50956632653,65.19132653061224,0.04835512329931972,1.0,,0.4262909103579481,0.392701602778046,1.0,34.0,8.645556,49.881413
K10D32,44002.50956632653,93.38329081632654,0.06852359693877551,1.0,,0.427794073867345,0.033969437043334,1.0,35.0,8.64552,49.881428
K10D33,44002.50956632653,81.44451530612245,0.19027157738095235,1.0,,0.23271628017894597,0.025088836613042,1.0,264.0,8.645542,49.88150999999999
K11D81,44002.50956632653,68.24617346938776,0.03479644982993197,1.0,,0.16580189858011699,0.14207246847174,1.0,38.0,8.643677,49.877766
K11D82,44002.50956632653,94.55357142857143,0.05223214285714285,1.0,,0.165424095105593,0.02381966825308,1.0,39.0,8.643639,49.87777
K11V21,44002.50956632653,55.797193877551024,0.3156898384353741,1.0,,0.4206630051242549,0.39478595362230595,1.0,36.0,8.643671,49.878508
K11V22,44002.50956632653,58.246173469387756,0.28677880527210886,1.0,,0.418911644306135,0.026247906377033,1.0,37.0,8.64371,49.878511
K11V83,44002.50956632653,77.05676020408163,0.17961203231292516,1.0,,0.16580189858011699,0.138274992025037,1.0,38.0,8.643672,49.877731999999995
K11V84,44002.50956632653,76.96428571428571,0.22128932823129252,1.0,,0.165424095105593,0.027546753499755,1.0,39.0,8.64363,49.877737
K11V92,44002.50956632653,47.33737244897959,0.1776658163265306,1.0,,0.078043244382319,0.032709989118416,1.0,263.0,8.643591,49.877739
