detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
esss037n,43219.43005181347,171.6923677936097,0.006600969255463637,0.0023439427584505306,49.490390418311534,0.392348392754351,0.378357280671117,1.0,26.0,7.0170692,51.4716852
esss037s,43216.064157927205,263.703177051388,0.01844871082005025,0.0034546576187538557,41.41310486829118,0.145155071873586,0.126750133599844,1.0,25.0,7.0174152,51.4711172
esss038o,43201.29374075899,284.046800558896,0.027337528792365912,0.003942828979793002,51.52686052242484,0.52082130406342,0.167453171198902,1.0,37.0,7.0062599,51.4829163
esss038w,43192.35033259424,267.25396238808815,0.02977999835512789,0.004188223700418822,93.5209411185021,0.521194548371616,0.344559636062558,1.0,36.0,7.0062894,51.4829798
esss050n,43197.853971386285,155.85446472619634,0.005951167531504819,0.003453379378391712,51.477161543043906,0.217049967433416,0.194474926962937,1.0,20.0,6.9821146,51.4640492
esss050s,43196.92592592593,148.63114197512348,0.0072326393179290745,0.0024691358024691358,68.09001775864196,0.362797734398895,0.31914041765512,1.0,21.0,6.9817981,51.463614799999995
esss051n,43208.53343184337,134.6865123342815,0.013225428536194352,0.003447851249846078,45.7547715798547,0.213337636429666,0.200106699207643,1.0,22.0,6.9830856,51.4523154
esss051s,43224.33032958894,94.49877587125046,0.0038966316440049442,0.0027157141093692135,44.52164195685718,0.239900175441511,0.211331239427387,1.0,23.0,6.9811222,51.4534453
esss052n,43212.62028127313,326.32963237114484,0.012752437970620912,0.0017271157167530224,62.916054390163666,0.85716543129868,0.693453251745992,1.0,16.0,6.9991654,51.4676452
esss052s,43202.58907656269,354.77317839995067,0.010998549919782797,0.002342497842436198,60.34199696099947,0.840241249064382,0.135122853439649,1.0,17.0,6.9991037,51.4675081
esss053n,43170.9174198341,454.9048842362263,0.01951975476839237,0.002228550204283769,59.457624561264495,0.704850874802381,0.415177609383656,1.0,24.0,7.0069331,51.4723736
esss053s,43205.29368213228,453.5620372627098,0.02056968798880382,0.0024679170779861796,49.54564383292202,0.348624032096518,0.281231993659004,1.0,27.0,7.0040283,51.4784612
esss088n,43190.20815371351,125.63274418031777,0.023664282190429205,0.0038182042123414213,41.013404770702465,0.375118037435422,0.101200674024899,1.0,35.0,6.9636047,51.4553474
esss088s,43213.30868761553,161.46996303142328,0.008310919185687847,0.0030807147258163892,49.21806528652701,0.395107654540115,0.25612982004692,1.0,34.0,6.963425,51.4553524
esss090n,43197.19177238576,312.7829576708954,0.016732420992068384,0.0036950363345239563,39.76371277070247,0.462229134642388,0.284636856624246,1.0,3.0,7.0072362,51.4532514
esss090s,43213.47815354233,380.91385871883483,0.020576562950158455,0.001974821031843989,51.10364283197564,0.442587084719399,0.150194541233045,1.0,2.0,7.0070913,51.453218
esss092n,43207.76627218935,181.10973454900147,0.008019598765432099,0.0028353057199211047,53.294690949108315,0.300742179791684,0.224175679910793,1.0,4.0,7.0028508,51.4630282
esss092s,43207.96099728462,236.80122192094544,0.008736615600032947,0.0027153789187854853,54.029944529149176,0.313745557563303,0.26521624161373,1.0,5.0,7.0032987,51.4620456
esss093n,43226.67654686921,174.81986126577743,0.0739279390570311,0.002346548104236137,27.129145367481783,0.32739391953105,0.234281399055499,1.0,7.0,7.0088053,51.4660294
esss093s,43238.94515810277,194.55374053013836,0.005486342850080336,0.0018527667984189723,54.00451398416914,0.32024626466978,0.077262116010402,1.0,6.0,7.0086658,51.4659976
esss094n,43201.29326271708,330.73093977050746,0.009614997121473805,0.0038182042123414213,65.04831763825594,0.614473357282125,0.330820864155951,1.0,9.0,6.9968668,51.461429
esss094s,43230.28507960015,303.36042206516106,0.0932091202732173,0.001480932987782303,37.43674793189765,0.604309045327114,0.366717805785441,1.0,8.0,6.9968399,51.4623364
esss095n,43213.92685629849,420.21165291589705,0.018232685984381422,0.003447851249846078,58.20804183973648,0.388860218300086,0.210819312836519,1.0,11.0,6.9976714,51.4567162
esss095s,43200.11083743842,350.63904967118225,0.027078044121271877,0.0032019704433497538,48.27745077506568,0.383595830948629,0.167459009837282,1.0,10.0,6.9975829,51.4567162
esss097o,43196.821485770604,123.18825715646175,0.012421550483240798,0.0036959467783663916,49.39739641082502,0.452031816410734,0.43762843493151,1.0,13.0,6.9915909,51.454271
esss097w,43200.592007893436,307.59301513073507,0.0234794419064082,0.002220029600394672,58.76418300320671,0.452418738604049,0.206820905026112,1.0,12.0,6.9942945,51.4548125
esss098n,43196.18706811451,184.72490950934107,0.004372137640797128,0.0034550839091806516,59.80887849543436,0.535959233862689,0.057468413005246,1.0,33.0,7.010811600000001,51.4476301
esss098s,43201.81638452984,158.59009843824293,0.011189665841584158,0.0021005807487952553,52.39311260659417,0.523662719843988,0.457385664250931,1.0,32.0,7.0106104,51.4476117
esss102n,43191.652302388575,279.52554789460726,0.008794475943958255,0.003324304358532381,56.76550750340638,0.510107252472063,0.488893175446213,1.0,28.0,7.0280099,51.4635947
esss102s,43224.8825710754,214.3970024721879,0.012299703264094956,0.0016069221260815822,47.77803326724351,0.353923289079167,0.339990028920585,1.0,29.0,7.0282593,51.4631502
esss926o,43208.90942698706,108.83250154035736,0.004900783853845204,0.0024645717806531116,57.36218603526391,0.192397776444305,0.161605681142512,1.0,15.0,6.9915318,51.4592799
esss926w,43207.665720281446,137.5205324443896,0.0044013315194987215,0.0029625972102209604,51.13813942124429,0.193303382746774,0.034445110046712,1.0,14.0,6.9917732,51.459452
esss928o,43223.133867982724,168.28524916010693,0.0062602931488800915,0.002961135101789019,58.901349440283774,0.780929294383722,0.764973259620456,1.0,18.0,6.9876507,51.4657921
esss928w,43248.37754472548,125.06288984824182,0.003687648374569436,0.002961135101789019,57.8981972619782,0.281916443124158,0.262801469462305,1.0,19.0,6.9866341,51.4659391
esss943o,43210.59953219254,90.11433241684107,0.004582784771935578,0.003323895112643112,47.32434164483296,0.265588435784305,0.228554854326057,1.0,1.0,7.0076171,51.4597211
esss943w,43214.386094674555,143.98990521572978,0.0067568827465174725,0.0019723865877712033,67.92102148316897,0.267321505333357,0.137240302976475,1.0,0.0,7.009100300000001,51.460453
