detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
BP2_D1,47556.68016194332,79.48178137651821,0.1422196069838386,1.0,,0.049609075877534,0.016966653009741,1.0,29.0,8.6643063,50.1029946
BP2_D2,44576.72727272727,138.1090909090909,0.24898818377870502,1.0,,0.132202987313257,0.018793996881026,1.0,28.0,8.664302,50.102957
BP2_D3,43959.642857142855,134.05714285714285,0.2327194757007417,1.0,,0.135046917479779,0.019480575336344,1.0,27.0,8.6642982,50.1029318
BP4_D1(1),43050.0,309.1666666666667,0.059642580350240074,,,0.11502595044371001,0.022101948078966,1.0,22.0,8.663419,50.10352
BP4_D10(3),46418.91891891892,105.63706563706563,0.04909026883590482,1.0,,0.067941237745134,0.027961150012292,1.0,19.0,8.6625226,50.1030866
BP4_D2(1),43168.64111498258,370.57839721254356,0.07397343319882912,,,0.112614273979871,0.021123908633168,1.0,23.0,8.663452,50.1035
BP4_D3(2),49146.18834080717,41.11210762331839,0.18951778303525552,1.0,,0.100911370839819,0.003186399070033,1.0,24.0,8.663452,50.103391
BP4_D4(2),46059.695817490494,89.4296577946768,0.29304845232171856,1.0,,0.070628787231755,0.003344084803137,1.0,25.0,8.663525,50.10339
BP4_D5(2),45656.39097744361,78.13533834586467,0.2064825583938369,1.0,,0.048190900003624,0.002830596477454,1.0,26.0,8.663585,50.103381
BP4_D6(4),46655.90551181103,66.89763779527559,0.33067073872083125,1.0,,0.457220476868743,0.005340994103997,1.0,21.0,8.662882,50.1034823
BP4_D8(3),44174.460431654676,183.06474820143885,0.23070324227678404,,,0.059194967951266,0.024531519623115,1.0,20.0,8.6625803,50.1030497
BP4_D9(3),43688.29787234042,194.29787234042553,0.14172043879263224,,,0.27999123180579,0.023791778785833,1.0,18.0,8.6625548,50.1030703
FA6_D10,43260.83916083916,427.2167832167832,0.16689387294795963,,,0.415494710914543,0.028795849340893,1.0,90.0,8.6567076,50.1111262
FA6_D11,45671.32075471698,217.81132075471697,0.5692517927637639,,,0.096670124147089,0.004104436768489,1.0,86.0,8.6569905,50.1110454
FA6_D14,47065.74803149606,137.90551181102362,0.11677081420978534,,,0.023213172271892,0.00287964317135,1.0,95.0,8.6573325,50.1110884
