detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
PGR01_101724_G181_Hoendiep_O_ID_8648_1,40180.77669902913,259.33203883495145,5.8507026777970825,,41.93534101237291,0.657715842745435,0.565293741009867,1.0,0.0,6.5435289,53.2134896
PGR01_101724_G181_Hoendiep_W_ID_8649_1,40180.77669902913,308.66990291262135,7.91198108262597,,38.75318604252895,0.671522260250194,0.101142645632889,1.0,1.0,6.5435209,53.2135328
PGR01_101725_G172_Emmaviaduct_Z_ID_8650_1,40119.767441860466,333.24612403100775,,1.0,48.37004569486815,0.518423232088097,0.239823674195131,1.0,16.0,6.5609509,53.2096958
PGR01_101725_G172_Emmaviaduct_Z_ID_8650_2,40119.767441860466,78.93023255813954,1.584804714843429,1.0,45.696875292794815,0.518423232088097,0.239823674195131,1.0,16.0,6.5609509,53.2096958
PGR01_101726_G172_Emmaviaduct_N_ID_8651_1,40180.77669902913,113.70873786407768,,1.0,45.4621812623144,0.506992905372119,0.269348194874261,1.0,17.0,6.5611282,53.2096988
PGR01_101726_G172_Emmaviaduct_N_ID_8651_2,40180.77669902913,236.11844660194174,,1.0,45.01282846212183,0.506992905372119,0.269348194874261,1.0,17.0,6.5611282,53.2096988
PGR01_101726_G172_Emmaviaduct_N_ID_8651_3,40180.77669902913,128.1864077669903,2.7202870163323793,1.0,43.97801658846452,0.506992905372119,0.269348194874261,1.0,17.0,6.5611282,53.2096988
PGR01_101727_Hereweg_N_ID_8611_1,40180.77669902913,293.29708737864075,6.704675365378517,,44.97331112115913,0.754073136345511,0.555692068577134,1.0,14.0,6.573224,53.2073501
PGR01_101727_Hereweg_N_ID_8611_2,40180.77669902913,20.058252427184467,0.5185647199218656,1.0,29.260803605063213,0.754073136345511,0.555692068577134,1.0,14.0,6.573224,53.2073501
PGR01_101727_Hereweg_Z_ID_8610_1,40180.77669902913,295.7708737864078,,1.0,44.44398678783742,0.753926998474097,0.182550106369213,1.0,15.0,6.573112,53.207327
PGR01_101727_Hereweg_Z_ID_8610_2,40180.77669902913,19.588349514563106,0.701761678243145,1.0,21.234326083587565,0.753926998474097,0.182550106369213,1.0,15.0,6.573112,53.207327
PGR01_101731_G275/6_Europaweg_NW_ID_8637_1,40126.74418604651,293.65503875968994,,1.0,50.78097442848769,0.571347616291265,0.457849941194892,1.0,13.0,6.5869039,53.2126195
PGR01_101731_G275/6_Europaweg_NW_ID_8637_2,40126.74418604651,447.4748062015504,8.886373139965698,,51.01163046052593,0.571347616291265,0.457849941194892,1.0,13.0,6.5869039,53.2126195
PGR01_101732_G275/6_Europaweg_ZO_ID_8613_1,40180.77669902913,219.35145631067962,,1.0,53.24823909347773,0.575496405682978,0.339317663356127,1.0,12.0,6.5841141,53.2140645
PGR01_101732_G275/6_Europaweg_ZO_ID_8613_2,40180.77669902913,471.61941747572814,10.800709017029739,,50.06029841710342,0.575496405682978,0.339317663356127,1.0,12.0,6.5841141,53.2140645
PGR01_101733_G185_Rijksweg_O_ID_8644_1,40180.77669902913,368.7106796116505,,1.0,36.306179810763666,0.772471618984274,0.115080706968668,1.0,28.0,6.5953759,53.2261403
PGR01_101733_G185_Rijksweg_W_ID_8645_1,40180.77669902913,317.8407766990291,8.613878833391361,,36.14197867734113,0.793714518487653,0.64819966761185,1.0,27.0,6.5954031,53.2261608
PGR01_101734_Damsterdiep_O_ID_8653_1,40180.77669902913,243.22912621359222,5.4624313421304755,,43.75436380780917,0.784955577152778,0.161101388232268,1.0,26.0,6.5866723,53.2214737
PGR01_101734_Damsterdiep_W_ID_8652_1,40180.77669902913,306.8990291262136,,1.0,41.97685297598576,0.783144380273752,0.615467528909272,1.0,25.0,6.586639,53.2214981
PGR01_101735_G506_Bedumerweg_N_ID_8791_1,40180.77669902913,208.14563106796118,,1.0,40.886806459609744,0.172519403001441,0.107367444281562,1.0,36.0,6.5660721,53.2364869
PGR01_101735_G506_Bedumerweg_N_ID_8791_2,40180.77669902913,140.65631067961166,3.506463739478073,,35.211581734220424,0.172519403001441,0.107367444281562,1.0,36.0,6.5660721,53.2364869
PGR01_101735_G506_Bedumerweg_Z_ID_8792_1,40180.77669902913,158.08155339805825,5.240747213037436,,27.867171817950897,0.139353622972796,0.066643931603065,1.0,35.0,6.5659778,53.236525
PGR01_101735_G506_Bedumerweg_Z_ID_8792_2,40180.77669902913,300.2291262135922,6.448867790496391,,46.244491405903645,0.139353622972796,0.066643931603065,1.0,35.0,6.5659778,53.236525
PGR01_101736_G114_Bedumerweg_N_ID_8654_1,40119.767441860466,110.74806201550388,,1.0,42.319340909308245,0.546369532668361,0.208440026244043,1.0,34.0,6.5615049,53.2298713
PGR01_101736_G114_Bedumerweg_Z_ID_8655_1,40119.767441860466,137.37790697674419,2.9640117083902684,,43.4442146050396,0.595425155976176,0.378298601010232,1.0,33.0,6.5614564,53.2299551
PGR01_101737_JCKapteynlaan_N_ID_8722_1,40180.77669902913,278.0543689320388,,1.0,35.86198477284608,0.312103571099451,0.134611815540168,1.0,32.0,6.5690107,53.2286415
PGR01_101737_JCKapteynlaan_Z_ID_8723_1,40180.77669902913,238.15922330097087,6.318204781898225,,38.0264473831772,0.307950086261681,0.163967572241359,1.0,31.0,6.5689005,53.228587
PGR01_101738_G213_PetrusCampersingel_N_ID_8656_1,40119.767441860466,298.94573643410854,8.595770157690387,,40.000741339714786,0.76113573438483,0.321121253893649,1.0,30.0,6.5756529,53.224658
PGR01_101738_G213_PetrusCampersingel_Z_ID_8657_1,40119.767441860466,235.46124031007753,6.209589409367274,,40.41184728950939,0.74202895452155,0.420567126030482,1.0,29.0,6.5756287,53.2246352
PGR01_101739_Schuitendiep_Z_V1_ID_8638_1,40119.767441860466,198.08333333333334,6.176148564673462,,32.39513647308939,0.281456335312421,0.191083566166578,1.0,24.0,6.572116,53.219176
PGR01_101741_Lopendediep_NO_ID_8724_1,40059.574468085106,65.65764023210832,,1.0,28.29568775330962,0.58364703461781,0.254855376247298,1.0,23.0,6.561885,53.220838
PGR01_101741_Lopendediep_NO_ID_8724_2,40059.574468085106,152.45261121856868,4.2492994329511395,,33.210586324624735,0.58364703461781,0.254855376247298,1.0,23.0,6.561885,53.220838
PGR01_101742_Lopendediep_ZW_ID_8699_1,40180.77669902913,96.09514563106796,,1.0,31.436071639750498,0.69213303023113,0.413199648297865,1.0,22.0,6.56149,53.221188
PGR01_101742_Lopendediep_ZW_ID_8699_2,40180.77669902913,185.61941747572814,5.106537341601117,,35.93931650707675,0.69213303023113,0.413199648297865,1.0,22.0,6.56149,53.221188
PGR01_101743_Westersingel_N_ID_8641_1,40180.77669902913,0.0,0.0,1.0,0.0,0.292246099152712,0.114645273357776,1.0,4.0,6.5569421,53.2172747
