detid,interval,flow,occ,error,speed,length,pos,lanes,linkid,long,lat
M_0011_0308,43049.791666666664,202.70833330188657,,1.0,21.348634250555556,0.428416484920375,0.339896949382438,1.0,16.0,11.385579,47.2632389
M_0015_0159,43049.791666666664,290.0343056422685,,1.0,40.183530141319444,0.157367400459986,0.074321973015796,2.0,20.0,11.3749192,47.2641262
M_0032_0323,43049.791666666664,215.20499989931713,,1.0,22.674039346898148,0.282539857037429,0.250874123846149,1.0,9.0,11.3976938,47.2568804
M_0037_0038,43049.791666666664,357.94902791090277,,1.0,40.44857635591435,0.32167087270554,0.101392612620008,3.0,0.0,11.384545,47.2573246
M_0037_0779_0039_U,43049.791666666664,321.33930523997685,,1.0,45.355763885115735,0.69128336640779,0.48770944443223907,2.0,1.0,11.3842901,47.2572445
M_0038_0037,43049.791666666664,727.8288889391898,,1.0,29.492800930891203,0.320243113163193,0.103169772694927,2.0,2.0,11.3853597,47.2570616
M_0038_0191,43049.791666666664,590.651250575706,,1.0,35.7984722235301,0.235177131252379,0.078952685753985,2.0,13.0,11.3818306,47.2580095
M_0039_0038,43049.791666666664,888.3106952655787,,1.0,30.88298613909722,0.393232198490056,0.104634300260738,2.0,4.0,11.3902963,47.2560822
M_0108_0478_0479,43049.791666666664,465.98194426109956,,1.0,41.64722222687384,0.388225079943348,0.063053328610209,2.0,24.0,11.4095599,47.2806201
M_0191_0038,43049.791666666664,412.82250012364585,,1.0,34.12041663043982,0.230684182791812,0.112530768807721,2.0,12.0,11.381901,47.2580582
M_0191_0852,43049.791666666664,149.09388890243054,,1.0,28.344907396319446,0.274444427085786,0.19132527982277,1.0,15.0,11.3811922,47.2593935
M_0308_0011,43049.791666666664,225.37111108811342,,1.0,32.78420149298611,0.442785412299035,0.092587331397406,1.0,17.0,11.3856111,47.2632216
M_0323_0032,43049.791666666664,163.18083303950232,,1.0,2.6453356464305555,0.278174971761401,0.031721981346657,2.0,10.0,11.3976006,47.2569064
M_0821_0159,43049.791666666664,385.8047220261227,,1.0,38.155486100880786,0.423677712514554,0.101179874060039,2.0,19.0,11.3757742,47.2622532
M_0821_0190,43049.791666666664,347.37624971563656,,1.0,31.739710717256944,0.4519808828199,0.128781044420843,2.0,18.0,11.376678,47.2607988
M_0852_0191,43049.791666666664,263.95513880177083,,1.0,25.81354167511574,0.271903635960068,0.069537717162101,1.0,14.0,11.3811225,47.2594062
